#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
sandys|s ˈæ n d i z
sane|s ˈeɪ n
sane'afee|s ˈeɪ n ɐ f ˌiː
sanebe|s ˈeɪ n b
sanedaafaa|s ˈeɪ n d ɑː f ˌɑː
sanedaqe|s ˈeɪ n d eɪ k
sanee|s ˈæ n iː
saneze|s ˈeɪ n z
sanezerawe|s ˈeɪ n z ɚ ɹ ˌɔː
sanezero|s eɪ n z ˈɪ ɹ oʊ
sang|s ˈæ ŋ
sangreal|s ˈæ ŋ ɡ ɹ iː  ə l
sanguinare|s ˈæ ŋ ɡ w ɪ n ˌɛɹ
sanguinary|s ˈæ ŋ ɡ w ɪ n ˌɛ ɹ i
sanguinely|s ˈæ ŋ ɡ w ɪ n l i
sansretour|s ˈæ n s ɹ ɪ t ˌʊɹ
sanuarach|s ˈæ n uː ˌæ ɹ æ tʃ
sanyaale|s ˈæ n ɪ  ˌɑː l
sanyoce|s ˈæ n ɪ  ˌoʊ s
sap|s ˈæ p
sapaa|s ˈæ p ɑː
sapaawaa|s ˈæ p ɑː w ˌɑː
sapient|s ˈæ p iə n t
sapients|s ˈæ p iə n t s
sappers|s ˈæ p ɚ z
sappiness|s ˈæ p ɪ n ə s
sappy|s ˈæ p i
saqaayawe|s ˈæ k ɑː j ˌɔː
saqaaye|s ˈæ k ɑː ˌaɪ
saqelawe|s ˈeɪ k l ɔː
saqoqaa|s ˈæ k ə k ˌɑː
saraa|s ˈæ ɹ ɑː
saraabate|s ˈæ ɹ ɑː b ˌeɪ t
saraacawe|s ˈæ ɹ ɑː k ˌɔː
saraachawe|s ˈæ ɹ ɑː tʃ ˌɔː
saraachu|s æ ɹ ˈɑː tʃ uː
saraakxawe|s ˈæ ɹ ɑː k k s ˌɔː
saraan|s ˈæ ɹ ɑː n
saraata|s ˈæ ɹ ɑː ɾ ə
saraatanyaa|s ˈæ ɹ ɑː t ˌæ n ɪ  ˌɑː
saraatanyaawaa|s ˈæ ɹ ɑː t ˌæ n ɪ  ˌɑː w ɑː
saraatanyaawe|s ˈæ ɹ ɑː t ˌæ n ɪ  ˌɑː w
saraatanyoce|s ˈæ ɹ ɑː t ˌæ n ɪ  ˌoʊ s
saraatanyocu|s ˈæ ɹ ɑː t ˌæ n ɪ  ˌɑː k uː
saraawe|s ˈæ ɹ ɑː w
saraawitaacawe|s ˈæ ɹ ɑː w ˌɪ ɾ ɑː k ˌɔː
saraawitaacene|s ˈæ ɹ ɑː w ˌɪ ɾ ɑː s ˌiː n
saraawite|s ˈæ ɹ ɑː w ˌaɪ t
saraawitu|s ˈæ ɹ ɑː w ˌɪ ɾ uː
saraawitwa|s ˈæ ɹ ɑː w ˌɪ t w ə
saraazhwa|s ˈæ ɹ ɑː ʒ w ə
sarah|s ˈɛ ɹ ə
sarandas|s æ ɹ ˈæ n d ə z
saraza|s æ ɹ ˈɑː z ə
sarazu|s æ ɹ ˈɑː z uː
sarcasms|s ˈɑːɹ k æ z ə m z
sarcastical|s ɑːɹ k ˈæ s t ɪ k əl
sarcomas|s ɑːɹ k ˈoʊ m ə z
sarcophagi|s ɑːɹ k ˈɑː f ə ɡ ˌaɪ
sardanapalus|s ˈɑːɹ d ɐ n ˌeɪ p æ l ə s
sardines|s ɑːɹ d ˈiː n z
sardinian|s ɑːɹ d ˈɪ n iə n
sardinians|s ɑːɹ d ˈɪ n iə n z
sarege|s ˈɛɹ dʒ
saregu|s ˈɛɹ ɡ uː
sarekase|s ˈɛɹ k eɪ s
saren|s ˈæ ɹ ə n
saren's|s ˈæ ɹ ə n z
saretaa|s ˈæ ɹ ɪ t ˌɑː
saretafikeete|s ˈæ ɹ ɪ t ˌæ f ɪ k ˌiː t
saretawaale|s ˈæ ɹ ɪ t ˌæ w ɑː l
sarethi|s æ ɹ ˈɛ θ i
sareto|s æ ɹ ˈiː ɾ oʊ
sarevise|s ˈɛɹ v aɪ z
sareze|s ˈɛɹ z
sargon|s ˈɑːɹ ɡ ə n
sariwaa|s ˈɑːɹ ɹ ɪ w ˌɑː
sarothril|s ˈæ ɹ ɑː θ ɹ əl
sarthis|s ˈɑːɹ θ aɪ z
sarthis's|s ˈɑːɹ θ aɪ z ᵻ z
saru|s ˈɑːɹ ɹ uː
sarute|s ˈɑːɹ ɹ uː t
sarwacawe|s ˈɑːɹ w ɐ k ˌɔː
sarzano|s ɑːɹ z ˈɑː n oʊ
sasa|s ˈɑː s ə
sash|s ˈæ ʃ
saskia|s ˈæ s k i  ə
sassanian|s æ s ˈeɪ n iə n
sat|s ˈæ t
satan|s ˈeɪ t ə n
satara|s æ t ˈɑːɹ ɹ ə
satha|s ˈæ θ ə
sathaacawe|s ˈæ θ ɑː k ˌɔː
sathaacehu|s ˌæ θ ɑː s ˈɛ h uː
sathacewe|s ˈæ θ eɪ s w
sathane|s ˈæ θ eɪ n
sathawe|s ˈæ θ ɔː
sathe|s ˈeɪ ð
satheta|s ˈæ θ ɛ ɾ ə
sathetaa|s ˈæ θ ɪ t ˌɑː
sathetawaale|s ˈæ θ ɪ t ˌæ w ɑː l
satheto|s æ θ ˈiː ɾ oʊ
sathu|s ˈæ θ uː
sathune|s ˈæ θ j uː n
sathute|s ˈæ θ j uː t
sathwacawe|s ˈæ θ w ɐ k ˌɔː
satiate|s ˈeɪ ʃ ɪ  ˌeɪ t
satiating|s ˈeɪ ʃ ɪ  ˌeɪ ɾ ɪ ŋ
satin|s ˈæ t ɪ n
satiny|s ˈæ t ɪ n i
satirically|s ɐ t ˈɪ ɹ ɪ k l i
satisfaction|s ˌæ ɾ ɪ s f ˈæ k ʃ ə n
satisfactorily|s ˌæ ɾ ɪ s f ˈæ k t ɚ ɹ ə l i
satisfied|s ˈæ ɾ ɪ s f ˌaɪ d
satisfiedness|s ˈæ ɾ ɪ s f ˌaɪ d n ə s
satisfy|s ˈæ ɾ ɪ s f ˌaɪ
satisfyin'|s ˈæ ɾ ɪ s f ˌaɪ ɪ n
satler|s ˈæ t l ɚ
satouriona|s ˌæ ɾ ʊɹ ɹ ɪ  ˈoʊ n ə
satting|s ˈæ ɾ ɪ ŋ
saturday|s ˈæ ɾ ɚ d ˌeɪ
saturnalia|s ˌæ ɾ ɚ n ˈeɪ l iə
saturnian|s æ t ˈɜː n iə n
satwave|s ˈæ t w eɪ v
satyr|s ˈæ ɾ ɚ
satyrs|s ˈæ ɾ ɚ z
sauce|s ˈɔː s
sauced|s ˈɔː s t
saucepans|s ˈɔː s p ə n z
sauciness|s ˈɔː s i n ə s
saucy|s ˈɔː s i
saugus|s ˈɔː ɡ ə s
saul'd|s ˈɔː l d
saul's|s ˈɔː l z
sauntered|s ˈɔː n t ɚ d
sauntering|s ˈɔː n t ɚ ɹ ɪ ŋ
sauranach|s ˈɔː ɹ ɐ n ˌæ k
sausage|s ˈɔː s ɪ dʒ
savage|s ˈæ v ɪ dʒ
savage's|s ˈæ v ɪ dʒ z
savageness|s ˈæ v ɪ dʒ n ə s
savages|s ˈæ v ɪ dʒ ᵻ z
savaro|s æ v ˈæ ɹ oʊ
save|s ˈeɪ v
saved|s ˈeɪ v d
savela|s ˈeɪ v l ə
saveth|s ˈeɪ v ə θ
saviik|s ˈæ v ɪ  ˌɪ k
savilla|s æ v ˈɪ l ə
savin'|s ˈæ v ɪ n
saving|s ˈeɪ v ɪ ŋ
savings|s ˈeɪ v ɪ ŋ z
saviour|s ˈeɪ v j ɚ
saviour's|s ˈeɪ v j ɚ z
saviours|s ˈeɪ v j ɚ z
savlian|s ˈæ v l iə n
savoldi|s eɪ v ˈɑː l d i
savoldi's|s eɪ v ˈɑː l d i z
savoldis|s eɪ v ˈɑː l d i z
savolla's|s ˈeɪ v ɑː l ə z
savonarola|s ˌeɪ v ə n ɚ ɹ ˈoʊ l ə
savonarola's|s ˌeɪ v ə n ɚ ɹ ˈoʊ l ə z
savos|s ˈeɪ v oʊ z
savour|s ˈeɪ v ɚ
savoured|s ˈeɪ v ɚ d
savoury|s ˈeɪ v ɜː ɹ i
savoy|s ɐ v ˈɔɪ
savoyard|s ˈeɪ v ɔɪ ˌɑːɹ d
savros|s ˈæ v ɹ oʊ z
saw|s ˈɔː
sawaale|s ˈæ w ɑː l
saward|s ˈæ w ɚ d
saward's|s ˈæ w ɚ d z
sawaru|s ˈæ w ɔː ɹ ˌuː
sawe|s ˈɔː
sawenataacawe|s ˈɔː n ɐ t ˌɑː k ɔː
sawenate|s ˈɔː n eɪ t
sawenatee|s ˈɔː n ɐ t ˌiː
sawenatu|s ɔː n ˈɑː ɾ uː
sawest|s ˈɔː s t
saweyeewe|s ˈæ w eɪ j ˌuː
sawocaacawe|s ˈæ w ə k ˌɑː k ɔː
sawoce|s ˈæ w oʊ s
sawocu|s ˈæ w ə k ˌuː
sawune|s ˈæ w j uː n
saxhleel|s ˈæ k s ɬ iː l
saxon|s ˈæ k s ə n
say|s ˈeɪ
sayeme|s ˈeɪ iː m
sayest|s ˈeɪ ɪ s t
sayeth|s ˈeɪ ɛ θ
sayin'|s ˈeɪ ɪ n
saying|s ˈeɪ ɪ ŋ
sayings|s ˈeɪ ɪ ŋ z
saying…|s ˈeɪ ɪ ŋ
sayma|s ˈeɪ m ə
says|s ˈɛ z
scabbards|s k ˈæ b ɚ d z
scale|s k ˈeɪ l
scale's|s k ˈeɪ l z
scalebacks|s k ˈeɪ l b æ k s
scales're|s k ˈeɪ l z ɚ
scalon|s k ˈæ l ɑː n
scalons|s k ˈæ l ɑː n z
scalp|s k ˈæ l p
scalpings|s k ˈæ l p ɪ ŋ z
scaly|s k ˈeɪ l i
scamp|s k ˈæ m p
scandal|s k ˈæ n d əl
scandalised|s k ˈæ n d ə l ˌaɪ z d
scandalmongers|s k ˈæ n d ɐ l m ˌɑː ŋ ɚ z
scandalously|s k ˈæ n d ə l ə s l i
scandium|s k ˈæ n d iə m
scanner's|s k ˈæ n ɚ z
scant|s k ˈæ n t
scantest|s k ˈæ n t ɪ s t
scantiest|s k ˈæ n t i  ɪ s t
scantlings|s k ˈæ n t l ɪ ŋ z
scantly|s k ˈæ n t l i
scape's|s k ˈeɪ p z
scapegrace|s k ˈeɪ p ɡ ɹ eɪ s
scar's|s k ˈɑːɹ z
scara|s k ˈæ ɹ ə
scara's|s k ˈæ ɹ ə z
scarcely|s k ˈɛɹ s l i
scarecrow|s k ˈɛɹ k ɹ oʊ
scared|s k ˈɛɹ d
scareth|s k ˈɑːɹ ɹ ə θ
scarped|s k ˈɑːɹ p t
scath|s k ˈæ θ
scathe|s k ˈeɪ ð
scathingly|s k ˈeɪ ð ɪ ŋ l i
scatter|s k ˈæ ɾ ɚ
scattereth|s k ˈæ ɾ ɚ ɹ ə θ
scatters|s k ˈæ ɾ ɚ z
scav|s k ˈæ v
scavenged|s k ˈæ v ɪ n dʒ d
scavenging|s k ˈæ v ɪ ŋ ɪ ŋ
scavs|s k ˈæ v z
scavver|s k ˈæ v ɚ
scene|s ˈiː n
scenes|s ˈiː n z
scent|s ˈɛ n t
scent's|s ˈɛ n t s
scented|s ˈɛ n t ᵻ d
scenting|s ˈɛ n t ɪ ŋ
scepter|s ˈɛ p t ɚ
sceptical|s k ˈɛ p t ɪ k əl
sceptically|s k ˈɛ p t ɪ k l i
scepticism|s k ˈɛ p t ɪ s ˌɪ z ə m
schedule's|s k ˈɛ dʒ uː l z
scheme|s k ˈiː m
schemers|s k ˈiː m ɚ z
schemin'|s k ˈiː m ɪ n
schizoid|s k ˈɪ t s ɔɪ d
schleiden|ʃ l ˈeɪ d ə n
schleiden's|ʃ l ˈeɪ d ə n z
schlep|ʃ l ˈɛ p
schmerbs|ʃ m ˈɜː b z
schoeffer|s k ˈoʊ f ɚ
scholar|s k ˈɑː l ɚ
scholars|s k ˈɑː l ɚ z
school|s k ˈuː l
school'd|s k ˈuː l d
schooled|s k ˈuː l d
schoolfellow|s k ˈuː l f ɪ l ˌoʊ
schoolfellow's|s k ˈuː l f ɪ l ˌoʊ z
schoolfellows|s k ˈuː l f ɪ l ˌoʊ z
schoolgoing|s k ˈuː l ɡ oʊ ɪ ŋ
schoolhouse|s k ˈuː l h aʊ s
schoolhouses|s k ˈuː l h aʊ z ᵻ z
schoolmaster|s k ˈuː l m æ s t ɚ
schoolmaster's|s k ˈuː l m æ s t ɚ z
schoolmasterliness|s k ˈuː l m ɐ s t ɚ l i n ə s
schoolmasters|s k ˈuː l m æ s t ɚ z
schoolmistress|s k ˈuː l m ɪ s t ɹ ə s
schoolroom|s k ˈuː l ɹ uː m
schoolrooms|s k ˈuː l ɹ uː m z
schools|s k ˈuː l z
schopenhauer|s k ˈoʊ p ə n h ˌaʊ ɚ
schultz's|ʃ ˈʌ l t s ᵻ z
schussler|ʃ ˈʌ s l ɚ
schwann|ʃ w ˈæ n
schwann's|ʃ w ˈæ n z
science|s ˈaɪə n s
sciences|s ˈaɪə n s ᵻ z
scientific|s aɪə n t ˈɪ f ɪ k
scientificness|s aɪə n t ˈɪ f ɪ k n ə s
scientist|s ˈaɪə n t ɪ s t
scientists|s ˈaɪə n t ɪ s t s
scimitar|s ˈɪ m ɪ ɾ ɚ
scimitars|s ˈɪ m ɪ ɾ ɚ z
scintillated|s ˈɪ n t ɪ l ˌeɪ ɾ ᵻ d
scintillating|s ˈɪ n t ɪ l ˌeɪ ɾ ɪ ŋ
scintillation|s ˌɪ n t ɪ l ˈeɪ ʃ ə n
scions|s ˈaɪ ə n z
scissors're|s ˈɪ s oːɹ z ɚ
sclavonian|s k l æ v ˈoʊ n iə n
scoffer|s k ˈɑː f ɚ
scoffers|s k ˈɑː f ɚ z
scoffing|s k ˈɔ f ɪ ŋ
scofflaw|s k ˈɔ f l ɔː
scoggin's|s k ˈɑː ɡ ɪ n z
scoia'tael|s k ˈɔɪ ə t ˌeɪ l
scoia'tael's|s k ˈɔɪ ə t ˌeɪ l z
scoldings|s k ˈoʊ l d ɪ ŋ z
scooch|s k ˈuː tʃ
scop|s k ˈɑː p
scope's|s k ˈoʊ p z
scoped|s k ˈoʊ p d
scopsucker|s k ˈɑː p s ʌ k ɚ
scoptins|s k ˈɑː p t ɪ n z
scorbutic|s k oːɹ b j ˈuː ɾ ɪ k
scorchers|s k ˈoːɹ tʃ ɚ z
scorches|s k ˈoːɹ tʃ ᵻ z
score|s k ˈoːɹ
scorn|s k ˈɔːɹ n
scorner|s k ˈɔːɹ n ɚ
scornfully|s k ˈoːɹ n f ə l i
scorning|s k ˈɔːɹ n ɪ ŋ
scorpion's|s k ˈoːɹ p iə n z
scot|s k ˈɑː t
scotch|s k ˈɑː tʃ
scotchman|s k ˈɑː tʃ m ə n
scotchmen|s k ˈɑː tʃ m ɛ n
scotland|s k ˈɑː t l ə n d
scott|s k ˈɑː t
scoundrel|s k ˈaʊ n d ɹ əl
scoundrel's|s k ˈaʊ n d ɹ əl z
scourers|s k ˈaʊ ɚ ɹ ɚ z
scourge|s k ˈɜː dʒ
scourges|s k ˈɜː dʒ ᵻ z
scourings|s k ˈaʊ ɚ ɹ ɪ ŋ z
scowls|s k ˈaʊ l z
scramblin'|s k ɹ ˈæ m b l ɪ n
scrap|s k ɹ ˈæ p
scrap's|s k ɹ ˈæ p s
scrapbots|s k ɹ ˈæ p b ɑː t s
scraped|s k ɹ ˈeɪ p t
scrapheap|s k ɹ ˈæ p h iː p
scrapheaps|s k ɹ ˈæ p h iː p s
scrapper|s k ɹ ˈæ p ɚ
scrapyard|s k ɹ ˈæ p j ɑːɹ d
scratch|s k ɹ ˈæ tʃ
scratcheth|s k ɹ ˈæ tʃ ə θ
scratchings|s k ɹ ˈæ tʃ ɪ ŋ z
scrawl|s k ɹ ˈɔː l
screameth|s k ɹ ˈiː m ə θ
screamin'|s k ɹ ˈiː m ɪ n
screaming|s k ɹ ˈiː m ɪ ŋ
screams|s k ɹ ˈiː m z
screamsheets|s k ɹ ˈiː m ʃ iː t s
scree|s k ɹ ˈiː
screech|s k ɹ ˈiː tʃ
screen|s k ɹ ˈiː n
screened|s k ɹ ˈiː n d
screenin'|s k ɹ ˈiː n ɪ n
screes|s k ɹ ˈiː z
screw|s k ɹ ˈuː
screwin'|s k ɹ ˈuː ɪ n
scrib|s k ɹ ˈɪ b
scribby|s k ɹ ˈɪ b i
scribe|s k ɹ ˈaɪ b
scribing|s k ɹ ˈaɪ b ɪ ŋ
scribonia|s k ɹ ɪ b ˈoʊ n iə
scribonia's|s k ɹ ɪ b ˈoʊ n iə z
scried|s k ɹ ˈaɪ d
script|s k ɹ ˈɪ p t
scriptures|s k ɹ ˈɪ p tʃ ɚ z
scroat|s k ɹ ˈoʊ æ t
scroll|s k ɹ ˈoʊ l
scrolled|s k ɹ ˈoʊ l d
scrollin'|s k ɹ ˈoʊ l ᵻ n
scrubbin|s k ɹ ˈʌ b ɪ n
scrubbing|s k ɹ ˈʌ b ɪ ŋ
scruff|s k ɹ ˈʌ f
scrumptious|s k ɹ ˈʌ m p ʃ ə s
scrupled|s k ɹ ˈuː p əl d
scrupulous|s k ɹ ˈuː p j ʊ l ə s
scrupulousness|s k ɹ ˈuː p j ʊ l ə s n ə s
scrying|s k ɹ ˈaɪ ɪ ŋ
scsm|ˌɛ s s ˌiː  ˌɛ s ˈɛ m
scudding|s k ˈʌ d ɪ ŋ
scufflings|s k ˈʌ f l ɪ ŋ z
scuffs|s k ˈʌ f s
scullery|s k ˈʌ l ɚ ɹ i
sculptor's|s k ˈʌ l p t ɚ z
sculpture|s k ˈʌ l p tʃ ɚ
scum|s k ˈʌ m
scurry|s k ˈɜː ɹ i
scurvers|s k ˈɜː v ɚ z
scurvers've|s k ˈɜː v ɚ z ə v
scurvily|s k ˈɜː v i l i
scurvy|s k ˈɜː v i
scuse|s k j ˈuː s
scutari|s k j uː t ˈɑːɹ ɹ i
scuttle|s k ˈʌ ɾ əl
scythe|s ˈaɪ ð
scythes|s ˈaɪ ð z
sea|s ˈiː
seacomb|s ˈiː k oʊ m
seafaring|s ˈiː f ɛ ɹ ɪ ŋ
seal|s ˈiː l
sealed|s ˈiː l d
sealfield|s ˈiː l f iː l d
sealing|s ˈiː l ɪ ŋ
sealskin|s ˈiː l s k ɪ n
seaman|s ˈiː m ə n
seamanship|s ˈiː m ə n ʃ ˌɪ p
seamed|s ˈiː m d
seamen|s ˈiː m ɛ n
seamew|s ˈiː m j uː
seaport|s ˈiː p oːɹ t
search|s ˈɜː tʃ
searchin'|s ˈɜː tʃ ɪ n
searching|s ˈɜː tʃ ɪ ŋ
searchingly|s ˈɜː tʃ ɪ ŋ l i
searchings|s ˈɜː tʃ ɪ ŋ z
seared|s ˈɪɹ d
seas|s ˈiː z
seascape|s ˈiː s k eɪ p
seasinstead|s ˈiː s ɪ n s t ˌɛ d
season|s ˈiː z ə n
seasonably|s ˈiː z ə n ə b l i
seat|s ˈiː t
seated|s ˈiː ɾ ᵻ d
seawards|s ˈiː w ɚ d z
seaweed|s ˈiː w iː d
sebaatanyaa|s ˈɛ b ɑː t ˌæ n ɪ  ˌɑː
sebastianist|s ˈɛ b ɐ s tʃ ˌæ n ɪ s t
sebastianists|s ˈɛ b ɐ s tʃ ˌæ n ɪ s t s
sebawaale|s ˈɛ b ɐ w ˌɑː l
sebawe|s ˈɛ b ɔː
sebe|s ˈiː b
sebehate|s ˈɛ b ɪ h ˌeɪ t
sebesa|s ˈɛ b ɛ s ə
sebesabaa|s ˈɛ b ɪ s ˌæ b ɑː
sebesabaawe|s ˈɛ b ɪ s ˌæ b ɑː w
sebesabaawoce|s ˈɛ b ɪ s ˌæ b ɑː w ˌoʊ s
sebesebe|s ˈɛ b ɪ s ˌɛ b
sebesebu|s ˈɛ b ɪ s ˌɛ b uː
sebute|s ˈɛ b j uː t
sebwale|s ˈɛ b w eɪ l
sec|s ˈɛ k
seclusion|s ᵻ k l ˈuː ʒ ə n
second|s ˈɛ k ə n d
seconded|s ᵻ k ˈɑː n d ᵻ d
seconding|s ˈɛ k ə n d ɪ ŋ
secondly|s ˈɛ k ə n d l i
seconds|s ˈɛ k ə n d z
second…|s ˈɛ k ə n d
secrecies|s ˈiː k ɹ ᵻ s i z
secrecy|s ˈiː k ɹ ᵻ s i
secret|s ˈiː k ɹ ᵻ t
secretary|s ˈɛ k ɹ ə t ɹ i
secretary's|s ˈɛ k ɹ ə t ɹ i z
secretest|s ᵻ k ɹ ˈiː ɾ ɪ s t
secreting|s ᵻ k ɹ ˈiː ɾ ɪ ŋ
secretly|s ˈiː k ɹ ᵻ t l i
secretness|s ˈiː k ɹ ᵻ t n ə s
secretories|s ˈɛ k ɹ ɪ t ˌoː ɹ i z
secrets|s ˈiː k ɹ ᵻ t s
secs|s ˈɛ k s
sect|s ˈɛ k t
sections|s ˈɛ k ʃ ə n z
sects|s ˈɛ k t s
secularization|s ˌɛ k j ʊ l ɚ ɹ ᵻ z ˈeɪ ʃ ə n
secularly|s ˈɛ k j ʊ l ɚ l i
secunda's|s ˈɛ k ʌ n d ə z
secure|s ᵻ k j ˈʊɹ
securer|s ᵻ k j ˈʊɹ ɹ ɚ
securest|s ᵻ k j ˈʊɹ ɹ ɪ s t
secureth|s ᵻ k j ˈʊɹ ɹ ə θ
securing|s ᵻ k j ˈʊɹ ɹ ɪ ŋ
securitron|s ᵻ k j ˈʊɹ ɹ ɪ t ɹ ˌɑː n
securitrons|s ᵻ k j ˈʊɹ ɹ ɪ t ɹ ˌɑː n z
security|s ᵻ k j ˈʊɹ ɹ ᵻ ɾ i
sedarys|s ˈɛ d ɚ ɹ i z
sedatanyaa|s ˈɛ d eɪ t ə n ɪ  ˌɑː
sedatanyoce|s ˈɛ d eɪ t ə n ɪ  ˌoʊ s
sedatanyocu|s ˈɛ d eɪ t ə n ɪ  ˌɑː k uː
sedately|s ᵻ d ˈeɪ t l i
sedateness|s ᵻ d ˈeɪ t n ə s
sedebe|s ˈɛ d ɛ b
sedebu|s ˈɛ d ɪ b ˌuː
sedesetanyaa|s ˈɛ d ɪ s ˌɛ t ɐ n ɪ  ˌɑː
sedesetanyaawe|s ˈɛ d ɪ s ˌɛ t ɐ n ɪ  ˌɑː w
sedesete|s ˈɛ d ɪ s ˌiː t
sedesetu|s ˈɛ d ɪ s ˌɛ ɾ uː
sedgy|s ˈɛ dʒ i
sediment|s ˈɛ d ɪ m ə n t
seditions|s ɪ d ˈɪ ʃ ə n z
sedley|s ˈɛ d l i
sedley's|s ˈɛ d l i z
sedleys|s ˈɛ d l i z
seducements|s ᵻ d ˈuː s m ə n t s
seducers|s ᵻ d ˈuː s ɚ z
seduces|s ᵻ d ˈuː s ᵻ z
seducest|s ᵻ d ˈuː s ɪ s t
seductions|s ᵻ d ˈʌ k ʃ ə n z
seductiveness|s ᵻ d ˈʌ k t ɪ v n ə s
sedulity|s ɛ dʒ ˈuː l ᵻ ɾ i
sedulous|s ˈɛ dʒ uː l ə s
sedulously|s ˈɛ dʒ uː l ə s l i
see|s ˈiː
see'll|s ˈiː  əl
seed|s ˈiː d
seedier|s ˈiː d i  ɚ
seein|s ˈiː  ɪ n
seein'|s ˈiː  ɪ n
seeing|s ˈiː  ɪ ŋ
seek|s ˈiː k
seekaafaa|s ˈiː k ɑː f ˌɑː
seeker|s ˈiː k ɚ
seekers|s ˈiː k ɚ z
seekest|s ˈiː k ɪ s t
seeketh|s ˈiː k ə θ
seeking|s ˈiː k ɪ ŋ
seekst|s ˈiː k s t
seele|s ˈiː l
seelo|s ˈiː l oʊ
seem|s ˈiː m
seeme|s ˈiː m
seemed|s ˈiː m d
seemed…|s ˈiː m d
seemest|s ˈiː m ɪ s t
seemeth|s ˈiː m ə θ
seemin'|s ˈiː m ɪ n
seeminaare|s ˈiː m ɪ n ˈɑːɹ
seeminaaroce|s ˈiː m ɪ n ˈɑːɹ ɹ oʊ s
seeminaaru|s ˈiː m ɪ n ˈɑːɹ ɹ uː
seeming|s ˈiː m ɪ ŋ
seemingness|s ˈiː m ɪ ŋ n ə s
seemly|s ˈiː m l i
seems|s ˈiː m z
seen|s ˈiː n
seene|s ˈiː n
seenete|s ˈiː n iː t
seepe|s ˈiː p
seera|s ˈɪ ɹ ə
seeraaliyone|s ˈɪ ɹ ɑː l ˌɪ j oʊ n
seere|s ˈɪɹ
seeri|s ˈɪ ɹ i
seeri'a|s ˈɪ ɹ ɪ  ə
seest|s ˈiː s t
seetanyaa|s ˈiː t ɐ n ɪ  ˌɑː
seete|s ˈiː t
seeteyo|s ˈiː ɾ aɪ ˌoʊ
seeth|s ˈiː θ
seethed|s ˈiː θ t
seethes|s ˈiː ð z
seetoce|s ˈiː ɾ oʊ s
seetocene|s ˈiː ɾ oʊ s ˌiː n
seetocu|s ˈiː ɾ ə k ˌuː
seetwa|s ˈiː t w ə
sefaafaa|s ˈɛ f ɑː f ˌɑː
seferaa|s ˈɛ f ɚ ɹ ˌɑː
seferaawe|s ˈɛ f ɚ ɹ ˌɑː w
seferaawoce|s ˈɛ f ɚ ɹ ˌɑː w oʊ s
sefere|s ˈɛ f ɚ
seferwale|s ˈɛ f ɚ w ˌeɪ l
segaa|s ˈɛ ɡ ɑː
segaate|s ˈɛ ɡ ɑː t
segaawi|s ˈɛ ɡ ɑː w i
segabaa|s ˈɛ ɡ ɐ b ˌɑː
segabwacawe|s ˈɛ ɡ ɐ b w ˌæ k ɔː
segebegebe|s ˈɛ dʒ ɪ b ᵻ dʒ ˌɛ b
sehetata|s ˌɛ h ɪ t ˈɑː ɾ ə
sehetataacene|s ˈɛ h ɪ t ˌæ ɾ ɑː s ˌiː n
sehetate|s ˈɛ h ɪ t ˌeɪ t
sehetatoce|s ˈɛ h ɪ t ˌæ ɾ oʊ s
sehetatu|s ˌɛ h ɪ t ˈɑː ɾ uː
seidhe|s ˈeɪ d h
seiege|s ˈeɪ ɛ dʒ
seize|s ˈiː z
sekatelu|s ˈɛ k eɪ t l ˌuː
sekeetoce|s ˈɛ k iː t ˌoʊ s
sekerenataacawene|s ˈɛ k ɚ ɹ ˌɛ n ɐ t ˌɑː k ɔː n
sekotelaanede|s ˈɛ k oʊ t l ˌɑː n ɛ d
sekudeetaawene|s ˈɛ k j uː d ˌiː ɾ ɑː w ˌiː n
sekudeeto|s ˌɛ k j uː d ˈiː ɾ oʊ
sekwaare|s ɛ k w ˈɑːɹ
selaa|s ˈɛ l ɑː
selaadaraga|s ˌɛ l ɑː d ɐ ɹ ˈɑː ɡ ə
selaala|s ˈɛ l ɑː l ə
selaalace|s ˈɛ l ɑː l ˌɪ s
selaalafa|s ˌɛ l ɑː l ˈɑː f ə
selaale|s ˈɛ l ɑː l
selaaletasaakaa|s ˈɛ l ɑː l ˌɛ ɾ ɐ s ˌɑː k ɑː
selaalu|s ˈɛ l ɑː l ˌuː
selaamana|s ˌɛ l ɑː m ˈɑː n ə
selaamathaa|s ˈɛ l ɑː m ˌæ θ ɑː
selaame|s ˈɛ l ɑː m
selaamike|s ˈɛ l ɑː m ˌaɪ k
selaasee|s ˈɛ l ɑː s ˌiː
selahona|s ˌɛ l ɐ h ˈoʊ n ə
selahonu|s ˈɛ l ɐ h ˌɑː n uː
selalaa|s ˈɛ l ɐ l ˌɑː
selalee|s ˈɛ l ɐ l ˌiː
selamaa|s ˈɛ l ɐ m ˌɑː
selamaayaa|s ˈɛ l ɐ m ˌɑː j ɑː
selamaayaawequ|s ˈɛ l ɐ m ˌɑː j ɑː w ˌɛ k
selamaaye|s ˈɛ l ɐ m ˌɑː aɪ
selamahonwa|s ˈɛ l ɐ m ˌæ h ɑː n w ə
selame|s ˈɛ l eɪ m
selami|s ɛ l ˈɑː m i
selamiyaa|s ˈɛ l ɐ m ˌɪ j ɑː
