aa|ˈa a
persacmcomunionm|p ɛ r s a k m k ɔ m ˈʊ n ɪ  ɔ n m 
persanaspatum|p ɛ r s a n ˈa s p a t ʊ m
perseberabdss|p ɛ r s ˈɛ b ɛ r a b d s s 
perseberaberit|p ɛ r s ɛ b ɛ r ˈa b ɛ r ɪ t
perseberandig|p ɛ r s ɛ b ɛ r ˈa n d ɪ ɡ
persedosit|p ɛ r s ˈɛ d ɔ s ɪ t 
persesmaex|p ɛ r s ˈɛ s m aɪ k s
persipienda|p ɛ r s ɪ p ɪ  ˈɛ n d a
persipis|p ˈɛ r s ɪ p ɪ s
persipre|p ˈɛ r s ɪ p  r ɛ
persistes|p ɛ r s ˈɪ s t ɛ s 
persisti|p ɛ r s ˈɪ s t ɪ
persistimals|p ɛ r s ˈɪ s t ɪ m a l s
persistra|p ɛ r s ˈɪ s t  r a
persobamus|p ɛ r s ˈɔ b a m ʊ s
persobamuss|p ɛ r s ˈɔ b a m ʊ s s
persolm|p ˈɛ r s ɔ l m
persomniummbuneretur|p ɛ r s ɔ m n ɪ  ʊ m m b ʊ n ˈɛ r ɛ t ʊ r
persona|p ˈɛ r s ɔ n a
personainiotaegbona|p ɛ r s ɔ n a ɪ n ɪ  ɔ t ˈaɪ ɡ b ɔ n a
personarmatefion|p ɛ r s ɔ n a r m a t ˈɛ f ɪ  ɔ n
perspiciebant|p ɛ r s p ɪ k ˈɪ  ɛ b a n t
persuad|p ˈɛ r s ʊ a d
persuaspicipes|p ɛ r s ʊ a s p ˈɪ k ɪ p ɛ s
persuassu|p ɛ r s ʊ ˈa s s ʊ
pert|p ˈɛ r t
perta|p ˈɛ r t a
pertaesuntlitris|p ɛ r t aɪ s ˈʊ n t l ɪ t  r ɪ s
pertduc|p ˈɛ r t d ʊ k
pertedigisti|p ɛ r t ɛ d ɪ ɡ ˈɪ s t ɪ
perteliberatus|p ɛ r t ɛ l ɪ b ˈɛ r a t ʊ s 
perteritus|p ɛ r t ˈɛ r ɪ t ʊ s
pertertum|p ɛ r t ˈɛ r t ʊ m
pertesua|p ɛ r t ˈɛ s ʊ a
pertina|p ˈɛ r t ɪ n a
pertinasi|p ɛ r t ˈɪ n a s ɪ
pertinser|p ɛ r t ˈɪ n s ɛ r
pertis|p ˈɛ r t ɪ s
pertisiendu|p ɛ r t ɪ s ɪ  ˈɛ n d ʊ
pertissimouocianu|p ɛ r t ɪ s s ɪ m ɔ w ɔ k ˈɪ  a n ʊ
pertomari|p ɛ r t ˈɔ m a r ɪ
pertoquescrinio|p ɛ r t ɔ k w ɛ s k  r ˈɪ n ɪ  ɔ
pertpecare|p ɛ r t p ˈɛ k a r ɛ 
pertraseatadisessibinolisereccolu|p ɛ r t  r a s ɛ a t a d ɪ s ɛ s s ɪ b ɪ n ɔ l ɪ s ɛ r ˈɛ kː ɔ l ʊ
pertrasir|p ˈɛ r t  r a s ɪ r
pertrasire|p ɛ r t  r ˈa s ɪ r ɛ
pertt|p ˈɛ r tː
pertuba|p ˈɛ r t ʊ b a
pertulerut|p ɛ r t ˈʊ l ɛ r ʊ t
perturbat|p ɛ r t ˈʊ r b a t
perturbet|p ɛ r t ˈʊ r b ɛ t 
pertus|p ˈɛ r t ʊ s
peru|p ˈɛ r ʊ
perue|p ˈɛ r ʊ ɛ
peruis|p ˈɛ r ʊ ɪ s
peruitoculuss|p ɛ r ʊ ɪ t ˈɔ k ʊ l ʊ s s
perum|p ˈɛ r ʊ m
perumsheius|p ɛ r ʊ m s h ˈɛ j j ʊ s
peruna|p ˈɛ r ʊ n a
perunt|p ˈɛ r ʊ n t
perurdnmet|p ɛ r ˈʊ r d n m ɛ t
perut|p ˈɛ r ʊ t
pes|p ˈɛ s
pesaluts|p ˈɛ s a l ʊ t s
pesat|p ˈɛ s a t
peserut|p ˈɛ s ɛ r ʊ t 
pesess|p ˈɛ s ɛ s s
pesetimeoabssente|p ɛ s ɛ t ɪ m ɛ ɔ a b s s ˈɛ n t ɛ
pesissesent|p ɛ s ˈɪ s s ɛ s ɛ n t
pesiste|p ɛ s ˈɪ s t ɛ
pesistietetaqui|p ɛ s ɪ s t ɪ  ɛ t ˈɛ t a k w ɪ
pesit|p ˈɛ s ɪ t
pesmaniprpactus|p ɛ s m a n ɪ p  r p ˈa k t ʊ s 
pesmus|p ˈɛ s m ʊ s
pesquttionespra|p ɛ s k w tː ɪ  ɔ n ˈɛ s p  r a
pesselaturus|p ɛ s s ɛ l ˈa t ʊ r ʊ s
pesserti|p ɛ s s ˈɛ r t ɪ
pessime|p ˈɛ s s ɪ m ɛ
pestinantercumferborecareitatis|p ɛ s t ɪ n a n t ɛ r k ʊ m f ɛ r b ɔ r ɛ k a r ɛ ˈɪ t a t ɪ s
pestinare|p ɛ s t ˈɪ n a r ɛ
pestinus|p ˈɛ s t ɪ n ʊ s
pestobelcosuetudnecopelen|p ɛ s t ɔ b ɛ l k ɔ s ʊ ɛ t ʊ d n ɛ k ˈɔ p ɛ l ɛ n
pesuanannuqamfustantor|p ˈeː  ɛ  ˈɛ s  ˈuː  a  ˈɛ n  a  ˈɛ n  ˈɛ n  ˈuː  k w ˈuː  a  ˈɛ m  ˈɛ f  ˈuː  ˈɛ s  t ˈeː  a  ˈɛ n  t ˈeː  ˈoː  ˈɛ r
pet|p ˈɛ t
petantorque|p ɛ t a n t ˈɔ r k w ɛ
petat|p ˈɛ t a t
petatura|p ɛ t ˈa t ʊ r a
petecufirmamot|p ɛ t ɛ k ʊ f ˈɪ r m a m ɔ t
petedasut|p ɛ t ˈɛ d a s ʊ t
petednoque|p ɛ t ˈɛ d n ɔ k w ɛ
petemnuti|p ɛ t ˈɛ m n ʊ t ɪ
petendum|p ɛ t ˈɛ n d ʊ m
petesecretumtibi|p ɛ t ɛ s ɛ k  r ɛ t ˈʊ m t ɪ b ɪ 
petet|p ˈɛ t ɛ t
peteta|p ˈɛ t ɛ t a
peti|p ˈɛ t ɪ
petifistif|p ɛ t ɪ f ˈɪ s t ɪ f
petisionisua|p ɛ t ɪ s ɪ  ɔ n ˈɪ s ʊ a
petitorm|p ˈɛ t ɪ t ɔ r m
petittores|p ɛ t ˈɪ tː ɔ r ɛ s
petlm|p ˈɛ t l m
petlmquintom|p ɛ t l m k w ˈɪ n t ɔ m
petnum|p ˈɛ t n ʊ m 
petra|p ˈɛ t  r a
pettsionmrarqua|p ɛ tː s ɪ  ɔ n m  r ˈa r k w a
petu|p ˈɛ t ʊ
petua|p ˈɛ t ʊ a
petue|p ˈɛ t ʊ ɛ
petuf|p ˈɛ t ʊ f
petumeus|p ˈɛ t ʊ m ɛʊ s
peuenisedadsalutemconteirent|p ɛʊ ɛ n ɪ s ɛ d a d s a l ʊ t ɛ m k ɔ n t ˈɛ ɪ r ɛ n t
peus|p ˈɛʊ s
pexioin|p ɛ k s ˈɪ  ɔ ɪ n
pexionese|p ɛ k s ɪ  ˈɔ n ɛ s ɛ
pexionis|p ɛ k s ˈɪ  ɔ n ɪ s 
pexionm|p ˈɛ k s ɪ  ɔ n m 
pexionmasipiatmensura|p ɛ k s ɪ  ɔ n m a s ɪ p ɪ  a t m ˈɛ n s ʊ r a
pexuanme|p ɛ k s ʊ ˈa n m ɛ
pfidelisprocur|p f ɪ d ɛ l ˈɪ s p  r ɔ k ʊ r
pfides|p f ˈɪ d ɛ s
pfirett|p f ˈɪ r ɛ tː
pfpelixet|p f p ɛ l ˈɪ k s ɛ t
pfraterinanticom|p f  r a t ɛ r ɪ n ˈa n t ɪ k ɔ m
pftumtem|p f t ˈʊ m t ɛ m 
pfudi|p f ˈʊ d ɪ
pfuitcmslasi|p f ʊ ˈɪ t k m s l a s ɪ 
phaniansuum|pʰ a n ɪ  ˈa n s ʊ ʊ m
phoc|pʰ ˈɔ k
pia|p ˈɪ  a
piamitens|p ɪ  ˈa m ɪ t ɛ n s
piariset|p ɪ  ˈa r ɪ s ɛ t
piatiautemamensecosortiu|p ɪ  a t ɪ  aʊ t ɛ m a m ɛ n s ɛ k ɔ s ˈɔ r t ɪ  ʊ 
piatu|p ˈɪ  a t ʊ
piauxs|p ˈɪ  aʊ k s s
pibab|p ˈɪ b a b
pibataeperia|p ɪ b a t aɪ p ˈɛ r ɪ  a
pibatisdiebusque|p ɪ b a t ɪ s d ɪ  ɛ b ˈʊ s k w ɛ
pibiretu|p ɪ b ˈɪ r ɛ t ʊ
pibus|p ˈɪ b ʊ s
picariss|p ˈɪ k a r ɪ s s
picatelbetiqimotemsesere|p ˈeː  ˈiː  k ˈeː  a  t ˈeː  ɛ  ˈɛ l  b ˈeː  ɛ  t ˈeː  ˈiː  k w ˈuː  ˈiː  ˈɛ m  ˈoː  t ˈeː  ɛ  ˈɛ m  ˈɛ s  ɛ  ˈɛ s  ɛ  ˈɛ ɹ  ɛ
picebspatrendus|p ɪ k ɛ b s p a t  r ˈɛ n d ʊ s
picebspatriecuius|p ɪ k ɛ b s p a t  r ɪ  ɛ k ˈʊ j j ʊ s
piceps|p ˈɪ k ɛ p s
piciibus|p ɪ k ˈɪ ʔ ɪ b ʊ s
picipemnmdominea|p ɪ k ɪ p ɛ m n m d ɔ m ˈɪ n ɛ a
piciterpe|p ɪ k ɪ t ˈɛ r p ɛ
picpatum|p ˈɪ k p a t ʊ m
pidebanturabdbigin|p ɪ d ɛ b a n t ʊ r ˈa b d b ɪ ɡ ɪ n
pidebatur|p ɪ d ˈɛ b a t ʊ r
pidelis|p ˈɪ d ɛ l ɪ s 
pidiat|p ˈɪ d ɪ  a t
pidresupera|p ɪ d  r ɛ s ˈʊ p ɛ r a 
pidusia|p ɪ d ˈʊ s ɪ  a
piente|p ɪ  ˈɛ n t ɛ
pigruf|p ˈɪ ɡ  r ʊ f
pii|p ˈɪ ʔ ɪ
piie|p ˈɪ ʔ j j ɛ
piit|p ˈɪ ʔ ɪ t
piitus|p ˈɪ ʔ ɪ t ʊ s
piitussanticosoladtsionmquiproa|p ɪ ʔ ɪ t ʊ s s a n t ɪ k ɔ s ɔ l a d t s ɪ  ɔ n m k w ˈɪ p  r ɔ a
pilis|p ˈɪ l ɪ s
pim|p ˈɪ m
pima|p ˈɪ m a
pimenteartiasextanonabespei|p ɪ m ɛ n t ɛ a r t ɪ  a s ɛ k s t a n ɔ n a b ˈɛ s p ɛ ɪ 
pimis|p ˈɪ m ɪ s
pimisdomnum|p ɪ m ɪ s d ˈɔ m n ʊ m
pimom|p ˈɪ m ɔ m
pimum|p ˈɪ m ʊ m
pimus|p ˈɪ m ʊ s
pimusitaquerpumitatisgradusest|p ɪ m ʊ s ɪ t a k w ɛ r p ʊ m ɪ t a t ɪ s ɡ  r ˈa d ʊ s ɛ s t
pin|p ˈɪ n
pinaqus|p ˈɪ n a k w s
pinippilicentorio|p ɪ n ɪ pː ɪ l ɪ k ɛ n t ˈɔ r ɪ  ɔ
pintissimus|p ɪ n t ˈɪ s s ɪ m ʊ s
pinusha|p ɪ n ˈʊ s h a
pior|p ˈɪ  ɔ r
pioresalpugn|p ɪ  ɔ r ɛ s ˈa l p ʊ ŋ n
piorimad|p ɪ  ˈɔ r ɪ m a d 
pirat|p ˈɪ r a t
piraturin|p ɪ r ˈa t ʊ r ɪ n
pirggns|p ˈɪ r ɡː n s
piri|p ˈɪ r ɪ
pirit|p ˈɪ r ɪ t
pirittate|p ɪ r ˈɪ tː a t ɛ
piritus|p ˈɪ r ɪ t ʊ s
piriumeum|p ɪ r ˈɪ  ʊ m ɛʊ m
pis|p ˈɪ s
piscibus|p ˈɪ s k ɪ b ʊ s
piseetofetdos|p ɪ s ɛ ɛ t ɔ f ˈɛ t d ɔ s 
piserecttaque|p ɪ s ɛ r ˈɛ k tː a k w ɛ
piserentur|p ɪ s ɛ r ˈɛ n t ʊ r
piserposertossire|p ɪ s ɛ r p ɔ s ɛ r t ˈɔ s s ɪ r ɛ
pisi|p ˈɪ s ɪ
pisiensia|p ɪ s ɪ  ˈɛ n s ɪ  a
pisipalia|p ɪ s ɪ p ˈa l ɪ  a
pissmadini|p ɪ s s m ˈa d ɪ n ɪ
pisso|p ˈɪ s s ɔ
pissusepide|p ɪ s s ʊ s ˈɛ p ɪ d ɛ
pistineinopisun|p ɪ s t ɪ n ɛ ɪ n ˈɔ p ɪ s ʊ n
pistno|p ˈɪ s t n ɔ
pistrilumabel|p ɪ s t  r ɪ l ˈʊ m a b ɛ l
pisum|p ˈɪ s ʊ m
pisus|p ˈɪ s ʊ s
pit|p ˈɪ t
pitaiaesseseccrassudedgi|p ɪ t a j j aɪ s s ɛ s ɛ kː  r a s s ʊ d ˈɛ d ɡ ɪ
pitani|p ˈɪ t a n ɪ
pitanus|p ˈɪ t a n ʊ s
pitenicaus|p ɪ t ˈɛ n ɪ k aʊ s
pitesaducantora|p ɪ t ɛ s a d ʊ k ˈa n t ɔ r a
pitipuset|p ɪ t ˈɪ p ʊ s ɛ t
pitlmabisesmums|p ɪ t l m a b ɪ s ˈɛ s m ʊ m s
pitlmoctabu|p ɪ t l m ˈɔ k t a b ʊ
pitlmtiesmu|p ɪ t l m t ɪ  ˈɛ s m ʊ
pitlu|p ˈɪ t l ʊ
pitlubisesmub|p ɪ t l ʊ b ɪ s ˈɛ s m ʊ b
pitludesmu|p ɪ t l ʊ d ˈɛ s m ʊ
pitlum|p ˈɪ t l ʊ m
pitlumdes|p ɪ t l ˈʊ m d ɛ s 
pitlumdiesmub|p ɪ t l ʊ m d ɪ  ˈɛ s m ʊ b
pitlumdu|p ɪ t l ˈʊ m d ʊ 
pitlumoctarub|p ɪ t l ʊ m ˈɔ k t a r ʊ b
pitlumquento|p ɪ t l ʊ m k w ˈɛ n t ɔ 
pitlumquintou|p ɪ t l ʊ m k w ˈɪ n t ɔ ʊ
pitlumtersiu|p ɪ t l ʊ m t ˈɛ r s ɪ  ʊ
pitlumudeqiqe|p ˈeː  ˈiː  t ˈeː  ˈɛ l  ˈuː  ˈɛ m  ˈuː  d ˈeː  ɛ  k w ˈuː  ˈiː  k w ˈuː  ɛ
pitlumus|p ˈɪ t l ʊ m ʊ s 
pitlunonu|p ɪ t l ˈʊ n ɔ n ʊ
pitluquartu|p ɪ t l ʊ k w ˈa r t ʊ
pitluquentu|p ɪ t l ʊ k w ˈɛ n t ʊ
pitnumb|p ˈɪ t n ʊ m b
pitolumatri|p ɪ t ɔ l ˈʊ m a t  r ɪ
pitomtersi|p ɪ t ɔ m t ˈɛ r s ɪ
pitu|p ˈɪ t ʊ
pituloa|p ɪ t ˈʊ l ɔ a
pitulum|p ˈɪ t ʊ l ʊ m
pitulumdes|p ɪ t ʊ l ˈʊ m d ɛ s
pium|p ˈɪ  ʊ m
piuma|p ˈɪ  ʊ m a
pius|p ˈɪ  ʊ s
piusa|p ˈɪ  ʊ s a
piuscoturbat|p ɪ  ʊ s k ɔ t ˈʊ r b a t
pla|p l ˈa
placiett|p l ˈa k ɪ  ɛ tː
placueri|p l a k ˈʊ ɛ r ɪ
placuerut|p l a k ˈʊ ɛ r ʊ t
placurt|p l ˈa k ʊ r t
plaectus|p l ˈaɪ k t ʊ s
plane|p l ˈa n ɛ
plasedumti|p l a s ɛ d ˈʊ m t ɪ
plasela|p l ˈa s ɛ l a
plasere|p l ˈa s ɛ r ɛ
plaset|p l ˈa s ɛ t
plasetprosessum|p l a s ɛ t p  r ɔ s ˈɛ s s ʊ m
plast|p l ˈa s t
plasta|p l ˈa s t a 
platearmcouculncar|p l a t ɛ a r m k ɔ ʊ k ˈʊ l ŋ k a r
platere|p l ˈa t ɛ r ɛ 
platteampuermnudtumcufentim|p l a tː ɛ a m p ʊ ɛ r m n ʊ d t ʊ m k ʊ f ˈɛ n t ɪ m
plcta|p ˈeː l k t ˈa
plebs|p l ˈɛ b s
plebutu|p l ˈɛ b ʊ t ʊ
pled|p l ˈɛ d
plede|p l ˈɛ d ɛ
plegargiq|p ˈeː  ˈɛ l  ɛ  ɡ ˈeː  a  ˈɛ r  ɡ ˈeː  ˈiː  k w ˈuː
pleiberitateed|p l ɛ ɪ b ɛ r ɪ t ˈa t ɛ ɛ d
plemissime|p l ɛ m ˈɪ s s ɪ m ɛ
plena|p l ˈɛ n a
plenaduns|p l ˈɛ n a d ʊ n s
plenamalexionibatset|p l ɛ n a m a l ɛ k s ɪ  ɔ n ɪ b ˈa t s ɛ t
plendolorebus|p l ɛ n d ɔ l ˈɔ r ɛ b ʊ s
plendora|p l ˈɛ n d ɔ r a
plenetibiunir|p l ɛ n ɛ t ɪ b ˈɪ  ʊ n ɪ r
plenissirepotest|p l ɛ n ɪ s s ɪ r ˈɛ p ɔ t ɛ s t
plenissmuss|p l ɛ n ˈɪ s s m ʊ s s 
plenm|p l ˈɛ n m
plensa|p l ˈɛ n s a
plenum|p l ˈɛ n ʊ m
plerib|p l ˈɛ r ɪ b
pleruquebet|p l ɛ r ˈʊ k w ɛ b ɛ t
plicabopecuni|p l ɪ k a b ɔ p ˈɛ k ʊ n ɪ
plisensam|p l ɪ s ˈɛ n s a m
plisti|p l ˈɪ s t ɪ
plor|p l ˈɔ r
ploramus|p l ˈɔ r a m ʊ s 
plorerent|p l ˈɔ r ɛ r ɛ n t
plure|p l ˈʊ r ɛ
pluresibetsotsios|p l ʊ r ɛ s ɪ b ɛ t s ˈɔ t s ɪ  ɔ s
pluressmodomlibesus|p l ʊ r ɛ s s m ɔ d ɔ m l ˈɪ b ɛ s ʊ s 
plurima|p l ˈʊ r ɪ m a 
plus|p l ˈʊ s
plusa|p l ˈʊ s a
plusb|p l ˈʊ s b
plusdolet|p l ˈʊ s d ɔ l ɛ t
plusenm|p l ˈʊ s ɛ n m
plusergocredredebe|p l ʊ s ɛ r ɡ ɔ k  r ɛ d  r ˈɛ d ɛ b ɛ
plusmequamseetsua|p l ʊ s m ɛ k w a m s ɛ ˈɛ t s ʊ a
plusomnesque|p l ʊ s ɔ m n ˈɛ s k w ɛ
plusprobocare|p l ʊ s p  r ɔ b ˈɔ k a r ɛ
pmargne|p m ˈa r ŋ n ɛ
pmueifmesnhoedbalnt|p m ʊ ɛ ɪ f m ɛ s n h ˈɔɪ d b a l n t
pnusprofestirelinquendoomniqa|p ˈeː  ˈɛ n  ˈuː  ˈɛ s  p ˈeː  ˈɛ ɹ  ˈoː  ˈɛ f  ɛ  ˈɛ s  t ˈeː  ˈiː  ˈɛ ɹ  ɛ  ˈɛ l  ˈiː  ˈɛ n  k w ˈuː  ˈuː  ɛ  ˈɛ n  d ˈeː  ˈoː  ˈoː  ˈɛ m  ˈɛ n  ˈiː  k w ˈuː  a
po|p ˈɔ
poae|p ˈɔ aɪ
pobatu|p ˈɔ b a t ʊ
pobis|p ˈɔ b ɪ s
pobitsio|p ɔ b ˈɪ t s ɪ  ɔ 
pobobant|p ˈɔ b ɔ b a n t
pobterea|p ɔ b t ˈɛ r ɛ a
pocaiones|p ɔ k ˈa j j ɔ n ɛ s 
pocalipsiunaex|p ɔ k a l ɪ p s ˈɪ  ʊ n aɪ k s
pocnsueratt|p ɔ k n s ˈʊ ɛ r a tː
poctaus|p ˈɔ k t aʊ s 
poculpade|p ɔ k ˈʊ l p a d ɛ
pocumeren|p ɔ k ˈʊ m ɛ r ɛ n
pocutum|p ˈɔ k ʊ t ʊ m
pocuu|p ˈɔ k ʊ ʊ
pod|p ˈɔ d
podcomocus|p ɔ d k ˈɔ m ɔ k ʊ s
podeaspuoquenat|p ɔ d ɛ a s p ʊ ˈɔ k w ɛ n a t
poderaret|p ɔ d ˈɛ r a r ɛ t
podesstaem|p ɔ d ˈɛ s s t aɪ m
podi|p ˈɔ d ɪ
podirginitate|p ɔ d ɪ r ɡ ɪ n ˈɪ t a t ɛ
podise|p ˈɔ d ɪ s ɛ
podmsed|p ˈɔ d m s ɛ d
podomia|p ɔ d ˈɔ m ɪ  a
podrada|p ˈɔ d  r a d a
podsiosit|p ɔ d s ˈɪ  ɔ s ɪ t
podutis|p ˈɔ d ʊ t ɪ s
podux|p ˈɔ d ʊ k s
poeiuma|p ˈɔɪ j j ʊ m a
poeliis|p ˈɔɪ l ɪ ʔ ɪ s
poeliisssaebeexequist|p ɔɪ l ɪ ʔ ɪ s s s aɪ b ɛ ˈɛ k s ɛ k w ɪ s t
poeliuexecquibus|p ɔɪ l ɪ w ɛ k s ˈɛ k k w ɪ b ʊ s
poeliumcmittrett|p ɔɪ l ɪ  ʊ m k m ˈɪ tː  r ɛ tː
poes|p ˈɔɪ s
poetamellecta|p ɔɪ t a m ɛ l l ˈɛ k t a
pofciscilube|p ɔ f k ɪ s k ˈɪ l ʊ b ɛ
pofectaeexsportunos|p ɔ f ɛ k t aɪ ɛ k s s p ˈɔ r t ʊ n ɔ s
pofeta|p ˈɔ f ɛ t a
pofetaseptis|p ɔ f ɛ t a s ˈɛ p t ɪ s
pofetasibonis|p ɔ f ɛ t a s ˈɪ b ɔ n ɪ s
poffetumphabtrausssengali|p ɔ f f ɛ t ʊ m pʰ a b t  r aʊ s s s ˈɛ ŋ ɡ a l ɪ
poffusis|p ˈɔ f f ʊ s ɪ s
pofpensa|p ɔ f p ˈɛ n s a
pofrut|p ˈɔ f  r ʊ t
pofugis|p ˈɔ f ʊ ɡ ɪ s
pogederetu|p ɔ ɡ ɛ d ˈɛ r ɛ t ʊ
pogibenti|p ɔ ɡ ɪ b ˈɛ n t ɪ
pogiberit|p ɔ ɡ ˈɪ b ɛ r ɪ t
pognatm|p ˈɔ ŋ n a t m
pognitacaesar|p ɔ ŋ n ɪ t a k ˈaɪ s a r
poibebant|p ɔ ˈɪ b ɛ b a n t
poiesistis|p ɔ j j ɛ s ˈɪ s t ɪ s
poitoiteram|p ɔ ɪ t ɔ ˈɪ t ɛ r a m
pole|p ˈɔ l ɛ
poleredebet|p ɔ l ɛ r ˈɛ d ɛ b ɛ t
policitat|p ɔ l ˈɪ k ɪ t a t
politanormlitoreestpusus|p ɔ l ɪ t a n ɔ r m l ɪ t ɔ r ɛ ˈɛ s t p ʊ s ʊ s
polod|p ˈɔ l ɔ d
polodmaete|p ɔ l ɔ d m ˈaɪ t ɛ
polodni|p ɔ l ˈɔ d n ɪ
pololio|p ɔ l ˈɔ l ɪ  ɔ
pololum|p ˈɔ l ɔ l ʊ m
polon|p ˈɔ l ɔ n
poloni|p ˈɔ l ɔ n ɪ
polonifideoteeruditumin|p ɔ l ɔ n ɪ f ɪ d ɛ ɔ t ɛ ɛ r ʊ d ˈɪ t ʊ m ɪ n
poloniregistirioca|p ɔ l ɔ n ɪ r ɛ ɡ ɪ s t ɪ r ˈɪ  ɔ k a
polonis|p ˈɔ l ɔ n ɪ s
polonisf|p ˈɔ l ɔ n ɪ s f
poloniss|p ˈɔ l ɔ n ɪ s s
polonium|p ɔ l ˈɔ n ɪ  ʊ m
polonius|p ɔ l ˈɔ n ɪ  ʊ s
poloniuss|p ɔ l ˈɔ n ɪ  ʊ s s
poloniustaquit|p ɔ l ɔ n ɪ  ˈʊ s t a k w ɪ t
polonmdicins|p ɔ l ˈɔ n m d ɪ k ɪ n s
polonmdixsitt|p ɔ l ɔ n m d ˈɪ k s s ɪ tː
polonmssedapolenemcederit|p ɔ l ɔ n m s s ɛ d a p ɔ l ɛ n ɛ m k ˈɛ d ɛ r ɪ t
polono|p ˈɔ l ɔ n ɔ
polons|p ˈɔ l ɔ n s
polonudicins|p ɔ l ɔ n ˈʊ d ɪ k ɪ n s
polonumagistrus|p ɔ l ɔ n ʊ m a ɡ ˈɪ s t  r ʊ s
polonumtirmcomtemttoremregni|p ɔ l ɔ n ʊ m t ɪ r m k ɔ m t ɛ m tː ɔ r ɛ m  r ˈɛ ŋ n ɪ
polonus|p ˈɔ l ɔ n ʊ s
polonuscuc|p ɔ l ɔ n ˈʊ s k ʊ k
polonussticclinumregiss|p ɔ l ɔ n ʊ s s t ɪ kː l ɪ n ˈʊ m  r ɛ ɡ ɪ s s
polounius|p ɔ l ɔ ˈʊ n ɪ  ʊ s
polugatus|p ɔ l ˈʊ ɡ a t ʊ s
polumre|p ɔ l ˈʊ m  r ɛ
polunius|p ɔ l ˈʊ n ɪ  ʊ s
poluniusset|p ɔ l ʊ n ɪ  ˈʊ s s ɛ t
polunus|p ˈɔ l ʊ n ʊ s
poluodi|p ɔ l ˈʊ ɔ d ɪ
pomissistiss|p ɔ m ɪ s s ˈɪ s t ɪ s s
pomnes|p ˈɔ m n ɛ s
pomnibussibero|p ɔ m n ɪ b ʊ s s ˈɪ b ɛ r ɔ
pomnidiere|p ɔ m n ɪ d ˈɪ  ɛ r ɛ
pomnium|p ˈɔ m n ɪ  ʊ m
pomnnenfloso|p ɔ m n n ˈɛ n f l ɔ s ɔ
pomnturiisque|p ɔ m n t ʊ r ɪ ʔ ˈɪ s k w ɛ
ponatud|p ˈɔ n a t ʊ d
ponatur|p ˈɔ n a t ʊ r
pondenicildimus|p ɔ n d ɛ n ɪ k ˈɪ l d ɪ m ʊ s
pone|p ˈɔ n ɛ
ponecut|p ˈɔ n ɛ k ʊ t
ponenda|p ɔ n ˈɛ n d a 
ponendar|p ɔ n ˈɛ n d a r 
ponerentacque|p ɔ n ɛ r ɛ n t ˈa k k w ɛ
ponet|p ˈɔ n ɛ t
ponetotanfidusa|p ɔ n ɛ t ɔ t a n f ˈɪ d ʊ s a 
ponretedebes|p ɔ n  r ɛ t ˈɛ d ɛ b ɛ s
ponsenstituiquoeptus|p ɔ n s ɛ n s t ɪ t ʊ ɪ k w ˈɔɪ p t ʊ s
pontenque|p ɔ n t ˈɛ ŋ k w ɛ
pope|p ˈɔ p ɛ
popei|p ˈɔ p ɛ ɪ
popeimaestet|p ɔ p ɛ ɪ m ˈaɪ s t ɛ t
poperab|p ˈɔ p ɛ r a b
poperexsibitati|p ɔ p ɛ r ɛ k s s ɪ b ˈɪ t a t ɪ
poperfuga|p ɔ p ˈɛ r f ʊ ɡ a
popericcmiscet|p ɔ p ɛ r ɪ kː m ˈɪ s k ɛ t
popia|p ˈɔ p ɪ  a
poplebatur|p ɔ p l ˈɛ b a t ʊ r
popliromanittutiesseposi|p ɔ p l ɪ r ɔ m a n ɪ tː ʊ t ɪ  ɛ s s ˈɛ p ɔ s ɪ
poplo|p ˈɔ p l ɔ
poplus|p ˈɔ p l ʊ s
poponme|p ɔ p ˈɔ n m ɛ
popos|p ˈɔ p ɔ s
poposit|p ˈɔ p ɔ s ɪ t
popositus|p ɔ p ˈɔ s ɪ t ʊ s
popteinopim|p ɔ p t ɛ ˈɪ n ɔ p ɪ m
popter|p ˈɔ p t ɛ r
poptera|p ˈɔ p t ɛ r a
popterboe|p ɔ p t ˈɛ r b ɔɪ
popterbonumpatiss|p ɔ p t ɛ r b ɔ n ˈʊ m p a t ɪ s s
poptereanuttricimeius|p ɔ p t ɛ r ɛ a n ʊ tː  r ɪ k ɪ m ˈɛ j j ʊ s
popterear|p ɔ p t ˈɛ r ɛ a r
popterincedibile|p ɔ p t ɛ r ɪ ŋ k ɛ d ˈɪ b ɪ l ɛ
popteristmciitatemdouffragiumpertuli|p ɔ p t ɛ r ɪ s t m k ɪ ʔ ɪ t a t ɛ m d ɔ ʊ f f  r a ɡ ɪ  ʊ m p ˈɛ r t ʊ l ɪ
popterocan|p ɔ p t ˈɛ r ɔ k a n 
popters|p ˈɔ p t ɛ r s
poptersomnolet|p ɔ p t ɛ r s ˈɔ m n ɔ l ɛ t
popuis|p ˈɔ p ʊ ɪ s
populirmanidgnitatisessista|p ɔ p ʊ l ɪ r m a n ɪ d ŋ n ɪ t a t ɪ s ɛ s s ˈɪ s t a
poquam|p ˈɔ k w a m
poque|p ˈɔ k w ɛ
poqueata|p ɔ k w ˈɛ a t a
poquic|p ˈɔ k w ɪ k
poquli|p ˈɔ k w l ɪ
por|p ˈɔ r
poracsiu|p ɔ r ˈa k s ɪ  ʊ
