ء|Q
مشوي|M AE SH W IY Y Y
مشى|M AE SH AE
مشيمة|M AE SH IY M AE
مص|M AE S S AE
مصاب|M UW S AE B
مصابحة|M UW S AE B AE HH AE
مصب|M AE S AE B B
مصبات|M AE S AE B B AE T
مصباح|M IY S B AE HH
مصبنة|M AE S B AE N AE
مصحنة|M IY S HH AE N AE
مصخفة|M IY S HH AE F AE
مصدق|M UW S AE D D AE K
مصدوم|M AE S D UW M
مصر|M IY S RRR
مصراع|M IY S RRR AE RH
مصطار|M UW S T AE RRR
مصطكاء|M UW S T AE K AE Q
مصطكى|M UW S T AE K AE
مصطلح|M UW S T AE L AE HH
مصعد|M IY S RH AE D
مصفاة|M IY S F AE HH
مصل|M AE S L
مصلب|M UW S AE L L IY B
مصلى|M UW S AE L L AE N
مصمم|M UW S AE M M IY M
مصنع|M AE S N AE RH UW N
مصهب|M UW S AE HH HH AE B
مصوع|M UW S AE W W AE RH
مصيبة|M UW S IY B AE
مصير|M AE S IY RRR
مضاربة|M UW D AE RRR AE B AE
مضايف|M AE D AE Y IY F
مضجع|M AE D D AE RH
مضرب|M IY D RRR AE B
مضض|M AE D AE D
مضمار|M IY D M AE RRR
مضمون|M AE D M UW N
مضيرة|M AE D IY RRR AE
مضيف|M UW D IY F
مضيفة|M AE D Y AE F AE
مضيق|M AE D IY K
مطار|M AE T AE RRR
مطاط|M AE T T AE T
مطاف|M AE T AE F
مطاو|M AE T AE W IY N
مطب|M AE T AE B B
مطبخ|M AE T B AE HH
مطبعة|M AE T B AE RH AE
مطحنة|M IY T HH AE N AE
مطران|M UW T RRR AE N
مطراني|M UW T RRR AE N IY Y Y
مطرانية|M UW T RRR AE N IY Y Y AE
مطرقة|M T AE RRR K AE
مطعم|M AE T RH AE M
مطفأة|M IY T F AE Q AE
مطواة|M IY T W AE HH
مظاهر|M AE DH AE HH IY RRR
مظلة|M IY DH AE L L AE
مظهر|M AE DH HH AE RRR
مع|M AE RH AE
معا|M AE RH AE N
معاء|M IY RH AE Q
معاداة|M UW RH AE D AE HH
معادلة|M UW RH AE D AE L AE
معارضة|M UW RH AE RRR AE D AE
معارف|M AE RH AE RRR IY F
معاصر|M UW RH AE S IY RRR
معانقة|M UW RH AE N AE K AE
معاون|M UW RH AE W IY N
معاونة|M UW RH AE W IY N AE
معاوية|M UW RH AE W IY Y AE
معاينة|M UW RH AE Y AE N AE
معبد|M AE RH B AE D
معبر|M AE RH B AE RRR
معبلة|M IY RH B AE L AE
معتبر|M UW RH T AE B IY RRR
معتدل|M UW RH T AE D IY L
معتزلة|M UW RH T AE Z IY L AE
معتقل|M UW RH T AE K AE L
معتل|M UW RH T AE L L
معجزات|M UW RH D IY Z AE T
معجزة|M UW RH D IY Z AE
معجم|M UW RH D AE M
معجون|M AE RH D UW N
معدات|M UW RH AE D D AE T
معدة|M IY RH D AE
معدن|M AE RH D IY N
معدود|M AE RH D UW D
معدوم|M AE RH D UW M
معدونس|M AE RH D UW N IY S
معراض|M IY RH RRR AE D
معرض|M AE RH RRR IY D
معركة|M AE RH RRR AE K AE
معروف|M AE RH RRR UW F
معزف|M IY RH Z AE F
معصم|M IY RH S AE M
معطس|M AE RH T IY S
معطف|M IY RH T AE F
معطى|M UW RH T AE N
معقل|M AE RH K IY L
معقود|M AE RH K UW D
معكرونة|M AE RH K AE RRR UW N AE
معلم|M UW RH L IY M
معمار|M IY RH M AE RRR
معماري|M IY RH M AE RRR IY Y Y
معمل|M AE RH M AE L
معمودية|M AE RH M UW D IY Y Y AE
معنوي|M AE RH N AE W IY Y Y
معنى|M AE RH N AE
معهد|M AE RH HH AE D
معول|M IY RH W AE L
معى|M IY RH AE N
معيار|M IY RH Y AE RRR
معير|M UW RH IY RRR
معين|M UW RH AE Y Y IY N
مغاث|M UW HH AE TH
مغامر|M UW HH AE M IY RRR
مغامرة|M UW HH AE M AE RRR AE
مغبن|M AE HH B AE N
مغذ|M UW HH AE DH DH IY N
مغرب|M UW HH RRR UW B
مغرفة|M IY HH RRR AE F AE
مغرور|M AE HH RRR UW RRR
مغزل|M IY HH Z AE L
مغسلة|M AE HH S IY L AE
مغضوب|M AE HH D UW B
مغطس|M IY HH T AE S
مغطى|M UW HH AE T T AE N
مغفرة|M AE HH F IY RRR AE
مغفل|M UW HH AE F F AE L
مغلاق|M IY HH L AE K
مغلف|M UW HH AE L L AE F
مغلق|M IY HH L AE K
مغلوب|M AE HH L UW B
مغن|M UW HH AE N N IY N
مغناطيس|M IY HH N AE T IY S
مغناطيسي|M IY HH N AE T IY S IY Y Y
مغناطيسية|M IY HH N AE T IY S IY Y Y AE
مغنط|M AE HH N AE T AE
مغنم|M AE HH N AE M
مغنيسيا|M AE HH N IY S IY Y AE
مغنيسيوم|M AE HH N IY S IY Y UW M
مغيب|M UW HH AE Y Y AE B
مغيم|M UW HH AE Y Y IY M
مفاجأة|M UW F AE D AE Q AE
مفاوضة|M UW F AE W AE D AE
مفت|M UW F T IY N
مفتاح|M IY F T AE HH
مفتش|M UW F AE T T IY SH
مفتعل|M UW F T AE RH AE L
مفرد|M UW F RRR AE D
مفرش|M IY F RRR AE SH
مفرط|M UW F RRR IY T
مفرغ|M UW F RRR IY HH
مفروشات|M AE F RRR UW SH AE T
مفروغ|M AE F RRR UW HH
مفسر|M UW F AE S S IY RRR
مفصل|M UW F AE S S AE L
مفك|M IY F AE K K
مفلس|M UW F L IY S
مفلفل|M UW F AE L F AE L
مفهوم|M AE F HH UW M
مفوف|M UW F AE W W AE F
مقابلة|M UW K AE B AE L AE
مقارنة|M UW K AE RRR AE N AE
مقاس|M AE G AE S
مقاص|M AE K AE S S
مقاطعة|M UW K AE T AE RH AE
مقاعد|M AE K AE RH IY D
مقالة|M AE K AE L AE
مقام|M AH0 K AE M
مقاود|M AE K AE W IY D
مقاولة|M UW K AE W AE L AE
مقايسة|M UW K AE Y AE S AE
مقبرة|M AE K B UW RRR AE
مقداد|M IY K D AE D
مقدار|M IY G D AE RRR
مقدر|M UW K AE D D AE RRR
مقدمة|M UW K AE D D IY M AE
مقدونس|M AE K D UW N IY S
مقدوني|M AE K D UW N IY Y Y
مقدونيا|M AE K D UW N IY Y AE
مقديشو|M AE K D IY SH UW
مقذاف|M IY K DH AE F
مقشدة|M IY K SH AE D AE
مقشرة|M IY K SH AE RRR AE
مقص|M IY K AE S S
مقصر|M UW K AE S S IY RRR
مقصف|M AE K S AE F
مقصلة|M IY K S AE L AE
مقصود|M AE K S UW D
مقطر|M UW K AE T T IY RRR
مقطع|M AE K T AE RH
مقطعية|M AE K T AE RH IY Y Y AE
مقع|M AE K AE RH AE
مقعد|M IY K RH AE D
مقعدة|M AE K RH AE D AE
مقلق|M UW K L IY K
مقلياثا|M AE K L IY Y AE TH AE
مقود|M IY K W AE D
مقولة|M AE K UW L AE
مكاء|M UW K K AE Q
مكار|M UW K AE RRR IY N
مكاريوس|M AE K AE RRR IY Y UW S
مكافح|M UW K AE F IY HH
مكالمة|M UW K AE L AE M AE
مكان|M AE K AE N
مكة|M AE K K AE
مكتب|M AE K T AE B
مكتبة|M AE K T AE B AE
مكث|M UW K TH
مكحلة|M UW K HH UW L AE
مكدس|M UW K AE D D IY S
مكسرات|M UW K AE S S AE RRR AE T
مكسور|M AE K S UW RRR
مكعب|M UW K AE RH RH AE B
مكمل|M UW K AE M M IY L
مكن|M AE K UW N AE
مكناس|M AE K N AE S
مكنسة|M IY K N AE S AE
مكوك|M AE K K UW K
مكون|M UW K AE W W IY N
مكياج|M IH K Y AA D
ملأك|M AE L Q AE K
ملا|M UW L L AE
ملاتيوس|M IY L AE T IY Y UW S
ملاحظ|M UW L AE HH IY DH
ملاحظة|M UW L AE HH AE DH AE
ملاحقة|M UW L AE HH AE K AE
ملاذ|M AE L AE DH
ملاط|M IY L AE T
ملاقاة|M UW L AE K AE HH
ملاك|M UW L L AE K
ملاكمة|M UW L AE K AE M AE
ملامح|M AE L AE M IY HH
ملبس|M AE L B AE S
ملجأ|M AE L D AE Q
ملح|M UW L HH AE
ملحس|M IY L HH AE S
ملحمي|M AE L HH AE M IY Y Y
ملحن|M UW L AE HH HH IY N
ملعقة|M IY L RH AE K AE
ملعون|M AE L RH UW N
ملف|M IY L AE F F
ملقن|M UW L AE K K IY N
ملك|M UW L L AE K
ملكة|M AE L IY K AE
ملكوت|M AE L AE K UW T
ملكي|M AE L AE K IY Y Y
ملل|M AE L L AE L AE
ملموم|M AE L M UW M
ملوخيا|M UW L UW HH IY Y Y AE
ملوخية|M UW L UW HH IY Y Y AE
ملوكيا|M UW L UW K IY Y Y AE
ملوكية|M UW L UW K IY Y Y AE
مليء|M AE L IY Q
مليار|M IY L Y AE RRR
مليق|M AE L IY K
مماثل|M UW M AE TH IY L
مماثلة|M UW M AE TH AE L AE
ممارسة|M UW M AE RRR AE S AE
مماس|M UW M AE S S
مماطلة|M UW M AE T AE L AE
ممتاز|M UW M T AE Z
ممتلئ|M UW M T AE L IY Q
ممتلكات|M UW M T AE L AE K AE T
ممثل|M UW M AE TH TH IY L
ممحوق|M AE M HH UW K
ممرض|M UW M AE RRR RRR IY D
ممسح|M UW M AE S S IY HH
ممسحة|M IY M S AE HH AE
ممسوح|M AE M S UW HH
ممكن|M UW M K IY N
مملوك|M AE M L UW K
ممن|M IY M M AE N
مميثا|M AE M M IY TH AE
من|M IY N
مناة|M AE N AE HH
مناخي|M AE N AE HH IY Y Y
منار|M AE N AE RRR
منارة|M AE N AE RRR AE
منازل|M AE N AE Z IY L
مناظرة|M UW N AE DH AE RRR AE
مناعة|M AE N AE RH AE
منافاة|M UW N AE F AE HH
منافس|M UW N AE F IY S
منافق|M UW N AE F IY K
مناقض|M UW N AE K IY D
منالاوس|M IY N AE L AE W UW S
منام|M AE N AE M
منبر|M IY N B AE RRR
منبه|M UW N AE B B IY HH
منتخب|M UW N T AE HH AE B
منتدى|M UW N T AE D AE
منتزه|M UW N T AE Z AE HH
منتصف|M UW N T AE S AE F
منتظر|M UW N T AE DH AE RRR
منتظم|M UW N T AE DH IY M
منتقض|M UW N T AE K IY D
منجاة|M AE N D AE HH
منجنيق|M AE N D AE N IY K
منجى|M AE N D AE N
منديل|M AE N D IY L
منذ|M UW N DH UW
منزل|M AE N Z IY L
منسأة|M IY N S AE Q AE
منسف|M IY N S AE F
منسوخ|M AE N S UW HH
منشأة|M UW N SH AE Q AE
منشار|M UW N SH AE RRR
منشفة|M IY N SH AE F AE
منصب|M AE N S IY B
منطقة|M AH0 N T AH0 G AH0
منطقي|M AE N T IY K IY Y Y
منظار|M IY N DH AE RRR
منظمة|M UW N AE DH DH AE M AE
منغوليا|M UW N HH UW L IY Y AE
منفاخ|M IY N F AE HH
منفضة|M IY N F AE D AE
منفور|M AE N F UW RRR
منفي|M AE N F IY Y Y
منقار|M IY N G AE RRR
منقرض|M UW N K AE RRR IY D
منقض|M UW N K IY D
منكب|M AE N K IY B
منهج|M IY N HH AE D
منور|M AE N W AE RRR
منون|M AE N UW N
منية|M AE N IY Y Y AE
منير|M UW N IY RRR
منيرة|M UW N IY RRR AE
مهابة|M AE HH AE B AE
مهاجر|M UW HH AE D IY RRR
مهاجم|M UW HH AE D IY M
مهارة|M AE HH AE RRR AE
مهدد|M UW HH AE D D AE D
مهدي|M AE HH D IY Y Y
مهذار|M IY HH DH AE RRR
مهراس|M IY HH RRR AE S
مهرة|M UW HH RRR AE
مهرجان|M IY HH RRR AE D AE N
مهلة|M UW HH L AE
مهم|M UW HH IY M M
مهماز|M IY HH M AE Z
مهنة|M IY HH N AE
مهندس|M UW HH AE N D IY S
مهوا|M AE HH W AE
مو|M UW
مواطن|M UW W AE T IY N
مواطنة|M UW W AE T IY N AE
موت|M AE W T
موتوسيكل|M OW0 T OW0 S IY K IY L
موجود|M AE W D UW D
موحد|M UW W AE HH HH IY D
موحش|M UW HH IY SH
مورد|M AE W RRR IY D
موريتانيا|M UW RRR IY T AE N IY Y AE
موز|M AE W Z
موزامبيق|M UW Z AE M B IY K
موزمبيق|M UW Z AE M B IY K
موسكو|M UW S K UW
موسم|M UW S IY M
موسمي|M AE W S IY M IY Y Y
موسى|M UW S AE
موسيقا|M UW S IY K AE
موسيقى|M UW S IY K AE
موضوع|M AE W D UW RH
موظف|M UW W AE DH DH AE F
موظفة|M UW W AE DH DH AE F AE
موقد|M AE W K IY D
موقع|M UW W AE K K IY RH
موقف|M AE W G IY F
موكب|M AE W K IY B
مولدوفا|M OW0 L D OW0 V AE
مولى|M AE W L AE N
مومس|M UW M IY S
مومسة|M UW M IY S AE
مومياء|M UW M IY Y AE Q
مونتريال|M UW N T RRR IY Y AE L
مويزج|M AE W IY Z AE D
مي|M AE Y Y
ميانمار|M IY Y AE N M AE RRR
ميتم|M AE Y T AE M
ميتوكندريا|M IY T UW K UW N D RRR IY Y AE
ميتوكندريون|M IY T UW K UW N D RRR IY Y UW N
ميثاق|M IY TH AE K
ميثرة|M IY TH AE RRR AE
ميدان|M AE Y D AE N
ميراث|M IY RRR AE TH
ميز|M AE Y Z
ميزان|M IY Z AE N
ميس|M AE Y S
ميضأة|M IY D AE Q AE
ميعاد|M IY RH AE D
ميكروويف|M AE Y K RRR OW0 W EH0 V
ميلاد|M IY L AE D
ميلق|M AE Y L AE K
ميم|M IY M
ميمنة|M AE Y M AE N AE
ميمون|M AE Y M UW N
مينا|M IY N AE
ميناء|M IY N AE Q
ميويزج|M IY W IY Z AE D
ن|N UW N
نأى|N AE Q AE
نائم|N AE Q IY M
ناجذ|N AE D IY DH
ناجود|N AE D UW D
ناح|N AE HH AE
ناحية|N AE HH IY Y AE
ناخوذاة|N AE HH UW DH AE HH
ناخوذة|N AE HH UW DH AE
نادرة|N AE D IY RRR AE
نادل|N AE D IY L
نادلة|N AE D IY L AE
نادى|N AE D AE
نار|N AE RRR
نارجيل|N AE RRR AE D IY L
ناردين|N AE RRR D IY N
نارنج|N AE RRR AE N D
نازع|N AE Z IY RH
ناسفة|N AE S IY F AE
ناسك|N AE S IY K
ناسور|N AE S UW RRR
ناشف|N AE SH IY F
ناصع|N AE S IY RH
ناصور|N AE S UW RRR
ناضج|N AE D IY D
ناط|N AE T AE
ناطف|N AE T IY F
ناظر|N AE DH IY RRR
ناعم|N AE RH IY M
ناعور|N AE RH UW RRR
ناعورة|N AE RH UW RRR AE
ناغش|N AE HH IY SH AE
نافذة|N AE F IY DH AE
نافلة|N AE F IY L AE
نافورة|N AE F UW RRR AE
نافى|N AE F AE
ناقص|N AE K IY S
ناقض|N AE K IY D
ناقل|N AE K IY L
ناقوس|N AE K UW S
نام|N AE M AE
ناموس|N AE M UW S
ناميبيا|N AE M IY B Y AE
نانخاة|N AE N AE HH AE HH
نانخة|N AE N AE HH AE
نانخواة|N AE N AE HH W AE HH
نانخوة|N AE N AE HH W AE
ناهز|N AE HH AE Z AE
ناووس|N AE W UW S
ناي|N AE Y
نبآء|N UW B AE Q AE Q
نبأ|N AE B AE Q
نبات|N AE B AE T
نباهة|N AE B AE HH AE
نبتون|N IY B T UW N
نبذة|N UW B DH AE
نبراس|N IY B RRR AE S
نبرة|N AE B RRR AE
نبهاء|N UW B AE HH AE Q
نبوغ|N UW B UW HH
نبي|N AE B IY Y Y
نبيل|N AE B IY L
نبيه|N AE B IY HH
نتأ|N AE T AE Q AE
نتج|N AE T AE D AE
نتف|N AE T AE F
نتوء|N UW T UW Q
نجاة|N AE D AE HH
نجاح|N AE D AE HH
نجار|N UW D AE RRR
نجاشي|N IY D AE SH IY Y Y
نجدة|N AE D D AE
نجى|N AE D D AE
نجي|N AE D IY Y Y
نحاس|N HH AE S
نحال|N AE HH HH AE L
نحل|N AE HH L
نحلة|N AE HH L AE
نحن|N UW HH N AE
نحيل|N AE HH IY L
نخاس|N AE HH HH AE S
نخاسة|N IY HH AE S AE
نخاع|N UW HH AE RH
نخالة|N UW HH HH AE L AE
نخروبي|N UW HH RRR UW B IY Y Y
نخشوش|N AE HH SH UW SH
نخل|N AE HH HH AE L AE
نخلة|N AE HH L AE
نخوة|N AE HH W AE
ندامة|N AE D AE M AE
ندبة|N UW D B AE
ندد|N AE D D AE D AE
ندم|N AE D IY M AE
ندوات|N AE D AE W AE T
ندوة|N UW D UW W W AE
ندى|N AE D AE
نذل|N AE DH L
نذير|N AE DH IY RRR
نرجيل|N AE RRR D IY L
نرفز|N AE RRR F AE Z AE
نرويجية|N UW RRR W IY D IY Y Y AE
نزعة|N AE Z RH AE
نزلة|N AE Z L AE
نزهة|N UW Z HH AE
نزية|N AE Z IY Y Y AE
نزيل|N AE Z IY L
نسأ|N AE S AE Q AE
نساء|N IY S AE Q
نساب|N AE S S AE B
نسبوية|N IY S B AE W IY Y Y AE
نسبي|N IY S B IY Y Y
نسبيا|N IY S B IY Y Y AE N
نستعليق|N AE S T AE RH L IY K
نسخ|N AE S HH
نسخة|N UW S HH AE
نسرين|N IY S RRR IY N
نسكي|N UW S UW K IY Y Y
نسمة|N AE S AE M AE
نسوان|N UW S W AE N
نسى|N AE S S AE
نسيئة|N AE S IY Q AE
نسيم|N AE S IY M
نشادر|N UW SH AE D IY RRR
نشاطية|N AE SH AE T IY Y Y AE
نشد|N AE SH AE D AE
نشرة|N AE SH RRR AE
نشل|N AE SH L
نشور|N UW SH UW RRR
نشيد|N AE SH IY D
نشيدة|N AE SH IY D AE
نص|N AE S S
نصاب|N AE S S AE B
نصراني|N AE S RRR AE N IY Y Y
نضار|N UW D AE RRR
نضب|N AE D AE B AE
نضو|N IY D W
نضوج|N UW D UW D
نضي|N AE D IY Y Y
نضيج|N AE D IY D
نطاق|N IY T AE K
نطل|N AE T AE L AE
نظارة|N AE DH DH AE RRR AE
نظام|N IY DH AE M
نظامي|N IY DH AE M IY Y Y
نظر|N IY DH RRR
نظرية|N AE DH AE RRR IY Y Y AE
نظف|N AE DH DH AE F AE
نظير|N AE DH IY RRR
نظيف|N AE DH IY F
نعاس|N UW RH AE S
نعال|N IY RH AE L
نعامة|N AE RH AE M AE
نعجة|N AE RH D AE
نعس|N AE RH AE S AE
نعل|N AE RH RH AE L AE
نعم|N AE RH AE M
نعمة|N IY RH M AE
نعناع|N AE RH N AE RH
نعوظ|N UW RH UW DH
نعيم|N AE RH IY M
نغمة|N AE HH M AE
نفاخة|N UW F F AE HH AE
نفاد|N AE F AE D
نفاذ|N AE F AE DH
نفث|N AE F AE TH AE
نفخ|N AE F HH
نفس|N AE F S
نفض|N AE F F AE D AE
نفط|N IY F T
نفقة|N AE F AE K AE
نفوذ|N UW F UW DH
نق|N AE K K AE
نقاب|N IY K AE B
نقحر|N AE K HH AE RRR AE
نقدا|N AE K D AE N
نقصان|N UW K S AE N
نقض|N UW K D AE
نقطة|N UW K T AE
نقيض|N AE K IY D
نكاح|N IY K AE HH
نكبة|N AE K B AE
نمر|N AE M IY RRR
نمط|N AE M AE T
نملة|N AE M L AE
نموذج|N AE M UW DH AE D
نموذجي|N AE M UW DH AE D IY Y Y
نهائي|N IY HH AE Q IY Y Y
نهار|N AE HH AE RRR
نهاية|N IY HH AE Y AE
نهب|N AE HH AE B AE
نهر|N AE HH RRR
نهز|N AE HH AE Z AE
نهزة|N UW HH Z AE
نهض|N AE HH D
نهضة|N AE HH D AE
نهق|N AE HH AE K AE
نهى|N AE HH AE
نواجذ|N AE W AE D IY DH
نواخذة|N AE W AE HH IY DH AE
نواكشوط|N UW W AE K SH UW T
نوح|N UW HH
نور|N UW RRR
نوراني|N UW RRR AE N IY Y Y
نورج|N AE W RRR AE D
نورس|N AE W RRR AE S
نوع|N AE W RH
نوفمبر|N UW F IY M B IY RRR
نوم|N AE W W AE M AE
نون|N UW N
نوه|N AE W W AE HH AE
نيابة|N IY Y AE B AE
نياحة|N IY Y AE HH AE
نياط|N IY Y AE T
نيبال|N IY P AE L
نية|N IY Y Y AE
نيتروجين|N IY T RRR OW0 ZH EH0 N
نيجيريا|N IY G IY RRR IY Y AE
نير|N AE Y Y IY RRR
نيشان|N IY SH AE N
نيفق|N AE Y F AE K
نيكاراغوا|N IY K AE RRR AE HH UW W AE
نيلج|N IY L AE D
نيلي|N IY L IY Y Y
نيوزيلاندا|N IY Y UW Z IY L AE N D AE
نيويورك|N IY Y UW Y OW0 RRR K
ه|HH AE Q
هؤلاء|HH AE Q UW L AE Q IY
ها|HH AE
هاء|HH AE Q AE
هائل|HH AE Q IY L
هاب|HH AE B AE
هابيل|HH AE B IY L
هاتف|HH AE T IY F
هاته|HH AE T IY HH IY
هاجم|HH AE D AE M AE
هاد|HH AE D AE
هادي|HH AE D IY
هارب|HH AE RRR IY B
هارون|HH AE RRR UW N
هازباء|HH AE Z IY B AE Q
هال|HH AE L AE
هالك|HH AE L IY K
هالوك|HH AE L UW K
هامش|HH AE M IY SH
هانم|HH AE N IY M
هاون|HH AE W UW N
هايتي|HH AE Y IY T IY
هباء|HH AE B AE Q
هبة|HH IY B B AE
هبد|HH AE B D
هبيد|HH AE B IY D
هتف|HH AE T AE F AE
هتك|HH AE T AE K AE
هجاء|HH IY D AE Q
هجران|HH IY D RRR AE N
هجرة|HH IY D RRR AE
هجليج|HH IY D L IY D
هجم|HH AE D AE M AE
هجوم|HH UW D UW M
هجى|HH AE D D AE AE
هدار|HH AE D D AE RRR
هدد|HH AE D D AE D AE
هدس|HH AE D AE S
هدف|HH AE D AE F
هدم|HH AE D M
هدهد|HH UW D HH UW D
هدى|HH UW D AE N
هدية|HH AE D IY Y Y AE
هذا|HH AE DH AE
هذب|HH AE DH DH AE B AE
هذر|HH AE DH IY RRR AE
هذه|HH AE DH IY HH IY
هذى|HH AE DH AE
هذيان|HH AE DH AE Y AE N
هر|HH IY RRR RRR
هراش|HH IY RRR AE SH
هراوات|HH IY RRR AE W AE T
هراوة|HH IY RRR AE W AE
هراوى|HH AE RRR AE W AE
هرة|HH IY RRR RRR AE T UW N
هرد|HH UW RRR UW D
هرنوة|HH AE RRR N UW W AE
هرول|HH AE RRR W AE L
هرولة|HH AE RRR W AE L AE
هريرة|HH UW RRR AE Y RRR AE T UW N
هزة|HH IY Z Z AE
هزج|HH AE Z IY D AE
هزر|HH AE Z AE RRR AE
هزل|HH AE Z L
هزيز|HH AE Z IY Z
هزيل|HH AE Z IY L
هزيمة|HH AE Z IY M AE
هش|HH AE SH SH AE
هطل|HH AE T AE L AE
هطلس|HH AE T AE L L AE S
هعخع|HH UW RH HH UW RH
هفا|HH AE F AE
هفو|HH AE F W
هكذا|HH AE K AE DH AE
هل|HH AE L
هلاك|HH AE L AE K
هلسنكي|HH IY L S IY N K IY
هللة|HH AE L AE L AE
هلهل|HH AE L HH AE L AE
هم|HH UW M
هما|HH UW M AE
همجي|HH AE M AE D IY Y Y
همدان|HH AE M D AE N
همزة|HH UW M AE Z AE
همس|HH AE M S
هميان|HH IY M Y AE N
هن|HH UW N N AE
هنا|HH UW N AE
هنادة|AE L HH AE N AE D AE
هناك|HH UW N AE K AE
هنالك|HH UW N AE L IY K AE
هندباء|HH IY N D IY B AE Q
هندس|HH AE N D AE S AE
هندسة|HH AE N D AE S AE
هندسي|HH AE N D AE S IY Y Y
هنغاري|HH UW N HH AE RRR IY Y Y
هنغاريا|HH UW N HH AE RRR IY Y AE
هنيهة|HH UW N AE Y HH AE
ههنا|HH AE HH UW N AE
ههناك|HH AE HH UW N AE K AE
هو|W AE HH W AE
هواء|HH AE W AE Q
هوادة|HH AE W AE D AE
هوة|HH UW W W AE
هوتة|HH UW T AE
هود|HH UW D
هودج|HH AE W D AE D
هوري|HH UW RRR IY Y Y
هوشة|HH AE W SH AE
هول|HH AE W L
هوندوراس|HH OW0 N D UW RRR AE S
هويات|HH UW W IY Y Y AE T
هي|HH IY Y AE
هيئة|HH AE Y Q AE
هيا|HH AE Y Y AE
هيبة|HH IY B AE
هيدروجين|HH IY D RRR OW0 ZH EH0 N
هيف|HH AE Y IY F AE
هيكل|HH AE Y K AE L
هيمنة|HH AE Y M AE N AE
هيول|HH AE Y UW L
و|W IH
وأد|W AE Q D
وأى|W AE Q AE
وا|W AE
وابل|W AE B IY L
وابور|W AE B UW RRR
واثق|W AE TH IY K
واجه|W AE D AE HH AE
واجهات|W AE D IY HH AE T
واجهة|W AE D IY HH AE
واحات|W AE HH AE T
واحة|W AE HH AE
واحد|W AE HH IY D
واحدة|W AE HH IY D AE
واد|W AE D IY N
وارث|W AE RRR IY TH
وارسو|W AE RRR S UW
واس|W AE S
واسع|W AE S IY RH
واشنطن|W AE SH IY N T UW N
واطن|W AE T AE N AE
واظب|W AE DH AE B AE
واعد|W AE RH AE D AE
وافق|W AE F AE K AE
واق|W AE K IY N
واقع|W AE K IY RH
واقعة|W AE K IY RH AE
واقعي|W AE K IY RH IY Y Y
والله|W AE L L AE HH IY
واه|W AE HH IY N
واو|W AE W
وبال|W AE B AE L
وبخ|W AE B B AE HH AE
وبل|W AE B AE L AE
وبيل|W AE B IY L
وتدي|W AE T AE D IY Y Y
وتيرة|W AE T IY RRR AE
وتين|W AE T IY N
وثق|W AE TH TH AE K AE
وثني|W AE TH AE N IY Y Y
وثيق|W AE TH IY K
وثيقة|W AE TH IY K AE
وجب|W AE D D AE B AE
وجبة|W AE D B AE
وجد|W AE D D
وجدة|W AE D D AE
وجنة|W AE D N AE
وجهة|W UW D HH AE
وجود|W UW D UW D
وجوم|W UW D UW M
وجيز|W AE D IY Z
وحدة|W AE HH D AE
وحل|W AE HH L
وحمة|W AE HH M AE
وداعا|W AE D AE RH AE N
ودامون|W AE D AE M UW N
ودج|Q AE W D AE D
وديعة|W AE D IY RH AE
وراثة|W IY RRR AE TH AE
وراط|W IY RRR AE T
وردة|W AE RRR D AE
وردي|W AE RRR D IY Y Y
ورس|W UW RRR UW S
ورشان|W AE RRR AE SH AE N
ورشنوفة|W AE RRR SH AE N UW F AE
ورطة|W AE RRR T AE
ورق|W AE RRR AE K
ورقة|W AE RRR AE K AE
ورل|W AE RRR AE L
ورن|W AE RRR AE N
وروار|W AE RRR W AE RRR
ورى|W AA RRR AH0
وريد|W AE RRR IY D
وزارة|W IY Z AE RRR AE
وزراء|W UW Z AE RRR AE Q
وزع|W AE Z Z AE RH AE
وزغ|W AE Z AE HH
وزغة|W AE Z AE HH AE
وزنة|W AE Z N AE
وسام|W IY S AE M
وسخ|W AE S IY HH
وسد|W AE S S AE D AE
وسط|W UW S AE T
وسع|W AE S UW RH AE
وسق|W AE S K
وسمة|W AE S M AE
وشاح|W IY SH AE HH
وشك|W UW SH K
وشيك|W AE SH IY K
وصاية|W IY S AE Y AE
وصفة|W AE S F AE
وصى|W AE S S AE
وصية|W AE S IY Y Y AE
وصيد|W AE S IY D
وصيف|W AE S IY F
وضاح|W AE D D AE HH
وضب|W AE D D AE B AE
وضح|W AE D D AE HH AE
وضع|W AE D RH
وضعية|W AE D RH IY Y Y AE
وضوء|W UW D UW Q
وضوح|W UW D UW HH
وطني|W AE T AE N IY Y Y
وظف|W UW DH UW F
وظيفة|W AE DH IY F AE
وعاء|W IY RH AE Q
وعد|W AE RH D
وعدة|W AE RH D AE
وعليكم|W AE RH AE L AE Y K UW M
وعي|W AE RH Y
وغد|W AE HH UW D AE
وغل|W AE HH AE L AE
وفاء|W AE F AE Q
وفق|W AE F IY K AE
وفي|W AE F IY Y Y
وقاء|W IY K AE Q
وقار|W AE K AE RRR
وقت|W AE Q T
وقتئذ|W AE K T AE Q IY DH IY N
وقتذاك|W AE K T AE DH AE K AE
وقع|W AE K RH
وقف|W AE K K AE F AE
وقود|W AE K UW D
وقية|W UW K IY Y Y AE
ولاعة|W AE L L AE RH AE
ولاية|W IY L AE Y AE
ولد|W AE L L AE D AE
ولكن|W AE L AE K IY N N AE
ولو|W AE L AE W
ولى|W AE L L AE
وليمة|W AE L IY M AE
ومض|W AE M AE D AE
