а|AA
традиційний|T RRR AA D EH0 T IY IY N EH0 IY
традиційно|T RRR AA D EH0 T IY IY N AO
традицію|T RRR AA D IH T IY Y UH
традиція|T RRR AA D IH T IY Y AA
трактор|T RRR AA K T AO RRR
трактористка|T RRR AA K T AO RRR IH S T K AA
трамвай|T RRR AA M V AA IY
транзит|T RRR AA N Z IH T
транзитний|T RRR AA N Z IH T N EH0 IY
трансплантацій|T RRR AA N S P L AA N T AA T IY IY
трансплантація|T RRR AA N S P L AA N T AA T IY Y AA
трансплантації|T RRR AA N S P L AA N T AA T IY Y IY
транспорт|T RRR AA N S P AO RRR T
транспортний|T RRR AA N S P AO RRR T N EH0 IY
транспортувати|T RRR AA N S P AO RRR T UH V AA T EH0
трансформацій|T RRR AA N S F AO RRR M AA T IY IY
трансформацію|T RRR AA N S F AO RRR M AA T IY Y UH
трансформація|T RRR AA N S F AO RRR M AA T IY Y AA
трансформаціям|T RRR AA N S F AO RRR M AA T IY Y AA M
трансформаціями|T RRR AA N S F AO RRR M AA T IY Y AA M EH0
трансформаціях|T RRR AA N S F AO RRR M AA T IY Y AA HH
трансформацією|T RRR AA N S F AO RRR M AA T IY Y EH0 Y UH
трансформації|T RRR AA N S F AO RRR M AA T IY Y IY
трансформувати|T RRR AA N S F AO RRR M UH V AA T EH0
трапитися|T RRR AA P EH0 T EH0 S AA
траплятися|T RRR AA P L AA T EH0 S AA
траєкторія|T RRR AA Y EH0 K T AO RRR IY Y AA
треба|T RRR EH B AA
тремпель|T RRR EH M P EH0 L
тренер|T RRR EH N EH0 RRR
тренування|T RRR EH0 N UH V AA N AA
тренувати|T RRR EH0 N UH V AA T EH0
тренінг|T RRR EH N IY N
трепанація|T RRR EH0 P AA N AA T IY Y AA
третій|T RRR EH T IY IY
трефа|T RRR EH F AA
три|T RRR IH
трибунал|T RRR EH0 B UH N AA L
тривалий|T RRR EH0 V AA L EH0 IY
тривалість|T RRR EH0 V AA L IY S T
тривати|T RRR EH0 V AA T EH0
тривимірний|T RRR EH0 V IH M IY RRR N EH0 IY
тривога|T RRR EH0 W AO AA
тригліцерид|T RRR EH0 L IY T EH0 RRR IH D
тридцятий|T RRR EH0 D T AA T EH0 IY
тридцятиліття|T RRR EH0 D T AA T EH0 L IY T AA
тридцятиріччя|T RRR EH0 D T AA T EH0 RRR IY T AA
тридцять|T RRR IH D T AA T
трикутний|T RRR EH0 K UW T N EH0 IY
трикутник|T RRR EH0 K UW T N EH0 K
тримати|T RRR EH0 M AA T EH0
тринадцятий|T RRR EH0 N AA D T AA T EH0 IY
тринадцять|T RRR EH0 N AA D T AA T
триповерховий|T RRR EH0 P AO V EH0 RRR HH AO V EH0 IY
триста|T RRR IH S T AA
тристоронній|T RRR EH0 S T AO RRR AO N IY IY
трок|T RRR AO K
троль|T RRR AO L
трон|T RRR AO N
тротуар|T RRR AO T UH AA RRR
тротуарам|T RRR AO T UH AA RRR AA M
тротуарами|T RRR AO T UH AA RRR AA M EH0
тротуарах|T RRR AO T UH AA RRR AA HH
тротуари|T RRR AO T UH AA RRR EH0
тротуарі|T RRR AO T UH AA RRR IY
тротуарів|T RRR AO T UH AA RRR IY UW
трохи|T RRR AO HH EH0
троянда|T RRR AO Y AA N D AA
троє|T RRR AO Y EH0
труба|T RRR UH B AA
трубкозуб|T RRR UH B K OW0 Z UW B
трубопровід|T RRR UH B AO P RRR AO V IY D
трудний|T RRR UH D N IH IY
трудність|T RRR UW D N IY S T
трудовий|T RRR UH D AO V IH IY
трудівник|T RRR UH D IY UW N IH K
труна|T RRR UH N AA
труп|T RRR UW P
трупа|P RRR EH0 T IH N AA
трутень|T RRR UW T EH0 N
труїти|T RRR UH Y IY T EH0
трьохсот|T RRR AO HH S AO T
трьохсотий|T RRR AO HH S AO T EH0 IY
трясти|T RRR AA S T IH
тріска|T RRR IY S K AA
тріумфальна|T RRR IY UH M F AA L N AA
тріумфальний|T RRR IY UH M F AA L N EH0 IY
тріщина|T RRR IY SH T EH0 N AA
ту|T UW
туалет|T UH AA L EH T
тугий|T UH IH IY
туди|T UH D IH
туз|T UW Z
туман|T UH M AA N
тунелеві|T UH N EH L EH0 V IY
тунелем|T UH N EH L EH0 M
тунель|T UH N EH L
тунелю|T UH N EH L UH
тунелям|T UH N EH L AA M
тунелями|T UH N EH L AA M EH0
тунелях|T UH N EH L AA HH
тунелі|T UH N EH L IY
тунелів|T UH N EH L IY UW
туніс|T UH N IY S
тупий|T UH P IH IY
тура|T UH RRR AA
турбота|T UH RRR B AO T AA
турецький|T UH RRR EH T K EH0 IY
туреччина|T UH RRR EH T EH0 N AA
туризм|T UH RRR IH Z M
турист|T UH RRR IH S T
туристичний|T UH RRR EH0 S T IH T N EH0 IY
туристка|T UH RRR IH S T K AA
туркменістан|T UH RRR K M EH0 N IY S T AA N
турків|T UW RRR K IY UW
турнікет|T UH RRR N IY K EH T
турнір|T UH RRR N IY RRR
турок|T UW RRR AO K
турчанка|T UH RRR T AA N K AA
тут|T UW T
тхір|T HH IY RRR
тюлень|T UH L EH N
тюремний|T UH RRR EH M N EH0 IY
тюрма|T UH RRR M AA
тютюн|T UH T UW N
тюхтій|T UH HH T IY IY
тягати|T AA AA T EH0
тягнути|T AA N UW T EH0
тягти|T AA T IH
тяжкий|T AA ZH K IH IY
тяти|T AA T EH0
ті|T IY
тій|T IY IY
тікати|T IY K AA T EH0
тілесний|T IY L EH S N EH0 IY
тіло|T IY L AO
тільки|T IY L K EH0
тілі|T IY L IY
тім|T IY M
тім'я|T IY M Y AA
тінь|T IY N
тіні|T IY N IY
тісний|T IY S N IH IY
тістечко|T IY S T EH0 T K AO
тісто|T IY S T AO
тітка|T IY T K AA
тією|T IY Y EH Y UH
тієї|T IY Y EH Y IY
убивати|UH B EH0 V AA T EH0
убивство|UH B IH UW S T W AO
убити|UH B IH T EH0
убогий|UH B AO EH0 IY
ув'язнення|UH V Y AA Z N EH0 N AA
ув'язнити|UH V Y AA Z N IH T EH0
ув'язнювати|UH V Y AA Z N UH V AA T EH0
увага|UH V AA AA
уважний|UH V AA ZH N EH0 IY
увесь|UH V EH S
увечері|UH V EH T EH0 RRR IY
увімкнути|UH V IY M K N UW T EH0
уганда|UH AA N D AA
угода|UH AO D AA
угорець|UH AO RRR EH0 T
угорка|UH AO RRR K AA
угорський|UH AO RRR S K EH0 IY
угорськомовний|UH AO RRR S K AO M AO UW N EH0 IY
угорщина|UH AO RRR SH T EH0 N AA
удача|UH D AA T AA
удосвіта|UH D AO S V IY T AA
удосконалити|UH D AO S K AO N AA L EH0 T EH0
удосконалювати|UH D AO S K AO N AA L UH V AA T EH0
ужгород|UW ZH AO RRR AO D
уже|UH ZH EH
уживати|UH ZH EH0 V AA T EH0
ужити|UH ZH IH T EH0
узагальнити|UH Z AA AA L N EH0 T EH0
узагальнювати|UH Z AA AA L N UH V AA T EH0
узаконити|UH Z AA K AO N EH0 T EH0
узаконювати|UH Z AA K AO N UH V AA T EH0
узбекистан|UH Z B EH0 K EH0 S T AA N
узлісся|UH Z L IY S AA
узяти|UH Z AA T EH0
україна|UH K RRR AA Y IY N AA
українець|UH K RRR AA Y IY N EH0 T
україни|UH K RRR AA Y IY N EH0
українка|UH K RRR AA Y IY N K AA
україно|UH K RRR AA Y IY N AO
україномовний|UH K RRR AA Y IY N AO M AO UW N EH0 IY
українофоб|UH K RRR AA Y IY N AO F AO B
україною|UH K RRR AA Y IY N AO Y UH
українська|UH K RRR AA Y IY N S K AA
українське|UH K RRR AA Y IY N S K EH0
український|UH K RRR AA Y IY N S K EH0 IY
українським|UH K RRR AA Y IY N S K EH0 M
українськими|UH K RRR AA Y IY N S K EH0 M EH0
українських|UH K RRR AA Y IY N S K EH0 HH
українського|UH K RRR AA Y IY N S K AO AO
українському|UH K RRR AA Y IY N S K AO M UH
українською|UH K RRR AA Y IY N S K AO Y UH
української|UH K RRR AA Y IY N S K AO Y IY
українську|UH K RRR AA Y IY N S K UH
українські|UH K RRR AA Y IY N S K IY
українській|UH K RRR AA Y IY N S K IY IY
українськім|UH K RRR AA Y IY N S K IY M
україну|UH K RRR AA Y IY N UH
українці|UH K RRR AA Y IY N T IY
україні|UH K RRR AA Y IY N IY
українізація|UH K RRR AA Y IY N IY Z AA T IY Y AA
укріп|UH K RRR IY P
укус|UH K UW S
ультиматум|UH L T EH0 M AA T UH M
улюбленець|UH L UW B L EH0 N EH0 T
улюблений|UH L UW B L EH0 N EH0 IY
улюбленка|UH L UW B L EH0 N K AA
уманець|UH M AA N EH T
умань|UW M AA N
умерти|UH M EH RRR T EH0
умикати|UH M EH0 K AA T EH0
умирати|UH M EH0 RRR AA T EH0
умисний|UH M IH S N EH0 IY
умова|UH M AO V AA
умовах|UH M AO V AA HH
умовний|UH M AO UW N EH0 IY
уможливити|UH M AO ZH L IH V EH0 T EH0
уможливлювати|UH M AO ZH L IH UW L UH V AA T EH0
уміння|UH M IY N AA
уміти|UH M IY T EH0
унеможливити|UH N EH0 M AO ZH L IH V EH0 T EH0
унеможливлювати|UH N EH0 M AO ZH L IH UW L UH V AA T EH0
уникати|UH N EH0 K AA T EH0
уникнути|UH N IH K N UH T EH0
універсальний|UH N IY V EH0 RRR S AA L N EH0 IY
універсальність|UH N IY V EH0 RRR S AA L N IY S T
університет|UH N IY V EH0 RRR S EH0 T EH T
університетський|UH N IY V EH0 RRR S EH0 T EH T K EH0 IY
унікальний|UH N IY K AA L N EH0 IY
уособити|UH AO S AO B EH0 T EH0
уособлювати|UH AO S AO B L UH V AA T EH0
упасти|UH P AA S T EH0
упевнений|UH P EH UW N EH0 N EH0 IY
упевненість|UH P EH UW N EH0 N IY S T
упередження|UH P EH0 RRR EH D EH0 N AA
уповноважити|UH P AO UW N AO V AA ZH EH0 T EH0
уповноважувати|UH P AO UW N AO V AA ZH UH V AA T EH0
уподібнення|UH P OW0 D IY B N EH0 N AA
упорядковувати|UH P AO RRR AA D K AO W UH V AA T EH0
упорядкувати|UH P AO RRR AA D K UH V AA T EH0
управління|UH P RRR AA UW L IY N AA
управлінський|UH P RRR AA UW L IY N S K EH0 IY
ураган|UH RRR AA AA N
ураження|UH RRR AA ZH EH0 N AA
урбанізація|UH RRR B AA N IY Z AA T IY Y AA
урбанізм|UH RRR B AA N IY Z M
урбанізувати|UH RRR B AA N IY Z UH V AA T EH0
уродливий|UH RRR AO D L IH V EH0 IY
урожай|UH RRR AO ZH AA IY
урок|UH RRR AO K
урочистий|UH RRR AO T IH S T EH0 IY
уряд|UH RRR AA D
урядовий|UH RRR AA D AO V EH0 IY
урізноманітнити|UH RRR IY Z N AO M AA N IY T N EH0 T EH0
урізноманітнювати|UH RRR IY Z N AO M AA N IY T N UH V AA T EH0
усвідомити|UH S V IY D AO M EH0 T EH0
усвідомлювати|UH S V IY D AO M L UH V AA T EH0
ускладнити|UH S K L AA D N IH T EH0
ускладнювати|UH S K L AA D N UH V AA T EH0
усмішка|UH S M IY SH K AA
усний|UW S N EH0 IY
успадковувати|UH S P AA D K AO W UH V AA T EH0
успадкувати|UH S P AA D K UH V AA T EH0
успіх|UW S P IY HH
успішний|UH S P IY SH N EH0 IY
успішно|UH S P IY SH N AO
уста|UH S T AA
уставати|UH S T AA V AA T EH0
установа|UH S T AA N AO V AA
установити|UH S T AA N AO V IH T EH0
установлювати|UH S T AA N AO UW L UH V AA T EH0
устриця|UW S T RRR EH0 T AA
усувати|UH S UH V AA T EH0
усунути|UH S UW N UH T EH0
усьому|UH S AO M UH
усім|UH S IY M
утомлений|UH T AO M L EH0 N EH0 IY
уточнити|UH T AO T N IH T EH0
уточнювати|UH T AO T N UH V AA T EH0
утрат|UH T RRR AA T
утрата|UH T RRR AA T AA
утратам|UH T RRR AA T AA M
утратами|UH T RRR AA T AA M EH0
утратах|UH T RRR AA T AA HH
утрати|UH T RRR AA T EH0
утратою|UH T RRR AA T AO Y UH
утрату|UH T RRR AA T UH
утраті|UH T RRR AA T IY
утруднити|UH T RRR UH D N IH T EH0
утруднювати|UH T RRR UW D N UH V AA T EH0
учасник|UH T AA S N EH0 K
учасниця|UH T AA S N EH0 T AA
участь|UW T AA S T
учениця|UH T EH0 N IH T AA
учень|UW T EH0 N
учитель|UH T IH T EH0 L
учити|UH T IH T EH0
учора|UH T AO RRR AA
уява|UH Y AA V AA
уявити|UH Y AA V IH T EH0
уявлення|UH Y AA UW L EH0 N AA
уявляти|UH Y AA UW L AA T EH0
уявіть|UH Y AA V IY T
фабрика|F AA B RRR EH0 K AA
фавна|F AA UW N AA
фагот|F AA AO T
фаза|F AA Z AA
файний|F AA IY N EH0 IY
файно|F AA IY N AO
факт|F AA K T
фактичний|F AA K T IH T N EH0 IY
фактично|F AA K T IH T N AO
фальсифікація|F AA L S EH0 F IY K AA T IY Y AA
фальсифікування|F AA L S EH0 F IY K UH V AA N AA
фальсифікувати|F AA L S EH0 F IY K UH V AA T EH0
фальш|F AA L SH
фальшивий|F AA L SH IH V EH0 IY
фараон|F AA RRR AA AO N
фарба|F AA RRR B AA
фармакологічний|F AA RRR M AA K AO L OW0 IY T N EH0 IY
фармакологія|F AA RRR M AA K AO L AO IY Y AA
фармацевтика|F AA RRR M AA T EH UW T EH0 K AA
фармацевтичний|F AA RRR M AA T EH0 UW T IH T N EH0 IY
фарфор|F AA RRR F AO RRR
фасад|F AA S AA D
фауна|F AA UH N AA
фах|F AA HH
фахівець|F AA HH IY V EH T
фашизм|F AA SH IH Z M
федерацій|F EH0 D EH0 RRR AA T IY IY
федерацію|F EH0 D EH0 RRR AA T IY Y UH
федерація|F EH0 D EH0 RRR AA T IY Y AA
федераціям|F EH0 D EH0 RRR AA T IY Y AA M
федераціями|F EH0 D EH0 RRR AA T IY Y AA M EH0
федераціях|F EH0 D EH0 RRR AA T IY Y AA HH
федерацією|F EH0 D EH0 RRR AA T IY Y EH0 Y UH
федерації|F EH0 D EH0 RRR AA T IY Y IY
федорович|F EH0 D AO RRR AO V EH0 T
федір|F EH D IY RRR
фей|F EH IY
феміністичний|F EH0 M IY N IY S T IH T N EH0 IY
феміністський|F EH0 M IY N IY S K EH0 IY
феномен|F EH0 N AO M EH0 N
ферзь|F EH RRR Z
ферма|F EH RRR M AA
фермент|F EH0 RRR M EH N T
ферії|F EH RRR IY Y IY
фестиваль|F EH0 S T EH0 V AA L
фею|F EH Y UH
фея|F EH Y AA
феям|F EH Y AA M
феями|F EH Y AA M EH0
феях|F EH Y AA HH
феє|F EH Y EH0
феєю|F EH Y EH0 Y UH
феї|F EH Y IY
фоб|F AO B
фольга|F AO L AA
фольклор|F AO L K L AO RRR
фонд|F AO N D
фонтан|F AO N T AA N
форель|F AO RRR EH L
форма|F AO RRR M AA
формальний|F AO RRR M AA L N EH0 IY
формування|F AO RRR M UH V AA N AA
формула|F AO RRR M UH L AA
формулювати|F AO RRR M UH L UH V AA T EH0
фортепіано|F AO RRR T EH0 P IY AA N AO
фосфат|F AO S F AA T
фосфор|F AO S F AO RRR
фотель|F AO T EH L
фотограф|F AO T AO RRR AA F
фотографій|F AO T AO RRR AA F IY IY
фотографічний|F AO T AO RRR AA F IY T N EH0 IY
фотографію|F AO T AO RRR AA F IY Y UH
фотографія|F AO T AO RRR AA F IY Y AA
фотографіям|F AO T AO RRR AA F IY Y AA M
фотографіями|F AO T AO RRR AA F IY Y AA M EH0
фотографіях|F AO T AO RRR AA F IY Y AA HH
фотографіє|F AO T AO RRR AA F IY Y EH0
фотографією|F AO T AO RRR AA F IY Y EH0 Y UH
фотографії|F AO T AO RRR AA F IY Y IY
фотосинтез|F AO T AO S IH N T EH0 Z
фотосинтетичний|F AO T AO S EH0 N T EH0 T IH T N EH0 IY
фрагмент|F RRR AA M EH N T
фрагмента|F RRR AA M EH N T AA
фрагментам|F RRR AA M EH N T AA M
фрагментами|F RRR AA M EH N T AA M EH0
фрагментах|F RRR AA M EH N T AA HH
фрагменти|F RRR AA M EH N T EH0
фрагментові|F RRR AA M EH N T AO V IY
фрагментом|F RRR AA M EH N T AO M
фрагменту|F RRR AA M EH N T UH
фрагменті|F RRR AA M EH N T IY
фрагментів|F RRR AA M EH N T IY UW
фразеологічний|F RRR AA Z EH0 AO L OW0 IY T N EH0 IY
фразеологія|F RRR AA Z EH0 AO L AO IY Y AA
фракція|F RRR AA K T IY Y AA
француз|F RRR AA N T UW Z
французький|F RRR AA N T UW Z K EH0 IY
франція|F RRR AA N T IY Y AA
фриз|F RRR IH Z
фрукт|F RRR UW K T
фруктовий|F RRR UH K T AO V EH0 IY
фрустрація|F RRR UH S T RRR AA T IY Y AA
фундаментальний|F UH N D AA M EH0 N T AA L N EH0 IY
функціональний|F UH N K T IY AO N AA L N EH0 IY
функціонувати|F UH N K T IY AO N UH V AA T EH0
функція|F UW N K T IY Y AA
фургон|F UH RRR AO N
фюзеляж|F UH Z EH0 L AA ZH
фігура|F IY UW RRR AA
фізика|F IY Z EH0 K AA
фізичний|F IY Z IH T N EH0 IY
фізіолог|F IY Z IY AO L AO
фізіологічний|F IY Z IY AO L OW0 IY T N EH0 IY
фізіологія|F IY Z IY AO L AO IY Y AA
фіксація|F IY K S AA T IY Y AA
філантропічний|F IY L AA N T RRR OW0 P IY T N EH0 IY
філологічний|F IY L AO L OW0 IY T N EH0 IY
філологія|F IY L AO L AO IY Y AA
філософ|F IY L AO S AO F
філософський|F IY L AO S AO F S K EH0 IY
філософічний|F IY L AO S AO F S K EH0 IY
філософія|F IY L AO S AO F IY Y AA
фільм|F IY L M
фільтр|F IY L T RRR
фільтрувати|F IY L T RRR UH V AA T EH0
філіжанка|F IY L IY ZH AA N K AA
філіппіни|F IY L IY P IY N EH0
фін|F IY N
фінансовий|F IY N AA N S AO V EH0 IY
фінансування|F IY N AA N S UH V AA N AA
фінвал|F IY N V AA L
фінка|F IY N K AA
фінляндський|F IY N L AA N D S K EH0 IY
фінляндія|F IY N L AA N D IY Y AA
фінський|F IY N S K EH0 IY
фінік|F IY N IY K
фіолетовий|F IY AO L EH T AO V EH0 IY
фірма|F IY RRR M AA
фіскальна|F IY S K AA L N AA
