'k|AH0 K
warhoofdig|V AA RRR OW0 F D AH0 HH
warm|V AA RRR AH0 M
warmbloedig|V AA RRR AH0 M B L UW D AH0 HH
warmen|V AA RRR M AH0 N
warmoes|V AA RRR M UW S
warmoeswijf|V AA RRR M UW S V EH IY F
warmoezerij|V AA RRR M UW Z AH0 RRR EH IY
warmoezier|V AA RRR M UW Z IY RRR
warmond|V AA RRR M AO N T
warmte|V AA RRR M T AH0
warmtepomp|V AA RRR M T AH0 P AO M P
warmtewisselaar|V AA RRR M T AH0 V IH S AH0 L AE RRR
warmwaterbron|V AA RRR M V AE T AH0 RRR B RRR AO N
warmwaterkraan|V AA RRR M V AE T AH0 RRR K RRR AE N
warmwaterkruik|V AA RRR M V AE T AH0 RRR K RRR ER Y UW1 K
warrig|V AA RRR AH0 HH
warriger|V AA RRR AH0 HH AH0 RRR
warrigst|V AA RRR AH0 HH S T
warschau|V AA RRR SH AA UW
was|V AA S
wasautomaat|V AA S AA UW T OW0 M AE T
wasbak|V AA S B AA K
wasbeer|V AA S B EH0 RRR
wasbenzine|V AA S B EH N Z IY N AH0
wasbord|V AA S B AO RRR T
wasda|V AA Z D AA
wasdroger|V AA S D RRR OW0 HH AH0 RRR
wasgoed|V AA S HH UW T
washand|V AA S AA N T
waskeuken|V AA S K OE K AH0 N
wasknijper|V AA S K N EH IY P AH0 RRR
waskom|V AA S K AO M
waslijn|V AA S L EH IY N
wasmachine|V AA S M AE SH IY N AH0
wasmand|V AA S M AA N T
wasmiddel|V AA S M IH D AH0 L
waspoeder|V AA S P UW D AH0 RRR
wasrek|V AA S RRR EH K
wassen|V AA S AH0 N
wassenaar|V AA S AH0 N AE RRR
wasser|V AA S AH0 RRR
wasserette|V AA S AH0 RRR EH T AH0
wasstraat|V AA S T RRR AE T
wast|V AA S T
wastafel|V AA S T AE F AH0 L
waste|V AA S T AH0
wasten|V AA S T AH0 N
wat|V AA T
water|V AE T AH0 RRR
waterafstotend|V AE T AH0 RRR AA F S T OW0 T AH0 N T
waterbed|V AE T AH0 RRR B EH T
waterbom|V AE T AH0 RRR B AO M
waterbuffel|V AE T AH0 RRR B F AH0 L
waterdamp|V AE T AH0 RRR D AA M P
waterdicht|V AE T AH0 RRR D IH HH T
waterdichtheid|V AE T AH0 RRR D IH HH T EH IY T
waterdier|V AE T AH0 RRR D IY RRR
waterdrager|V AE T AH0 RRR D RRR AE HH AH0 RRR
waterfiets|V AE T AH0 RRR F IY T S
waterfles|V AE T AH0 RRR F L EH S
watergang|V AE T AH0 RRR HH AA NG
watergeest|V AE T AH0 RRR HH EH0 S T
watergeus|V AE T AH0 RRR HH OE S
watergevogelte|V AE T AH0 RRR HH AH0 V OW0 HH AH0 L T AH0
waterhoen|V AE T AH0 RRR UW N
waterhond|V AE T AH0 RRR AO N T
waterhonden|V AE T AH0 RRR AO N D AH0 N
waterhoofd|V AE T AH0 RRR OW0 F T
waterijs|V AE T AH0 RRR EH IY S
watering|V AE T AH0 RRR IH NG
waterjuffer|V AE T AH0 RRR Y F AH0 RRR
waterkanon|V AE T AH0 RRR K AE N AO N
waterkering|V AE T AH0 RRR K EH0 RRR IH NG
waterkers|V AE T AH0 RRR K EH RRR S
waterkeur|V AE T AH0 RRR K OE RRR
waterkip|V AE T AH0 RRR K IH P
waterkou|V AE T AH0 RRR K AA UW
waterkoud|V AE T AH0 RRR K AA UW T
waterkunde|V AE T AH0 RRR K N D AH0
waterland|V AE T AH0 RRR L AA N T
waterlander|V AE T AH0 RRR L AA N D AH0 RRR
waterlobelia|V AE T AH0 RRR L OW0 B EH0 L IY AE
waterloo|V AE T AH0 RRR L OW0
watermeloen|V AE T AH0 RRR M AH0 L UW N
watermerk|V AE T AH0 RRR M EH RRR K
waterpartij|V AE T AH0 RRR P AA RRR T EH IY
waterpas|V AE T AH0 RRR P AA S
waterpeil|V AE T AH0 RRR P EH IY L
waterpijp|V AE T AH0 RRR P EH IY P
waterpistool|V AE T AH0 RRR P IY S T OW0 L
waterplant|V AE T AH0 RRR P L AA N T
waterpoel|V AE T AH0 RRR P UW L
waterpokken|V AE T AH0 RRR P AO K AH0 N
waterpolo|V AE T AH0 RRR P OW0 L OW0
waterpomp|V AE T AH0 RRR P AO M P
waterpomptang|V AE T AH0 RRR P AO M P T AA NG
waterraaf|V AE T AH0 RRR RRR AE F
waterrad|V AE T AH0 RRR RRR AA T
waterral|V AE T AH0 RRR RRR AA L
waterrat|V AE T AH0 RRR RRR AA T
waterree|V AE T AH0 RRR RRR EH0
waterschade|V AE T AH0 RRR S HH AE D AH0
waterschap|V AE T AH0 RRR S HH AA P
waterschoen|V AE T AH0 RRR S HH UW N
waterski|V AE T AH0 RRR S K IY
waterskiën|V AE T AH0 RRR S K IY AH0 N
watersnip|V AE T AH0 RRR S N IH P
waterspiegel|V AE T AH0 RRR S P IY HH AH0 L
watersport|V AE T AH0 RRR S P AO RRR T
waterstaat|V AE T AH0 RRR S T AE T
waterstaatskerk|V AE T AH0 RRR S T AE T S K EH RRR K
waterstand|V AE T AH0 RRR S T AA N T
waterstof|V AE T AH0 RRR S T AO F
waterstofbom|V AE T AH0 RRR S T AO F B AO M
watertoren|V AE T AH0 RRR T OW0 RRR AH0 N
waterval|V AE T AH0 RRR V AA L
waterverf|V AE T AH0 RRR V EH RRR F
waterverplaatsing|V AE T AH0 RRR V AH0 RRR P L AE T S IH NG
watervlakte|V AE T AH0 RRR V L AA K T AH0
watervliegtuig|V AE T AH0 RRR V L IY HH T ER Y UW1 HH
watervlo|V AE T AH0 RRR V L OW0
watervogel|V AE T AH0 RRR V OW0 HH AH0 L
watervrees|V AE T AH0 RRR V RRR EH0 S
waterweg|V AE T AH0 RRR V EH HH
waterwerper|V AE T AH0 RRR V EH RRR P AH0 RRR
waterwolf|V AE T AH0 RRR V AO L F
waterzooi|V AE T AH0 RRR Z OW0 IY
wattman|V AA T M AA N
waver|V AE V AH0 RRR
wc|V EH0 S EH0
we|V AH0
web|V EH P
webcam|V EH P K EH M
webcamseks|V EH P K EH M S EH K S
webinar|V EH B AH0 N AA RRR
weblog|V EH P L AO HH
weblogger|V EH P L AO HH AH0 RRR
website|V EH P S AA IY T
webstek|V EH P S T EH K
wecken|V EH K AH0 N
wedde|V EH D AH0
weddeschaal|V EH D AH0 S HH AE L
weddeverlaging|V EH D AH0 V EH RRR L AE HH IH NG
wede|V EH0 D AH0
wederdoop|V EH0 D AH0 RRR D OW0 P
wederdoper|V EH0 D AH0 RRR D OW0 P AH0 RRR
wederdopers|V EH0 D AH0 RRR D OW0 P AH0 RRR S
wedergeboorte|V EH0 D AH0 RRR HH AH0 B OW0 RRR T AH0
wederhalen|V EH0 D AH0 RRR AE L AH0 N
wederik|V EH0 D AH0 RRR IH K
wederkerig|V EH0 D AH0 RRR K EH0 RRR AH0 HH
wederlegschrift|V EH0 D AH0 RRR L EH HH S HH RRR IH F T
wederliefde|V EH0 D AH0 RRR L IY F D AH0
wederopbouwmissie|V EH0 D AH0 RRR AO P B AA UW M IH S IY
wederrechtelijk|V EH0 D AH0 RRR RRR EH HH T AH0 L AH0 K
wederspoed|V EH0 D AH0 RRR S P UW T
wederstreven|V EH0 D AH0 RRR S T RRR EH0 V AH0 N
wederstrevig|V EH0 D AH0 RRR S T RRR EH0 V AH0 HH
wederuitvoer|V EH0 D AH0 RRR ER Y UW1 T F UW RRR
wederwraak|V EH0 D AH0 RRR V RRR AE K
wedijver|V EH T EH IY V AH0 RRR
wedijveren|V EH T EH IY V AH0 RRR AH0 N
wedloop|V EH T L OW0 P
wedstrijd|V EH T S T RRR EH IY T
wedstrijdvervalsing|V EH T S T RRR EH IY T F EH RRR V AA L S IH NG
weduw|V EH0 D Y UW1 UW
weduwe|V EH0 D Y UW1 V AH0
weduwnaar|V EH0 D Y UW1 UW N AE RRR
wee|V EH0
weefgetouw|V EH0 F HH AH0 T AA UW
weefselleer|V EH0 F S AH0 L EH0 RRR
weeg|V EH0 HH
weegbree|V EH0 HH B RRR EH0
weegschaal|V EH0 HH S HH AE L
week|V EH0 K
weekblad|V EH0 K B L AA T
weekdag|V EH0 K D AA HH
weekdier|V EH0 K D IY RRR
weekeind|V EH0 K EH IY N T
weekeinde|V EH0 K EH IY N D AH0
weekend|V IY K EH N T
weekloon|V EH0 K L OW0 N
weemoed|V EH0 M UW T
weer|V EH0 RRR
weeral|V EH0 RRR AA L
weerbeer|V EH0 RRR B EH0 RRR
weerbom|V EH0 RRR B AO M
weergalm|V EH0 RRR HH AA L M
weergalmen|V EH0 RRR HH AA L M AH0 N
weergaloos|V EH0 RRR HH AE L OW0 S
weergave|V EH0 RRR HH AE V AH0
weergegeven|V EH0 RRR HH AH0 HH EH0 V AH0 N
weergeld|V EH0 RRR HH EH L T
weergeven|V EH0 RRR HH EH0 V AH0 N
weerglans|V EH0 RRR HH L AA N S
weerhaak|V EH0 RRR AE K
weerhaan|V EH0 RRR AE N
weerhouden|V EH0 RRR AA UW D AH0 N
weerjaguar|V EH0 RRR D ZH EH G UW AH0 RRR
weerkaatsen|V EH0 RRR K AE T S AH0 N
weerkerk|V EH0 RRR K EH RRR K
weerklank|V EH0 RRR K L AA NG K
weerklinken|V EH0 RRR K L IH NG K AH0 N
weerlicht|V EH0 RRR L IH HH T
weerloos|V EH0 RRR L OW0 S
weerloosheid|V EH0 RRR L OW0 S EH IY T
weerloosheidsbeginsel|V EH0 RRR L OW0 S EH IY T S B AH0 HH IH N S AH0 L
weermacht|V EH0 RRR M AA HH T
weerman|V EH0 RRR M AA N
weerpluim|V EH0 RRR P L ER Y UW1 M
weersomstandigheid|V EH0 RRR S AO M S T AA N D AH0 HH EH IY T
weerspannig|V EH0 RRR S P AA N AH0 HH
weerspiegelen|V EH0 RRR S P IY HH AH0 L AH0 N
weerspreken|V EH0 RRR S P RRR EH0 K AH0 N
weerstaan|V EH0 RRR S T AE N
weerstaanbaar|V EH0 RRR S T AE N B AE RRR
weerstand|V EH0 RRR S T AA N T
weerstation|V EH0 RRR S T AE SH AO N
weerstreven|V EH0 RRR S T RRR EH0 V AH0 N
weerstrevig|V EH0 AH0 RRR S T RRR EH0 V AH0 HH
weersverwachting|V EH0 RRR S F EH RRR V AA HH T IH NG
weersvoorspelling|V EH0 RRR S F OW0 RRR S P EH L IH NG
weert|V EH0 RRR T
weervast|V EH0 RRR V AA S T
weervrouw|V EH0 RRR V RRR AA UW
weerwolf|V EH0 RRR V AO L F
weerwolverij|V EH0 RRR V AO L V AH0 RRR EH IY
weerwraak|V EH0 RRR V RRR AE K
weerzin|V EH0 RRR Z IH N
weerzinwekkend|V EH0 RRR Z IH N V EH K AH0 N T
wees|V EH0 S
weesgeneesmiddel|V EH0 S HH AH0 N EH0 S M IH D AH0 L
weeshuis|V EH0 S ER Y UW1 S
weesjongen|V EH0 S Y AO NG AH0 N
weeskind|V EH0 S K IH N T
weesmeisje|V EH0 S M EH IY SH AH0
weesziekte|V EH0 S IY K T AH0
weet|V EH0 T
weetal|V EH0 T AA L
weetje|V EH0 T Y AH0
weeuw|V EH0 UW
weeën|V EH0 AH0 N
weg|V EH HH
wegconcurreren|V EH HH K AO NG K Y UW1 RRR EH0 RRR AH0 N
wegdek|V EH HH D EH K
wegdommelen|V EH HH D AO M AH0 L AH0 N
wegen|V EH0 HH AH0 N
wegenbelasting|V EH0 HH AH0 N B AH0 L AA S T IH NG
wegennet|V EH0 HH AH0 N EH T
wegens|V EH0 HH AH0 N S
weggaan|V EH HH AE N
wegge|V EH HH AH0
weggooien|V EH HH HH OW0 IY AH0 N
weghelft|V EH HH EH L F T
weghelpen|V EH HH EH L P AH0 N
wegleggen|V EH HH L EH HH AH0 N
weglopen|V EH HH L OW0 P AH0 N
wegpiraat|V EH HH P IY RRR AE T
wegpunt|V EH HH P N T
wegrestaurant|V EH HH RRR EH S T AH0 RRR AA N T
wegschrijven|V EH HH S HH RRR EH IY V AH0 N
wegsleepregeling|V EH HH S L EH0 P RRR EH0 HH AH0 L IH NG
wegslepen|V EH HH S L EH0 P AH0 N
wegstemmen|V EH HH S T EH M AH0 N
wegsterven|V EH HH S T EH RRR V AH0 N
wegversperring|V EH HH F EH RRR S P EH RRR IH NG
wegwerpluier|V EH HH V EH RRR P L ER Y UW1 AH0 RRR
wegwijzer|V EH HH V EH IY Z AH0 RRR
wei|V EH IY
weide|V EH IY D AH0
weiden|V EH IY D AH0 N
weidewinkel|V EH IY D AH0 V IH NG K AH0 L
weigerachtig|V EH IY HH AH0 RRR AA HH T AH0 HH
weigerambtenaar|V EH IY HH AH0 RRR AA M P T AH0 N AE RRR
weigeren|V EH IY HH AH0 RRR AH0 N
weigerlijk|V EH IY HH AH0 RRR L AH0 K
weiland|V EH IY L AA N T
weimar|V EH IY M AA RRR
weimarrepubliek|V EH IY M AA RRR RRR EH0 P Y UW1 B L IY K
weinig|V EH IY N AH0 HH
weipoort|V EH IY P OW0 RRR T
weit|V EH IY T
wek|V EH K
wekelijks|V EH0 K AH0 L AH0 K S
weken|V EH0 K AH0 N
wekenfeest|V EH0 K AH0 N F EH0 S T
wekenlang|V EH0 K AH0 N L AA NG
wekken|V EH K AH0 N
wekker|V EH K AH0 RRR
wekkerradio|V EH K AH0 RRR RRR AE D IY OW0
wel|V EH L
welbespraakt|V EH L B AH0 S P RRR AE K T
welbespraaktheid|V EH L B AH0 S P RRR AE K T EH IY T
welbevinden|V EH L B AH0 V IH N D AH0 N
weldoorvoed|V EH L D OW0 RRR V UW T
weleer|V EH L EH0 RRR
welgezind|V EH L HH AH0 Z IH N T
welgezindheid|V EH L HH AH0 Z IH N T EH IY T
weliswaar|V EH L IH S V AE RRR
welk|V EH L K
welke|V EH L K AH0
welkom|V EH L K AO M
welles|V EH L AH0 S
welletjes|V EH L AH0 T Y AH0 S
wellevendheid|V EH L EH0 V AH0 N T EH IY T
welluidend|V EH L ER Y UW1 D AH0 N T
welluidendheid|V EH L ER Y UW1 D AH0 N T EH IY T
wellust|V EH L S T
welnee|V EH L N EH0
welsh|V EH L SH
welterusten|V EH L T AH0 RRR S T AH0 N
welvaartsstaat|V EH L V AE RRR T S T AE T
welvaren|V EH L V AE RRR AH0 N
welven|V EH L V AH0 N
welzijn|V EH L Z EH IY N
wen|V EH N
wend|V EH N T
wenden|V EH N D AH0 N
wenen|V EH0 N AH0 N
wenkbrauw|V EH NG K B RRR AA UW
wenkbrauwpotlood|V EH NG K B RRR AA UW P AO T L OW0 T
wennen|V EH N AH0 N
wensouder|V EH N S AA UW D AH0 RRR
wentelen|V EH N T AH0 L AH0 N
wentelteefje|V EH N T AH0 L T EH0 F Y AH0
wenteltrap|V EH N T AH0 L T RRR AA P
wentelwiek|V EH N T AH0 L V IY K
werd|V EH RRR T
werden|V EH RRR D AH0 N
wereld|V EH0 RRR AH0 L T
wereldbank|V EH0 RRR AH0 L T B AA NG K
wereldbeeld|V EH0 RRR AH0 L T B EH0 L T
wereldbevolking|V EH0 RRR AH0 L T B AH0 V AO L K IH NG
wereldbrand|V EH0 RRR AH0 L T B RRR AA N T
wereldburger|V EH0 RRR AH0 L T B RRR HH AH0 RRR
wereldburgeres|V EH0 RRR AH0 L T B RRR HH AH0 RRR EH S
werelddeel|V EH0 RRR AH0 L T D EH0 L
wereldeconomie|V EH0 RRR AH0 L T EH0 K OW0 N OW0 M IY
wereldeinde|V EH0 RRR AH0 L T EH IY N D AH0
wereldhandel|V EH0 RRR AH0 L T AA N D AH0 L
wereldheerschappij|V EH0 RRR AH0 L T EH0 RRR S HH AA P EH IY
wereldkaart|V EH0 RRR AH0 L T K AE RRR T
wereldkampioen|V EH0 RRR AH0 L T K AA M P IY UW N
wereldkampioene|V EH0 RRR AH0 L T K AA M P IY UW N AH0
wereldkampioenschap|V EH0 RRR AH0 L T K AA M P IY UW N S HH AA P
wereldmarkt|V EH0 RRR AH0 L T M AA RRR K T
wereldmuziek|V EH0 RRR AH0 L T M Y UW1 Z IY K
wereldnieuws|V EH0 RRR AH0 L T N IY UW S
wereldoorlog|V EH0 RRR AH0 L T OW0 RRR L AO HH
wereldorde|V EH0 RRR AH0 L T AO RRR D AH0
wereldpolitiek|V EH0 RRR AH0 L T P OW0 L IY T IY K
wereldrevolutie|V EH0 RRR AH0 L T RRR EH0 V OW0 L Y UW1 T S IY
wereldrijk|V EH0 RRR AH0 L T RRR EH IY K
wereldschokkend|V EH0 RRR AH0 L T S HH AO K AH0 N T
wereldtaal|V EH0 RRR AH0 L T T AE L
wereldverbeteraar|V EH0 RRR AH0 L T V AH0 RRR B EH0 T AH0 RRR AE RRR
wereldverzaker|V EH0 RRR AH0 L T F EH RRR Z AE K AH0 RRR
wereldvoorraad|V EH0 RRR AH0 L T F OW0 RRR AE T
wereldvrede|V EH0 RRR AH0 L T F RRR EH0 D AH0
wereldwonder|V EH0 RRR AH0 L T V AO N D AH0 RRR
wereldzee|V EH0 RRR AH0 L T S EH0
weren|V EH0 RRR AH0 N
werf|V EH RRR F
werfleider|V EH RRR F L EH IY D AH0 RRR
wering|V EH0 RRR IH NG
werk|V EH RRR K
werkbaar|V EH RRR K B AE RRR
werkbij|V EH RRR K AH0 RRR B EH IY
werkdag|V EH RRR K D AA HH
werkdier|V EH RRR K D IY RRR
werkdruk|V EH RRR K D RRR K
werkeiland|V EH RRR K EH IY L AA N T
werkelijk|V EH RRR K AH0 L AH0 K
werkelijkheid|V EH RRR K AH0 L AH0 K EH IY T
werkelijkheidszin|V EH RRR K AH0 L AH0 K EH IY T S IH N
werkeloos|V EH RRR K AH0 L OW0 S
werken|V EH RRR K AH0 N
werker|V EH RRR K AH0 RRR
werkgebied|V EH RRR K HH AH0 B IY T
werkgeheugen|V EH RRR AH0 K HH AH0 OE HH AH0 N
werkgever|V EH RRR K HH EH0 V AH0 RRR
werkloos|V EH RRR K L OW0 S
werkloosheid|V EH RRR K L OW0 S EH IY T
werkloosheidsuitkering|V EH RRR K L OW0 S EH IY T S ER Y UW1 T K EH0 RRR IH NG
werkloze|V EH RRR K L OW0 Z AH0
werkman|V EH RRR K M AA N
werkmier|V EH RRR K M IY RRR
werknemer|V EH RRR K N EH0 M AH0 RRR
werkpaard|V EH RRR K P AE RRR T
werkplaats|V EH RRR K P L AE T S
werkplek|V EH RRR K P L EH K
werkstellig|V EH RRR K S T EH L AH0 HH
werkster|V EH RRR K S T AH0 RRR
werkt|V EH RRR K T
werkte|V EH RRR K T AH0
werktuig|V EH RRR K T ER Y UW1 HH
werkuur|V EH RRR K Y UW1 RRR
werkverlet|V EH RRR K F EH RRR L EH T
werkverschaffing|V EH RRR K F EH RRR S HH AA F IH NG
werkvloer|V EH RRR K F L UW RRR
werkwijze|V EH RRR K V EH IY Z AH0
werkwoord|V EH RRR AH0 K V OW0 RRR T
werkwoordstijd|V EH RRR K V OW0 RRR T S T EH IY T
werkzaam|V EH RRR K S AE M
werpen|V EH RRR P AH0 N
werper|V EH RRR P AH0 RRR
werpschijf|V EH RRR P S HH EH IY F
werpspies|V EH RRR P S P IY S
werpster|V EH RRR P S T EH RRR
werpwapen|V EH RRR P V AE P AH0 N
wervel|V EH RRR V AH0 L
werveldier|V EH RRR V AH0 L D IY RRR
wervelkolom|V EH RRR V AH0 L K OW0 L AO M
werven|V EH RRR V AH0 N
werwaarts|V EH RRR V AE RRR T S
wesp|V EH S P
wespen|V EH S P AH0 N
wespendief|V EH S P AH0 N D IY F
wespennest|V EH S P AH0 N EH S T
wespenspin|V EH S P AH0 N S P IH N
wespentaille|V EH S P AH0 N T AA Y AH0
wespspin|V EH S P S P IH N
wesselink|V EH S AH0 L IH NG K
wessem|V EH S AH0 M
west|V EH S T
westen|V EH S T AH0 N
westerbork|V EH S T AH0 RRR B AO RRR K
westerkwartier|V EH S T AH0 RRR K V AA RRR T IY RRR
western|V EH S T AH0 RRR N
westerschelde|V EH S T AH0 RRR S HH EH L D AH0
westerwolde|V EH S T AH0 RRR V AO L D AH0
westfaals|V EH S T F AE L S
westfalen|V EH S T F AE L AH0 N
westfaler|V EH S T F AE L AH0 RRR
westfront|V EH S T F RRR AO N T
westland|V EH S T L AA N T
westwaarts|V EH S T V AE RRR T S
wet|V EH T
wetboek|V EH T B UW K
weten|V EH0 T AH0 N
wetenschap|V EH0 T AH0 N S HH AA P
wetenschappelijk|V EH0 T AH0 N S HH AA P AH0 L AH0 K
wetenschapper|V EH0 T AH0 N S HH AA P AH0 RRR
wetenschapsfilosofie|V EH0 T AH0 N S HH AA P S F IY L OW0 S OW0 F IY
wetenschapsfilosofisch|V EH0 T AH0 N S HH AA P S F IY L OW0 S OW0 F IY S
wetenschapsfilosoof|V EH0 T AH0 N S HH AA P S F IY L OW0 S OW0 F
wetenschapsgeschiedenis|V EH0 T AH0 N S HH AA P S HH AH0 S HH IY D AH0 N IH S
wetenschapstaal|V EH0 T AH0 N S HH AA P S T AE L
wetenswaardigheid|V EH0 T AH0 N S V AE RRR D AH0 HH EH IY T
wetering|V EH0 T AH0 RRR IH NG
wetgever|V EH T HH EH0 V AH0 RRR
wetgeving|V EH T HH EH0 V IH NG
wetsdienaar|V EH T S D IY N AE RRR
wetsteen|V EH T S T EH0 N
wetsverkrachter|V EH T S F EH RRR K RRR AA HH T AH0 RRR
wetsverzetting|V EH T S F EH RRR Z EH T IH NG
wetsvoorstel|V EH T S F OW0 RRR S T EH L
wetten|V EH T AH0 N
weven|V EH0 V AH0 N
wever|V EH0 V AH0 RRR
wezel|V EH0 Z AH0 L
wezen|V EH0 Z AH0 N
wezenlijk|V EH0 Z AH0 N L AH0 K
wezens|V EH0 Z AH0 N S
wezep|V EH0 Z AH0 P
wezet|V EH0 Z AH0 T
whiskey|V IH S K IY
whisky|V IH S K IY
wichelaar|V IH HH AH0 L AE RRR
wichelarij|V IH HH AH0 L AE RRR EH IY
wichelroede|V IH HH AH0 L RRR UW D AH0
wie|V IY
wieberen|V IY B AH0 RRR AH0 N
wied|V IY T
wieden|V IY D AH0 N
wieg|V IY HH
wiegelied|V IY HH AH0 L IY T
wiegendruk|V IY HH AH0 N D RRR K
wiegenlied|V IY HH AH0 N L IY T
wiek|V IY K
wiel|V IY L
wieldop|V IY L D AO P
wielenaar|V IY L AH0 N AE RRR
wieler|V IY L AH0 RRR
wieleraar|V IY L AH0 RRR AE RRR
wieleren|V IY L AH0 RRR AH0 N
wielewaal|V IY L AH0 V AE L
wielklem|V IY L K L EH M
wielrennen|V IY L RRR EH N AH0 N
wielrenner|V IY L RRR EH N AH0 RRR
wierdijk|V IY RRR D EH IY K
wierf|V IY RRR F
wieringen|V IY RRR IH NG AH0 N
wierook|V IY RRR OW0 K
wierp|V IY RRR P
wierriem|V IY RRR RRR IY M
wiet|V IY T
wietsigaret|V IY T S IY HH AE RRR EH T
wifi|V IY F IY
wig|V IH HH
wigschrift|V IH HH S HH RRR IH F T
wiiën|V IY AH0 N
wij|V EH IY
wijbisschop|V EH IY B IH S HH AO P
wijchen|V IY HH AH0 N
wijden|V EH IY D AH0 N
wijdte|V EH IY T AH0
wijf|V EH IY F
wijfje|V EH IY F Y AH0
wijk|V EH IY K
wijkagent|V EH IY K AE HH EH N T
wijken|V EH IY K AH0 N
wijkverpleegkunde|V EH IY K F EH RRR P L EH0 HH K N D AH0
wijkverpleegkundige|V EH IY K F EH RRR P L EH0 HH K N D AH0 HH AH0
wijkverpleegster|V EH IY K F EH RRR P L EH0 HH S T AH0 RRR
wijkverpleger|V EH IY K F EH RRR P L EH0 HH AH0 RRR
wijl|V EH IY L
wijle|V EH IY L AH0
wijn|V EH IY N
wijnazijn|V EH IY N AE Z EH IY N
wijnberg|V EH IY N B EH RRR HH
wijnboer|V EH IY M B UW RRR
wijnfles|V EH IY N F L EH S
wijngaard|V EH IY N HH AE RRR T
wijnglas|V EH IY NG HH L AA S
wijnhuis|V EH IY N ER Y UW1 S
wijnjaar|V EH IY N Y AE RRR
wijnkelder|V EH IY N K EH L D AH0 RRR
wijnmaand|V EH IY N M AE N T
wijnmakerij|V EH IY N M AE K AH0 RRR EH IY
wijnoogst|V EH IY N OW0 HH S T
wijnpers|V EH IY N P EH RRR S
wijnproeverij|V EH IY N P RRR UW V AH0 RRR EH IY
wijnrank|V EH IY N RRR AA NG K
wijnrek|V EH IY N RRR EH K
wijnrood|V EH IY N RRR OW0 T
wijnruit|V EH IY N RRR ER Y UW1 T
wijnsteen|V EH IY N S T EH0 N
wijnsteenzuur|V EH IY N S T EH0 N Z Y UW1 RRR
wijnvlek|V EH IY N V L EH K
wijnzak|V EH IY N Z AA K
wijs|V EH IY S
wijsgeer|V EH IY S HH EH0 RRR
wijsheid|V EH IY S EH IY T
wijsheidstand|V EH IY S EH IY T S T AA N T
wijssel|V EH IY S AH0 L
wijsvinger|V EH IY S F IH NG AH0 RRR
wijting|V EH IY T IH NG
wijzen|V EH IY Z AH0 N
wijzer|V EH IY Z AH0 RRR
wijzerplaat|V EH IY Z AH0 RRR P L AE T
wijziging|V EH IY Z AH0 HH IH NG
wiki|V IY K IY
wikipedia|V IH K IY P EH0 D IY AE
wikke|V IH K AH0
wikkelen|V IH K AH0 L AH0 N
wikken|V IH K AH0 N
wiktionary|V IH K SH AH0 N EH RRR IY
wil|V IH L
wilco|V IH L K OW0
wild|V IH L T
wildbout|V IH L T B AA UW T
wildbraad|V IH L T B RRR AE T
wildebeest|V IH L D AH0 B EH0 S T
wildebeestenspel|V IH L D AH0 B EH0 S T AH0 N S P EH L
wildebras|V IH L D AH0 B RRR AA S
wildernis|V IH L D AH0 RRR N IH S
wildgroei|V IH L T HH RRR UW IY
wildhout|V IH L T AA UW T
wildplassen|V IH L T P L AA S AH0 N
wildplasser|V IH L T P L AA S AH0 RRR
wildrooster|V IH L T RRR OW0 S T AH0 RRR
wildseizoen|V IH L T S EH IY Z UW N
wildvreemde|V IH L T F RRR EH0 M D AH0
wildwissel|V IH L T V IH S AH0 L
wildzang|V IH L T S AA NG
wilg|V IH L HH
wilgenteen|V IH L HH AH0 N T EH0 N
wilhelmina|V IH L EH L M IY N AE
wilhelminaoord|V IH L EH L M IY N AE OW0 RRR T
willem|V IH L AH0 M
willemijn|V IH L AH0 M EH IY N
willems|V IH L AH0 M S
willemsen|V IH L AH0 M S AH0 N
willemsoord|V IH L AH0 M S OW0 RRR T
willemstad|V IH L AH0 M S T AA T
willen|V IH L AH0 N
wilnis|V IH L N IH S
wilskracht|V IH L S K RRR AA HH T
wilskrachtig|V IH L S K RRR AA HH T AH0 HH
wilt|V IH L T
wimper|V IH M P AH0 RRR
win|V IH N
wind|V IH N T
windbuil|V IH N T B ER Y UW1 L
windbuilen|V IH N T B ER Y UW1 L AH0 N
winde|V IH N D AH0
winderig|V IH N D AH0 RRR AH0 HH
windhaan|V IH N T AE N
windhandel|V IH N T AA N D AH0 L
windhandelaar|V IH N T AA N D AH0 L AE RRR
windhond|V IH N T AO N T
windhoos|V IH N T OW0 S
windkracht|V IH N T K RRR AA HH T
windkruis|V IH N T K RRR ER Y UW1 S
windmolen|V IH N T M OW0 L AH0 N
windmolengevecht|V IH N T M OW0 L AH0 N HH AH0 V EH HH T
windmolenpark|V IH N T M OW0 L AH0 N P AA RRR K
windpark|V IH N T P AA RRR K
windrichting|V IH N T RRR IH HH T IH NG
windroos|V IH N T RRR OW0 S
windschade|V IH N T S HH AE D AH0
windscherm|V IH N T S HH EH RRR M
windstil|V IH N T S T IH L
windstoot|V IH N T S T OW0 T
windturbine|V IH N T RRR B IY N AH0
windvaan|V IH N T F AE N
windvlaag|V IH N T F L AE HH
windwak|V IH N T V AA K
windwijzer|V IH N T V EH IY Z AH0 RRR
wingerd|V IH NG AH0 RRR T
wingewest|V IH N HH AH0 V EH S T
winkel|V IH NG K AH0 L
winkelcentrum|V IH NG K AH0 L S EH N T RRR M
