a|AO
talányok|T AO L AE N IY0 OW0 K
talányos|T AO L AE N IY0 OW0 SH
talár|T AO L AE RRR
talárok|T AO L AE RRR OW0 K
tambura|T AO M B UW RRR AO
tamás|T AO M AE SH
tamáskodik|T AO M AE SH K OW0 D IY K
tan|T AO N
tanakodik|T AO N AO K OW0 D IY K
tanakszik|T AO N AO K S IY K
tananyag|T AO N AO N IY0 AO G
tanfolyam|T AO F OW0 Y AO M
tanfolyamok|T AO F OW0 Y AO M OW0 K
tanfolyamokat|T AO F OW0 Y AO M OW0 K AO T
tanfolyamon|T AO F OW0 Y AO M OW0 N
tanfolyamot|T AO F OW0 Y AO M OW0 T
tanga|T AO NG G AO
tangens|T AO NG G EH N SH
tangensek|T AO NG G EH N SH EH K
tangenstétel|T AO NG G EH N SH T EH0 T EH L
tangenstételek|T AO NG G EH N SH T EH0 T EH L EH K
tangó|T AO NG G OW0
tangóharmonika|T AO NG G OW0 AO RRR M OW0 N IY K AO
tangózik|T AO NG G OW0 Z IY K
tank|T AO NG K
tankcsapda|T AO NG K T AO B D AO
tankok|T AO NG K OW0 K
tankol|T AO NG K OW0 L
tankon|T AO NG K OW0 N
tankönyv|T AO NG K OE N IY0 V
tankönyvek|T AO NG K OE N IY0 V EH K
tanok|T AO N OW0 K
tanonc|T AO N OW0 N T
tanoncok|T AO N OW0 N T OW0 K
tanszék|T AO N S EH0 K
tanszéki|T AO N S EH0 K IY
tant|T AO N T
tanterem|T AO N T EH RRR EH M
tanterme|T AO N T EH RRR M EH
tantermek|T AO N T EH RRR M EH K
tanterv|T AO N T EH RRR V
tanterve|T AO N T EH RRR V EH
tanterved|T AO N T EH RRR V EH D
tantervei|T AO N T EH RRR V EH Y IY
tanterveid|T AO N T EH RRR V EH Y IY D
tanterveik|T AO N T EH RRR V EH Y IY K
tanterveim|T AO N T EH RRR V EH Y IY M
tanterveink|T AO N T EH RRR V EH Y IY NG K
tanterveitek|T AO N T EH RRR V EH Y IY T EH K
tantervek|T AO N T EH RRR V EH K
tantervem|T AO N T EH RRR V EH M
tantervetek|T AO N T EH RRR V EH T EH K
tantervük|T AO N T EH RRR V Y UW1 K
tantervünk|T AO N T EH RRR V Y UW1 NG K
tantestület|T AO N T EH SH T Y UW1 L EH T
tanti|T AO N T IY
tantusz|T AO N T UW S
tantuszok|T AO N T UW S OW0 K
tantál|T AO N T AE L
tantárgy|T AO N T AE RRR G
tantárgyak|T AO N T AE RRR G AO K
tantárgyi|T AO N T AE RRR G IY
tanul|T AO N UW L
tanulandó|T AO N UW L AO N D OW0
tanulatlan|T AO N UW L AO T L AO N
tanuld|T AO N UW L D
tanulhat|T AO N UW L AO T
tanulj|T AO N UW Y
tanulja|T AO N UW Y AO
tanuljad|T AO N UW Y AO D
tanuljak|T AO N UW Y AO K
tanuljalak|T AO N UW Y AO L AO K
tanuljam|T AO N UW Y AO M
tanuljanak|T AO N UW Y AO N AO K
tanuljatok|T AO N UW Y AO T OW0 K
tanuljon|T AO N UW Y OW0 N
tanuljuk|T AO N UW Y UW K
tanuljunk|T AO N UW Y UW NG K
tanulják|T AO N UW Y AE K
tanuljál|T AO N UW Y AE L
tanuljátok|T AO N UW Y AE T OW0 K
tanullak|T AO N UW L AO K
tanulmánnyal|T AO N UW L M AE N IY0 AO L
tanulmány|T AO N UW L M AE N IY0
tanulmánya|T AO N UW L M AE N IY0 AO
tanulmányai|T AO N UW L M AE N IY0 AO Y IY
tanulmányaid|T AO N UW L M AE N IY0 AO Y IY D
tanulmányaik|T AO N UW L M AE N IY0 AO Y IY K
tanulmányaim|T AO N UW L M AE N IY0 AO Y IY M
tanulmányaink|T AO N UW L M AE N IY0 AO Y IY NG K
tanulmányait|T AO N UW L M AE N IY0 AO Y IY T
tanulmányaitok|T AO N UW L M AE N IY0 AO Y IY T OW0 K
tanulmányba|T AO N UW L M AE N IY0 B AO
tanulmányi|T AO N UW L M AE N IY0 IY
tanulmánynak|T AO N UW L M AE N IY0 N AO K
tanulmányod|T AO N UW L M AE N IY0 OW0 D
tanulmányok|T AO N UW L M AE N IY0 OW0 K
tanulmányokat|T AO N UW L M AE N IY0 OW0 K AO T
tanulmányokkal|T AO N UW L M AE N IY0 OW0 K AO L
tanulmányoknak|T AO N UW L M AE N IY0 OW0 K N AO K
tanulmányokon|T AO N UW L M AE N IY0 OW0 K OW0 N
tanulmányokra|T AO N UW L M AE N IY0 OW0 K RRR AO
tanulmányom|T AO N UW L M AE N IY0 OW0 M
tanulmányon|T AO N UW L M AE N IY0 OW0 N
tanulmányotok|T AO N UW L M AE N IY0 OW0 T OW0 K
tanulmányoz|T AO N UW L M AE N IY0 OW0 Z
tanulmányozás|T AO N UW L M AE N IY0 OW0 Z AE SH
tanulmányozása|T AO N UW L M AE N IY0 OW0 Z AE SH AO
tanulmányra|T AO N UW L M AE N IY0 RRR AO
tanulmányt|T AO N UW L M AE N IY0 T
tanulmányuk|T AO N UW L M AE N IY0 UW K
tanulmányunk|T AO N UW L M AE N IY0 UW NG K
tanulna|T AO N UW L N AO
tanulnak|T AO N UW L N AO K
tanulni|T AO N UW L N IY
tanulnia|T AO N UW L N IY Y AO
tanulniuk|T AO N UW L N IY Y UW K
tanulnod|T AO N UW L N OW0 D
tanulnom|T AO N UW L N OW0 M
tanulnotok|T AO N UW L N OW0 T OW0 K
tanulnunk|T AO N UW L N UW NG K
tanulná|T AO N UW L N AE
tanulnád|T AO N UW L N AE D
tanulnák|T AO N UW L N AE K
tanulnál|T AO N UW L N AE L
tanulnálak|T AO N UW L N AE L AO K
tanulnám|T AO N UW L N AE M
tanulnának|T AO N UW L N AE N AO K
tanulnánk|T AO N UW L N AE NG K
tanulnátok|T AO N UW L N AE T OW0 K
tanulnék|T AO N UW L N EH0 K
tanulod|T AO N UW L OW0 D
tanulok|T AO N UW L OW0 K
tanulom|T AO N UW L OW0 M
tanulsz|T AO N UW L S
tanulság|T AO N UW L SH AE G
tanulságos|T AO N UW L SH AE G OW0 SH
tanult|T AO N UW L T
tanulta|T AO N UW L T AO
tanultabb|T AO N UW L T AO B
tanultad|T AO N UW L T AO D
tanultak|T AO N UW L T AO K
tanultalak|T AO N UW L T AO L AO K
tanultam|T AO N UW L T AO M
tanultatok|T AO N UW L T AO T OW0 K
tanultok|T AO N UW L T OW0 K
tanultuk|T AO N UW L T UW K
tanultunk|T AO N UW L T UW NG K
tanulták|T AO N UW L T AE K
tanultál|T AO N UW L T AE L
tanultátok|T AO N UW L T AE T OW0 K
tanulunk|T AO N UW L UW NG K
tanulva|T AO N UW L V AO
tanulás|T AO N UW L AE SH
tanulások|T AO N UW L AE SH OW0 K
tanulásokra|T AO N UW L AE SH OW0 K RRR AO
tanulásra|T AO N UW L AE SH RRR AO
tanulékony|T AO N UW L EH0 K OW0 N IY0
tanuló|T AO N UW L OW0
tanulói|T AO N UW L OW0 Y IY
tanulók|T AO N UW L OW0 K
tanya|T AO N IY0 AO
tanyák|T AO N IY0 AE K
tanzánia|T AO N Z AE N IY Y AO
tanzániai|T AO N Z AE N IY Y AO Y IY
tanzániaiak|T AO N Z AE N IY Y AO Y IY Y AO K
tanáccsal|T AO N AE T AO L
tanáccsá|T AO N AE T AE
tanács|T AO N AE T
tanácsa|T AO N AE T AO
tanácsadás|T AO N AE T AO D AE SH
tanácsadó|T AO N AE T AO D OW0
tanácsadók|T AO N AE T AO D OW0 K
tanácsba|T AO N AE D B AO
tanácsban|T AO N AE D B AO N
tanácsból|T AO N AE D B OW0 L
tanácshoz|T AO N AE T HH OW0 Z
tanácsi|T AO N AE T IY
tanácsig|T AO N AE T IY G
tanácskozás|T AO N AE T K OW0 Z AE SH
tanácsként|T AO N AE T K EH0 N T
tanácsnak|T AO N AE T N AO K
tanácsnál|T AO N AE T N AE L
tanácsok|T AO N AE T OW0 K
tanácsokat|T AO N AE T OW0 K AO T
tanácsokba|T AO N AE T OW0 G B AO
tanácsokban|T AO N AE T OW0 G B AO N
tanácsokból|T AO N AE T OW0 G B OW0 L
tanácsokhoz|T AO N AE T OW0 K HH OW0 Z
tanácsokig|T AO N AE T OW0 K IY G
tanácsokkal|T AO N AE T OW0 K AO L
tanácsokká|T AO N AE T OW0 K AE
tanácsokként|T AO N AE T OW0 K EH0 N T
tanácsoknak|T AO N AE T OW0 K N AO K
tanácsoknál|T AO N AE T OW0 K N AE L
tanácsokon|T AO N AE T OW0 K OW0 N
tanácsokra|T AO N AE T OW0 K RRR AO
tanácsokról|T AO N AE T OW0 K RRR OW0 L
tanácsoktól|T AO N AE T OW0 K T OW0 L
tanácsokért|T AO N AE T OW0 K EH0 RRR T
tanácsol|T AO N AE T OW0 L
tanácson|T AO N AE T OW0 N
tanácsos|T AO N AE T OW0 SH
tanácsot|T AO N AE T OW0 T
tanácsra|T AO N AE T RRR AO
tanácsról|T AO N AE T RRR OW0 L
tanácstalan|T AO N AE T T AO L AO N
tanácsterem|T AO N AE T T EH RRR EH M
tanácstermek|T AO N AE T T EH RRR M EH K
tanácstól|T AO N AE T T OW0 L
tanácsért|T AO N AE T EH0 RRR T
tanár|T AO N AE RRR
tanára|T AO N AE RRR AO
tanári|T AO N AE RRR IY
tanárkodik|T AO N AE RRR K OW0 D IY K
tanárnő|T AO N AE RRR N OE
tanárnők|T AO N AE RRR N OE K
tanárok|T AO N AE RRR OW0 K
tanárokat|T AO N AE RRR OW0 K AO T
tanárokkal|T AO N AE RRR OW0 K AO L
tanárral|T AO N AE RRR AO L
tanárt|T AO N AE RRR T
tanév|T AO N EH0 V
tanévben|T AO N EH0 V B EH N
tanévek|T AO N EH0 V EH K
tanévekben|T AO N EH0 V EH G B EH N
tanít|T AO N IY T
tanítalak|T AO N IY T AO L AO K
tanítana|T AO N IY T AO N AO
tanítanak|T AO N IY T AO N AO K
tanítani|T AO N IY T AO N IY
tanítania|T AO N IY T AO N IY Y AO
tanítaniuk|T AO N IY T AO N IY Y UW K
tanítanod|T AO N IY T AO N OW0 D
tanítanom|T AO N IY T AO N OW0 M
tanítanotok|T AO N IY T AO N OW0 T OW0 K
tanítanunk|T AO N IY T AO N UW NG K
tanítaná|T AO N IY T AO N AE
tanítanád|T AO N IY T AO N AE D
tanítanák|T AO N IY T AO N AE K
tanítanál|T AO N IY T AO N AE L
tanítanálak|T AO N IY T AO N AE L AO K
tanítanám|T AO N IY T AO N AE M
tanítanának|T AO N IY T AO N AE N AO K
tanítanánk|T AO N IY T AO N AE NG K
tanítanátok|T AO N IY T AO N AE T OW0 K
tanítanék|T AO N IY T AO N EH0 K
tanítasz|T AO N IY T AO S
taníthat|T AO N IY T HH AO T
tanítja|T AO N IY K HH AO
tanítjuk|T AO N IY K HH UW K
tanítják|T AO N IY K HH AE K
tanítjátok|T AO N IY K HH AE T OW0 K
tanítod|T AO N IY T OW0 D
tanítok|T AO N IY T OW0 K
tanítom|T AO N IY T OW0 M
tanítotok|T AO N IY T OW0 T OW0 K
tanított|T AO N IY T OW0 T
tanította|T AO N IY T OW0 T AO
tanítottad|T AO N IY T OW0 T AO D
tanítottak|T AO N IY T OW0 T AO K
tanítottalak|T AO N IY T OW0 T AO L AO K
tanítottam|T AO N IY T OW0 T AO M
tanítottatok|T AO N IY T OW0 T AO T OW0 K
tanítottuk|T AO N IY T OW0 T UW K
tanítottunk|T AO N IY T OW0 T UW NG K
tanították|T AO N IY T OW0 T AE K
tanítottál|T AO N IY T OW0 T AE L
tanítottátok|T AO N IY T OW0 T AE T OW0 K
taníts|T AO N IY T
tanítsa|T AO N IY T AO
tanítsad|T AO N IY T AO D
tanítsak|T AO N IY T AO K
tanítsalak|T AO N IY T AO L AO K
tanítsam|T AO N IY T AO M
tanítsanak|T AO N IY T AO N AO K
tanítsatok|T AO N IY T AO T OW0 K
tanítsd|T AO N IY D D
tanítson|T AO N IY T OW0 N
tanítsuk|T AO N IY T UW K
tanítsunk|T AO N IY T UW NG K
tanítsák|T AO N IY T AE K
tanítsál|T AO N IY T AE L
tanítsátok|T AO N IY T AE T OW0 K
taníttat|T AO N IY T AO T
tanítunk|T AO N IY T UW NG K
tanítva|T AO N IY T V AO
tanítvány|T AO N IY T V AE N IY0
tanítványa|T AO N IY T V AE N IY0 AO
tanítványai|T AO N IY T V AE N IY0 AO Y IY
tanítványaid|T AO N IY T V AE N IY0 AO Y IY D
tanítványaidon|T AO N IY T V AE N IY0 AO Y IY D OW0 N
tanítványaidra|T AO N IY T V AE N IY0 AO Y IY D RRR AO
tanítványaik|T AO N IY T V AE N IY0 AO Y IY K
tanítványaim|T AO N IY T V AE N IY0 AO Y IY M
tanítványaimon|T AO N IY T V AE N IY0 AO Y IY M OW0 N
tanítványaimra|T AO N IY T V AE N IY0 AO Y IY M RRR AO
tanítványain|T AO N IY T V AE N IY0 AO Y IY N
tanítványaink|T AO N IY T V AE N IY0 AO Y IY NG K
tanítványainkon|T AO N IY T V AE N IY0 AO Y IY NG K OW0 N
tanítványainkra|T AO N IY T V AE N IY0 AO Y IY NG K RRR AO
tanítványaira|T AO N IY T V AE N IY0 AO Y IY RRR AO
tanítványaitok|T AO N IY T V AE N IY0 AO Y IY T OW0 K
tanítványaitokon|T AO N IY T V AE N IY0 AO Y IY T OW0 K OW0 N
tanítványaitokra|T AO N IY T V AE N IY0 AO Y IY T OW0 K RRR AO
tanítványod|T AO N IY T V AE N IY0 OW0 D
tanítványodon|T AO N IY T V AE N IY0 OW0 D OW0 N
tanítványodra|T AO N IY T V AE N IY0 OW0 D RRR AO
tanítványok|T AO N IY T V AE N IY0 OW0 K
tanítványokon|T AO N IY T V AE N IY0 OW0 K OW0 N
tanítványokra|T AO N IY T V AE N IY0 OW0 K RRR AO
tanítványom|T AO N IY T V AE N IY0 OW0 M
tanítványomon|T AO N IY T V AE N IY0 OW0 M OW0 N
tanítványomra|T AO N IY T V AE N IY0 OW0 M RRR AO
tanítványon|T AO N IY T V AE N IY0 OW0 N
tanítványotok|T AO N IY T V AE N IY0 OW0 T OW0 K
tanítványotokon|T AO N IY T V AE N IY0 OW0 T OW0 K OW0 N
tanítványotokra|T AO N IY T V AE N IY0 OW0 T OW0 K RRR AO
tanítványra|T AO N IY T V AE N IY0 RRR AO
tanítványt|T AO N IY T V AE N IY0 T
tanítványuk|T AO N IY T V AE N IY0 UW K
tanítványukon|T AO N IY T V AE N IY0 UW K OW0 N
tanítványukra|T AO N IY T V AE N IY0 UW K RRR AO
tanítványul|T AO N IY T V AE N IY0 UW L
tanítványunk|T AO N IY T V AE N IY0 UW NG K
tanítványunkon|T AO N IY T V AE N IY0 UW NG K OW0 N
tanítványunkra|T AO N IY T V AE N IY0 UW NG K RRR AO
tanítványán|T AO N IY T V AE N IY0 AE N
tanítványára|T AO N IY T V AE N IY0 AE RRR AO
tanítás|T AO N IY T AE SH
tanítása|T AO N IY T AE SH AO
tanítási|T AO N IY T AE SH IY
tanítások|T AO N IY T AE SH OW0 K
tanító|T AO N IY T OW0
tanítók|T AO N IY T OW0 K
tanítómester|T AO N IY T OW0 M EH SH T EH RRR
tanítómestere|T AO N IY T OW0 M EH SH T EH RRR EH
tanítómesterek|T AO N IY T OW0 M EH SH T EH RRR EH K
tanítónő|T AO N IY T OW0 N OE
tanóra|T AO N OW0 RRR AO
tanú|T AO N UW
tanúbizonyság|T AO N UW B IY Z OW0 N IY0 SH AE G
tanúbizonysága|T AO N UW B IY Z OW0 N IY0 SH AE G AO
tanúi|T AO N UW Y IY
tanúja|T AO N UW Y AO
tanúk|T AO N UW K
tanúskodik|T AO N UW SH K OW0 D IY K
tanúság|T AO N UW SH AE G
tanúsít|T AO N UW SH IY T
tanúsítvány|T AO N UW SH IY T V AE N IY0
tanúsítványok|T AO N UW SH IY T V AE N IY0 OW0 K
tanúvallomás|T AO N UW V AO L OW0 M AE SH
tanúvallomások|T AO N UW V AO L OW0 M AE SH OW0 K
tao|T AO OW0
taoista|T AO OW0 Y IY SH T AO
taoisták|T AO OW0 Y IY SH T AE K
taoizmus|T AO OW0 Y IY Z M UW SH
tapad|T AO P AO D
tapadás|T AO P AO D AE SH
tapasz|T AO P AO S
tapaszok|T AO P AO S OW0 K
tapaszt|T AO P AO S T
tapasztal|T AO P AO S T AO L
tapasztalat|T AO P AO S T AO L AO T
tapasztalata|T AO P AO S T AO L AO T AO
tapasztalatai|T AO P AO S T AO L AO T AO Y IY
tapasztalatait|T AO P AO S T AO L AO T AO Y IY T
tapasztalatcsere|T AO P AO S T AO L AO T T EH RRR EH
tapasztalati|T AO P AO S T AO L AO T IY
tapasztalatlan|T AO P AO S T AO L AO T L AO N
tapasztalatlanabb|T AO P AO S T AO L AO T L AO N AO B
tapasztalatlanság|T AO P AO S T AO L AO T L AO N SH AE G
tapasztalatlanságok|T AO P AO S T AO L AO T L AO N SH AE G OW0 K
tapasztalatok|T AO P AO S T AO L AO T OW0 K
tapasztalatokat|T AO P AO S T AO L AO T OW0 K AO T
tapasztalatokkal|T AO P AO S T AO L AO T OW0 K AO L
tapasztalatom|T AO P AO S T AO L AO T OW0 M
tapasztalatot|T AO P AO S T AO L AO T OW0 T
tapasztalatszerzés|T AO P AO S T AO L AO T S EH RRR Z EH0 SH
tapasztalattal|T AO P AO S T AO L AO T AO L
tapasztalt|T AO P AO S T AO L T
tapasztaltabb|T AO P AO S T AO L T AO B
tapasztaltak|T AO P AO S T AO L T AO K
tapasztaltam|T AO P AO S T AO L T AO M
taperol|T AO P EH RRR OW0 L
tapint|T AO P IY N T
tapintat|T AO P IY N T AO T
tapintatlan|T AO P IY N T AO T L AO N
tapintatok|T AO P IY N T AO T OW0 K
tapintatos|T AO P IY N T AO T OW0 SH
tapintattal|T AO P IY N T AO T AO L
tapintható|T AO P IY N T HH AO T OW0
tapintás|T AO P IY N T AE SH
tapintása|T AO P IY N T AE SH AO
tapintású|T AO P IY N T AE SH UW
tapló|T AO P L OW0
taplók|T AO P L OW0 K
tapos|T AO P OW0 SH
taposóakna|T AO P OW0 SH OW0 AO K N AO
taposómalom|T AO P OW0 SH OW0 M AO L OW0 M
taps|T AO P SH
tapsok|T AO P SH OW0 K
tapsol|T AO P SH OW0 L
tapsvihar|T AO P SH V IY AO RRR
tapsviharral|T AO P SH V IY AO RRR AO L
tapéta|T AO P EH0 T AO
tapéták|T AO P EH0 T AE K
tapír|T AO P IY RRR
tar|T AO RRR
tarackbúza|T AO RRR AO D G B UW Z AO
tarackbúzák|T AO RRR AO D G B UW Z AE K
tarantász|T AO RRR AO N T AE S
targonca|T AO RRR G OW0 N T AO
targoncák|T AO RRR G OW0 N T AE K
tarhonya|T AO RRR OW0 N IY0 AO
tarhál|T AO RRR AE L
tarja|T AO RRR Y AO
tarka|T AO RRR K AO
tarkább|T AO RRR K AE B
tarkállik|T AO RRR K AE L IY K
tarkó|T AO RRR K OW0
tarkók|T AO RRR K OW0 K
tarkószíj|T AO RRR K OW0 S IY Y
tarlatán|T AO RRR L AO T AE N
tarló|T AO RRR L OW0
tarlók|T AO RRR L OW0 K
tarlórépa|T AO RRR L OW0 RRR EH0 P AO
tarok|T AO RRR OW0 K
tarokk|T AO RRR OW0 K
tarokon|T AO RRR OW0 K OW0 N
tarra|T AO RRR AO
tarsoly|T AO RRR SH OW0 Y
tarsolyok|T AO RRR SH OW0 Y OW0 K
tart|T AO RRR T
tartalak|T AO RRR T AO L AO K
tartalma|T AO RRR T AO L M AO
tartalmak|T AO RRR T AO L M AO K
tartalmakkal|T AO RRR T AO L M AO K AO L
tartalmas|T AO RRR T AO L M AO SH
tartalmat|T AO RRR T AO L M AO T
tartalmaz|T AO RRR T AO L M AO Z
tartalmaznak|T AO RRR T AO L M AO Z N AO K
tartalmazni|T AO RRR T AO L M AO Z N IY
tartalmaznia|T AO RRR T AO L M AO Z N IY Y AO
tartalmazza|T AO RRR T AO L M AO Z AO
tartalmazó|T AO RRR T AO L M AO Z OW0
tartalmi|T AO RRR T AO L M IY
tartalmilag|T AO RRR T AO L M IY L AO G
tartalmából|T AO RRR T AO L M AE B OW0 L
tartalmának|T AO RRR T AO L M AE N AO K
tartalmát|T AO RRR T AO L M AE T
tartalom|T AO RRR T AO L OW0 M
tartalomjegyzék|T AO RRR T AO L OW0 M Y EH G Z EH0 K
tartalomjegyzékek|T AO RRR T AO L OW0 M Y EH G Z EH0 K EH K
tartalommal|T AO RRR T AO L OW0 M AO L
tartalék|T AO RRR T AO L EH0 K
tartalékok|T AO RRR T AO L EH0 K OW0 K
tartam|T AO RRR T AO M
tartamok|T AO RRR T AO M OW0 K
tartana|T AO RRR T AO N AO
tartanak|T AO RRR T AO N AO K
tartandó|T AO RRR T AO N D OW0
tartani|T AO RRR T AO N IY
tartania|T AO RRR T AO N IY Y AO
tartaniuk|T AO RRR T AO N IY Y UW K
tartanod|T AO RRR T AO N OW0 D
tartanom|T AO RRR T AO N OW0 M
tartanotok|T AO RRR T AO N OW0 T OW0 K
tartanunk|T AO RRR T AO N UW NG K
tartaná|T AO RRR T AO N AE
tartanád|T AO RRR T AO N AE D
tartanák|T AO RRR T AO N AE K
tartanál|T AO RRR T AO N AE L
tartanálak|T AO RRR T AO N AE L AO K
tartanám|T AO RRR T AO N AE M
tartanának|T AO RRR T AO N AE N AO K
tartanánk|T AO RRR T AO N AE NG K
tartanátok|T AO RRR T AO N AE T OW0 K
tartanék|T AO RRR T AO N EH0 K
tartasz|T AO RRR T AO S
tarthat|T AO RRR T HH AO T
tarthatatlan|T AO RRR T HH AO T AO T L AO N
tartja|T AO RRR K HH AO
tartjuk|T AO RRR K HH UW K
tartják|T AO RRR K HH AE K
tartjátok|T AO RRR K HH AE T OW0 K
tartod|T AO RRR T OW0 D
tartok|T AO RRR T OW0 K
tartom|T AO RRR T OW0 M
tartomány|T AO RRR T OW0 M AE N IY0
tartományban|T AO RRR T OW0 M AE N IY0 B AO N
tartományok|T AO RRR T OW0 M AE N IY0 OW0 K
tartotok|T AO RRR T OW0 T OW0 K
tartott|T AO RRR T OW0 T
tartotta|T AO RRR T OW0 T AO
tartottad|T AO RRR T OW0 T AO D
tartottak|T AO RRR T OW0 T AO K
tartottalak|T AO RRR T OW0 T AO L AO K
tartottam|T AO RRR T OW0 T AO M
tartottatok|T AO RRR T OW0 T AO T OW0 K
tartottuk|T AO RRR T OW0 T UW K
tartottunk|T AO RRR T OW0 T UW NG K
tartották|T AO RRR T OW0 T AE K
tartottál|T AO RRR T OW0 T AE L
tartottátok|T AO RRR T OW0 T AE T OW0 K
tartozik|T AO RRR T OW0 Z IY K
tartoznak|T AO RRR T OW0 Z N AO K
tartozz|T AO RRR T OW0 Z
tartozás|T AO RRR T OW0 Z AE SH
tartozék|T AO RRR T OW0 Z EH0 K
tartozékok|T AO RRR T OW0 Z EH0 K OW0 K
tartozó|T AO RRR T OW0 Z OW0
tarts|T AO RRR T
tartsa|T AO RRR T AO
tartsad|T AO RRR T AO D
tartsak|T AO RRR T AO K
tartsalak|T AO RRR T AO L AO K
tartsam|T AO RRR T AO M
tartsanak|T AO RRR T AO N AO K
tartsatok|T AO RRR T AO T OW0 K
tartsd|T AO RRR D D
tartson|T AO RRR T OW0 N
tartsuk|T AO RRR T UW K
tartsunk|T AO RRR T UW NG K
tartsák|T AO RRR T AE K
tartsál|T AO RRR T AE L
tartsátok|T AO RRR T AE T OW0 K
tartunk|T AO RRR T UW NG K
tartva|T AO RRR T V AO
tartály|T AO RRR T AE Y
tartályok|T AO RRR T AE Y OW0 K
tartás|T AO RRR T AE SH
tartása|T AO RRR T AE SH AO
tartó|T AO RRR T OW0
tartód|T AO RRR T OW0 D
tartók|T AO RRR T OW0 K
tartóm|T AO RRR T OW0 M
tartós|T AO RRR T OW0 SH
tartósít|T AO RRR T OW0 SH IY T
tartósítás|T AO RRR T OW0 SH IY T AE SH
tartózkodik|T AO RRR T OW0 S K OW0 D IY K
tartózkodás|T AO RRR T OW0 S K OW0 D AE SH
tartózkodási|T AO RRR T OW0 S K OW0 D AE SH IY
tartózkodó|T AO RRR T OW0 S K OW0 D OW0
tartózkodóbb|T AO RRR T OW0 S K OW0 D OW0 B
tartóztat|T AO RRR T OW0 S T AO T
taré|T AO RRR EH0
taréj|T AO RRR EH0 Y
taréjok|T AO RRR EH0 Y OW0 K
tasak|T AO SH AO K
tasakok|T AO SH AO K OW0 K
tasmania|T AO Z M AE N IY Y AO
tass|T AO SH
taszít|T AO S IY T
tat|T AO T
tata|T AO T AO
tatabánya|T AO T AO B AE N IY0 AO
tataroz|T AO T AO RRR OW0 Z
tatu|T AO T UW
taták|T AO T AE K
tatárjárás|T AO T AE RRR Y AE RRR AE SH
tau|T AO UW
taum|T AO UW M
taun|T AO UW N
taura|T AO UW RRR AO
taut|T AO UW T
tautológia|T AO UW T OW0 L OW0 G IY Y AO
tava|T AO V AO
tavacska|T AO V AO T K AO
tavacskák|T AO V AO T K AE K
tavai|T AO V AO Y IY
tavak|T AO V AO K
tavaly|T AO V AO Y
tavalyi|T AO V AO Y IY
tavasszal|T AO V AO S AO L
tavasz|T AO V AO S
tavasza|T AO V AO S AO
tavaszi|T AO V AO S IY
tavaszok|T AO V AO S OW0 K
tavaszonként|T AO V AO S OW0 NG K EH0 N T
tavaszán|T AO V AO S AE N
tavat|T AO V AO T
taxaméter|T AO K S AO M EH0 T EH RRR
taxi|T AO K S IY
taxiban|T AO K S IY B AO N
taxik|T AO K S IY K
taxira|T AO K S IY RRR AO
taxisofőr|T AO K S IY SH OW0 F OE RRR
taxonómia|T AO K S OW0 N OW0 M IY Y AO
taxonómiák|T AO K S OW0 N OW0 M IY Y AE K
tb|T EH0 B EH0
tbiliszi|T B IY L IY S IY
te|T EH
tea|T EH AO
teaház|T EH AO AE Z
tealattad|T EH AO L AO T AO D
tealevelek|T EH AO L EH V EH L EH K
tealevél|T EH AO L EH V EH0 L
tealád|T EH AO L AE D
tealólad|T EH AO L OW0 L AO D
teaszűrő|T EH AO S Y UW1 RRR OE
teaszűrők|T EH AO S Y UW1 RRR OE K
tebeléd|T EH B EH L EH0 D
tebelőled|T EH B EH L OE L EH D
tebenned|T EH B EH N EH D
teca|T EH T AO
technika|T EH HH N IY K AO
technikai|T EH HH N IY K AO Y IY
technikailag|T EH HH N IY K AO Y IY L AO G
technikus|T EH HH N IY K UW SH
technikusok|T EH HH N IY K UW SH OW0 K
technikák|T EH HH N IY K AE K
technikákat|T EH HH N IY K AE K AO T
technikát|T EH HH N IY K AE T
technikával|T EH HH N IY K AE V AO L
technológia|T EH HH N OW0 L OW0 G IY Y AO
technológiai|T EH HH N OW0 L OW0 G IY Y AO Y IY
technológiák|T EH HH N OW0 L OW0 G IY Y AE K
technológiákat|T EH HH N OW0 L OW0 G IY Y AE K AO T
technológiákkal|T EH HH N OW0 L OW0 G IY Y AE K AO L
technológiáknak|T EH HH N OW0 L OW0 G IY Y AE K N AO K
technológiának|T EH HH N OW0 L OW0 G IY Y AE N AO K
technológiát|T EH HH N OW0 L OW0 G IY Y AE T
technológiával|T EH HH N OW0 L OW0 G IY Y AE V AO L
technécium|T EH HH N EH0 T IY Y UW M
tedd|T EH D
teelébed|T EH EH L EH0 B EH D
teeléd|T EH EH L EH0 D
teelőled|T EH EH L OE L EH D
teelőtted|T EH EH L OE T EH D
teendő|T EH EH N D OE
teendők|T EH EH N D OE K
teendőket|T EH EH N D OE K EH T
tefeletted|T EH F EH L EH T EH D
tefeléd|T EH F EH L EH0 D
tefelőled|T EH F EH L OE L EH D
teflon|T EH F L OW0 N
tefölötted|T EH F OE L OE T EH D
tegez|T EH G EH Z
tegeze|T EH G EH Z EH
tegezeim|T EH G EH Z EH Y IY M
tegezlek|T EH G EH Z L EH K
tegeződik|T EH G EH Z OE D IY K
tegnap|T EH G N AO P
tegnapelőtt|T EH G N AO P EH L OE T
tegnapi|T EH G N AO P IY
