'tain|T EH
sprinteuse|S P RH IY N T OE Z
spvm|EH S P EH0 V EH0 EH M
spécial|S P EH0 S Y AE L
spécialement|S P EH0 S Y AE L M AA
spécialiste|S P EH0 S Y AE L IY S T
spécialité|S P EH0 S Y AE L IY T EH0
spécieux|S P EH0 S Y OE
spécifique|S P EH0 S IY F IY K
spécifiquement|S P EH0 S IY F IY K M AA
spécimen|S P EH0 S IY M EH N
spéculateur|S P EH0 K Y UW1 L AE T ER RH
spéculateurs|S P EH0 K Y UW1 L AE T ER RH
spéculer|S P EH0 K Y UW1 L EH0
spéculoos|S P EH0 K Y UW1 L OW0 S
spéculum|S P EH0 K Y UW1 L AO M
spéléothème|S P EH0 L EH0 AO T EH M
sq|EH S K Y UW1
squale|S K W AE L
squalelet|S K W AE L L EH
squales|S K W AE L
squame|S K W AE M
squameuse|S K W AE M OE Z
square|S K W AE RH
squash|S K W AE SH
squat|S K W AE T
squatta|S K W AE T AE
squattai|S K W AE T EH0
squattaient|S K W AE T EH
squattais|S K W AE T EH
squattait|S K W AE T EH
squattant|S K W AE T AA
squattas|S K W AE T AA
squattasse|S K W AE T AE S
squattassent|S K W AE T AE S
squattasses|S K W AE T AE S
squattassiez|S K W AE T AE S Y EH0
squattassions|S K W AE T AE S Y AO
squatte|S K W AE T
squattent|S K W AE T
squatter|S K W AE T EH0
squattera|S K W AE T RH AE
squatterai|S K W AE T RH EH0
squatteraient|S K W AE T RH EH
squatterais|S K W AE T RH EH
squatterait|S K W AE T RH EH
squatteras|S K W AE T RH AA
squatterez|S K W AE T RH EH0
squatteriez|S K W AE T AH0 RH Y EH0
squatterions|S K W AE T AH0 RH Y AO
squatterons|S K W AE T RH AO
squatteront|S K W AE T RH AO
squattes|S K W AE T
squatteur|S K W AE T ER RH
squatteuse|S K W AE T OE Z
squattez|S K W AE T EH0
squattiez|S K W AE T Y EH0
squattions|S K W AE T Y AO
squattons|S K W AE T AO
squattâmes|S K W AE T AA M
squattât|S K W AE T AA
squattâtes|S K W AE T AA T
squattèrent|S K W AE T EH RH
squatté|S K W AE T EH0
squattérisa|S K W AE T EH0 RH IY Z AE
squattérisai|S K W AE T EH0 RH IY Z EH0
squattérisaient|S K W AE T EH0 RH IY Z EH
squattérisais|S K W AE T EH0 RH IY Z EH
squattérisait|S K W AE T EH0 RH IY Z EH
squattérisant|S K W AE T EH0 RH IY Z AA
squattérisas|S K W AE T EH0 RH IY Z AA
squattérisasse|S K W AE T EH0 RH IY Z AE S
squattérisassent|S K W AE T EH0 RH IY Z AE S
squattérisasses|S K W AE T EH0 RH IY Z AE S
squattérisassiez|S K W AE T EH0 RH IY Z AE S Y EH0
squattérisassions|S K W AE T EH0 RH IY Z AE S Y AO
squattérise|S K W AE T EH0 RH IY Z
squattérisent|S K W AE T EH0 RH IY Z
squattériser|S K W AE T EH0 RH IY Z EH0
squattérisera|S K W AE T EH0 RH IY Z RH AE
squattériserai|S K W AE T EH0 RH IY Z RH EH0
squattériseraient|S K W AE T EH0 RH IY Z RH EH
squattériserais|S K W AE T EH0 RH IY Z RH EH
squattériserait|S K W AE T EH0 RH IY Z RH EH
squattériseras|S K W AE T EH0 RH IY Z RH AA
squattériserez|S K W AE T EH0 RH IY Z RH EH0
squattériseriez|S K W AE T EH0 RH IY Z AH0 RH Y EH0
squattériserions|S K W AE T EH0 RH IY Z AH0 RH Y AO
squattériserons|S K W AE T EH0 RH IY Z RH AO
squattériseront|S K W AE T EH0 RH IY Z RH AO
squattérises|S K W AE T EH0 RH IY Z
squattérisez|S K W AE T EH0 RH IY Z EH0
squattérisiez|S K W AE T EH0 RH IY Z Y EH0
squattérisions|S K W AE T EH0 RH IY Z Y AO
squattérisons|S K W AE T EH0 RH IY Z AO
squattérisâmes|S K W AE T EH0 RH IY Z AA M
squattérisât|S K W AE T EH0 RH IY Z AA
squattérisâtes|S K W AE T EH0 RH IY Z AA T
squattérisèrent|S K W AE T EH0 RH IY Z EH RH
squattérisé|S K W AE T EH0 RH IY Z EH0
squaw|S K W OW0
squelette|S K AH0 L EH T
squelettes|S K AH0 L EH T
squelettique|S K AH0 L EH T IY K
squille|S K IY L
squirre|S K IY RH
squètche|S K EH T SH
sr|EH S EH RH
srol|S RH AO L
stabiliser|S T AE B IY L IY Z EH0
stabilité|S T AE B IY L IY T EH0
stable|S T AE B L
stade|S T AE D
staff|S T AE F
staffa|S T AE F AE
staffai|S T AE F EH0
staffaient|S T AE F EH
staffais|S T AE F EH
staffait|S T AE F EH
staffant|S T AE F AA
staffas|S T AE F AA
staffasse|S T AE F AE S
staffassent|S T AE F AE S
staffasses|S T AE F AE S
staffassiez|S T AE F AE S Y EH0
staffassions|S T AE F AE S Y AO
staffe|S T AE F
staffent|S T AE F
staffer|S T AE F EH0
staffera|S T AE F RH AE
stafferai|S T AE F RH EH0
stafferaient|S T AE F RH EH
stafferais|S T AE F RH EH
stafferait|S T AE F RH EH
stafferas|S T AE F RH AA
stafferez|S T AE F RH EH0
stafferiez|S T AE F AH0 RH Y EH0
stafferions|S T AE F AH0 RH Y AO
stafferons|S T AE F RH AO
stafferont|S T AE F RH AO
staffes|S T AE F
staffez|S T AE F EH0
staffiez|S T AE F Y EH0
staffions|S T AE F Y AO
staffons|S T AE F AO
staffâmes|S T AE F AA M
staffât|S T AE F AA
staffâtes|S T AE F AA T
staffèrent|S T AE F EH RH
staffé|S T AE F EH0
stage|S T AE ZH
stages|S T AE ZH
stagflation|S T AE G F L AE S Y AO
stagflations|S T AE G F L AE S Y AO
stagiaire|S T AE ZH Y EH RH
stagnation|S T AE G N AE S Y AO
stagne|S T AE G N
stagnent|S T AE G N
stagner|S T AE G N EH0
stagnes|S T AE G N
stains|S T EH
stalactite|S T AE L AE K T IY T
stalagmite|S T AE L AE G M IY T
stalinien|S T AE L IY N Y EH
stalinisme|S T AE L IY N IY S M
stand|S T AA D
standard|S T AA D AE RH
standardiser|S T AA D AE RH D IY Z EH0
standing|S T AA D IY NG
stanislas|S T AE N IY S L AE S
stapes|S T AE P EH S
stapédienne|S T AE P EH0 D Y EH N
star|S T AE RH
starifier|S T AE RH IY F Y EH0
starisation|S T AE RH IY Z AE S Y AO
stariser|S T AE RH IY Z EH0
starlette|S T AE RH L EH T
starter|S T AE RH T ER RH
startijenn|S T AE RH T IY ZH EH N
stathouder|S T AE T UW D EH RH
station|S T AE S Y AO
stationnaire|S T AE S Y AO N EH RH
stationnaires|S T AE S Y AO N EH RH
stationner|S T AE S Y AO N EH0
statique|S T AE T IY K
statisticien|S T AE T IY S T IY S Y EH
statistique|S T AE T IY S T IY K
statistiques|S T AE T IY S T IY K
statue|S T AE T Y UW1
statuer|S T AE T EH0
statuette|S T AE T EH T
statut|S T AE T Y UW1
statère|S T AE T EH RH
staël|S T AE L
steak|S T EH K
steamé|S T IY M EH0
steeple|S T IY P L
stefanescu|S T AH0 F AE N EH S K Y UW1
steinérien|S T EH N EH0 RH Y EH
stellaire|S T EH L EH RH
stellaires|S T EH L EH RH
stellarator|S T EH L AE RH AE T AO RH
stellifier|S T EH L IY F Y EH0
stentor|S T EH T AO RH
steppe|S T EH P
sternal|S T EH RH N AE L
sterne|S T EH RH N
sternes|S T EH RH N
sternébrée|S T EH RH N EH0 B RH EH0
steward|S T UW W ER RH D
stigma|S T IY G M AE
stigmate|S T IY G M AE T
stigmatique|S T IY G M AE T IY K
stigmatiques|S T IY G M AE T IY K
stigmatisa|S T IY G M AE T IY Z AE
stigmatisai|S T IY G M AE T IY Z EH0
stigmatisaient|S T IY G M AE T IY Z EH
stigmatisais|S T IY G M AE T IY Z EH
stigmatisait|S T IY G M AE T IY Z EH
stigmatisant|S T IY G M AE T IY Z AA
stigmatisas|S T IY G M AE T IY Z AA
stigmatisasse|S T IY G M AE T IY Z AE S
stigmatisassent|S T IY G M AE T IY Z AE S
stigmatisasses|S T IY G M AE T IY Z AE S
stigmatisassiez|S T IY G M AE T IY Z AE S Y EH0
stigmatisassions|S T IY G M AE T IY Z AE S Y AO
stigmatisation|S T IY G M AE T IY Z AE S Y AO
stigmatise|S T IY G M AE T IY Z
stigmatisent|S T IY G M AE T IY Z
stigmatiser|S T IY G M AE T IY Z EH0
stigmatisera|S T IY G M AE T IY Z RH AE
stigmatiserai|S T IY G M AE T IY Z RH EH0
stigmatiseraient|S T IY G M AE T IY Z RH EH
stigmatiserais|S T IY G M AE T IY Z RH EH
stigmatiserait|S T IY G M AE T IY Z RH EH
stigmatiseras|S T IY G M AE T IY Z RH AA
stigmatiserez|S T IY G M AE T IY Z RH EH0
stigmatiseriez|S T IY G M AE T IY Z AH0 RH Y EH0
stigmatiserions|S T IY G M AE T IY Z AH0 RH Y AO
stigmatiserons|S T IY G M AE T IY Z RH AO
stigmatiseront|S T IY G M AE T IY Z RH AO
stigmatises|S T IY G M AE T IY Z
stigmatisez|S T IY G M AE T IY Z EH0
stigmatisiez|S T IY G M AE T IY Z Y EH0
stigmatisions|S T IY G M AE T IY Z Y AO
stigmatisme|S T IY G M AE T IY S M
stigmatismes|S T IY G M AE T IY S M
stigmatisons|S T IY G M AE T IY Z AO
stigmatisâmes|S T IY G M AE T IY Z AA M
stigmatisât|S T IY G M AE T IY Z AA
stigmatisâtes|S T IY G M AE T IY Z AA T
stigmatisèrent|S T IY G M AE T IY Z EH RH
stigmatisé|S T IY G M AE T IY Z EH0
stilbène|S T IY L B EH N
stimulation|S T IY M Y UW1 L AE S Y AO
stimuler|S T IY M Y UW1 L EH0
stimuli|S T IY M Y UW1 L IY
stimulus|S T IY M Y UW1 L Y UW1 S
stiple|S T IY P L
stipulacée|S T IY P Y UW1 L AE S EH0
stique|S T IY K
stochastique|S T AO K AE S T IY K
stochastiquement|S T AO K AE S T IY K M AA
stock|S T AO K
stocka|S T AO K AE
stockage|S T AO K AE ZH
stockai|S T AO K EH0
stockaient|S T AO K EH
stockais|S T AO K EH
stockait|S T AO K EH
stockant|S T AO K AA
stockas|S T AO K AA
stockasse|S T AO K AE S
stockassent|S T AO K AE S
stockasses|S T AO K AE S
stockassiez|S T AO K AE S Y EH0
stockassions|S T AO K AE S Y AO
stocke|S T AO K
stockent|S T AO K
stocker|S T AO K EH0
stockera|S T AO K RH AE
stockerai|S T AO K RH EH0
stockeraient|S T AO K RH EH
stockerais|S T AO K RH EH
stockerait|S T AO K RH EH
stockeras|S T AO K RH AA
stockerez|S T AO K RH EH0
stockeriez|S T AO K AH0 RH Y EH0
stockerions|S T AO K AH0 RH Y AO
stockerons|S T AO K RH AO
stockeront|S T AO K RH AO
stockes|S T AO K
stockez|S T AO K EH0
stockfisch|S T AO K F IY SH
stockholm|S T AO K AO L M
stockiez|S T AO K Y EH0
stockions|S T AO K Y AO
stockons|S T AO K AO
stockâmes|S T AO K AA M
stockât|S T AO K AA
stockâtes|S T AO K AA T
stockèrent|S T AO K EH RH
stocké|S T AO K EH0
stomacalement|S T AO M AE K AE L M AA
stomate|S T AO M AE T
stone|S T OW0 N
stool|S T UW L
stop|S T AO P
stopper|S T AO P EH0
stoppeur|S T AO P ER RH
stoppeurs|S T AO P ER RH
store|S T AO RH
storiste|S T AO RH IY S T
storytelling|S T AO RH IY T EH L IY NG
stoïcien|S T AO IY S Y EH
stoïcisme|S T AO IY S IY Z M
stoïque|S T AO IY K
stoïquement|S T AO IY K M AA
stoïques|S T AO IY K
strabisme|S T RH AE B IY S M
stramoine|S T RH AE M W AE N
stranguler|S T RH AA G Y UW1 L EH0
strasbourg|S T RH AE Z B UW RH
strass|S T RH AE S
stratagème|S T RH AE T AE ZH EH M
stratagèmes|S T RH AE T AE ZH EH M
strate|S T RH AE T
stratigraphie|S T RH AE T IY G RH AE F IY
stratigraphique|S T RH AE T IY G RH AE F IY K
stratosphère|S T RH AE T AO S F EH RH
stratège|S T RH AE T EH ZH
stratégie|S T RH AE T EH0 ZH IY
strauss|S T RH OW0 S
streaming|S T RH IY M IY NG
stress|S T RH EH S
stressant|S T RH EH S AA
stresser|S T RH EH S EH0
strette|S T RH EH T
strict|S T RH IY K T
strident|S T RH IY D AA
stridulant|S T RH IY D Y UW1 L AA
strier|S T RH IY Y EH0
strike|S T RH AE Y K
striker|S T RH AE Y K EH0
string|S T RH IY NG
striptease|S T RH IY P T IY Z
stripteaseur|S T RH IY P T IY Z ER RH
strié|S T RH IY Y EH0
stroboscopique|S T RH AO B AO S K AO P IY K
strontium|S T RH AO S Y AO M
strophe|S T RH AO F
structura|S T RH Y UW1 K T Y UW1 RH AE
structurai|S T RH Y UW1 K T Y UW1 RH EH0
structuraient|S T RH Y UW1 K T Y UW1 RH EH
structurais|S T RH Y UW1 K T Y UW1 RH EH
structurait|S T RH Y UW1 K T Y UW1 RH EH
structurant|S T RH Y UW1 K T Y UW1 RH AA
structuras|S T RH Y UW1 K T Y UW1 RH AA
structurasse|S T RH Y UW1 K T Y UW1 RH AE S
structurassent|S T RH Y UW1 K T Y UW1 RH AE S
structurasses|S T RH Y UW1 K T Y UW1 RH AE S
structurassiez|S T RH Y UW1 K T Y UW1 RH AE S Y EH0
structurassions|S T RH Y UW1 K T Y UW1 RH AE S Y AO
structure|S T RH Y UW1 K T Y UW1 RH
structurel|S T RH Y UW1 K T Y UW1 RH EH L
structurellement|S T RH Y UW1 K T Y UW1 RH EH L M AA
structurent|S T RH Y UW1 K T Y UW1 RH
structurer|S T RH Y UW1 K T Y UW1 RH EH0
structurera|S T RH Y UW1 K T Y UW1 RH AH0 RH AE
structurerai|S T RH Y UW1 K T Y UW1 RH AH0 RH EH0
structureraient|S T RH Y UW1 K T Y UW1 RH AH0 RH EH
structurerais|S T RH Y UW1 K T Y UW1 RH AH0 RH EH
structurerait|S T RH Y UW1 K T Y UW1 RH AH0 RH EH
structureras|S T RH Y UW1 K T Y UW1 RH AH0 RH AA
structurerez|S T RH Y UW1 K T Y UW1 RH AH0 RH EH0
structureriez|S T RH Y UW1 K T Y UW1 RH AH0 RH Y EH0
structurerions|S T RH Y UW1 K T Y UW1 RH AH0 RH Y AO
structurerons|S T RH Y UW1 K T Y UW1 RH AH0 RH AO
structureront|S T RH Y UW1 K T Y UW1 RH AH0 RH AO
structures|S T RH Y UW1 K T Y UW1 RH
structurez|S T RH Y UW1 K T Y UW1 RH EH0
structuriez|S T RH Y UW1 K T Y UW1 RH Y EH0
structurions|S T RH Y UW1 K T Y UW1 RH Y AO
structurons|S T RH Y UW1 K T Y UW1 RH AO
structurâmes|S T RH Y UW1 K T Y UW1 RH AA M
structurât|S T RH Y UW1 K T Y UW1 RH AA
structurâtes|S T RH Y UW1 K T Y UW1 RH AA T
structurèrent|S T RH Y UW1 K T Y UW1 RH EH RH
structuré|S T RH Y UW1 K T Y UW1 RH EH0
stryge|S T RH IY ZH
stuc|S T Y UW1 K
stud|S T Y UW1 D
studentisée|S T Y UW1 D AA T IY Z EH0
studieusement|S T Y UW1 D Y OE Z M AA
studieux|S T Y UW1 D Y OE
studio|S T Y UW1 D Y OW0
stup|S T Y UW1 P
stupeur|S T Y UW1 P ER RH
stupide|S T Y UW1 P IY D
stupidement|S T Y UW1 P IY D M AA
stupidité|S T Y UW1 P IY D IY T EH0
stupre|S T Y UW1 P RH
stupéfaction|S T Y UW1 P EH0 F AE K S Y AO
stupéfait|S T Y UW1 P EH0 F EH
stupéfiant|S T Y UW1 P EH0 F Y AA
stupéfier|S T Y UW1 P EH0 F Y EH0
style|S T IY L
stylet|S T IY L EH
styliser|S T IY L IY Z EH0
stylo|S T IY L OW0
stylographe|S T IY L AO G RH AE F
styromousse|S T IY RH AO M UW S
styx|S T IY K S
stèle|S T EH L
stère|S T EH RH
stères|S T EH RH
stéarine|S T EH0 AE RH IY N
stéatopyge|S T EH0 AE T AO P IY ZH
stéatose|S T EH0 AE T OW0 Z
stégosaure|S T EH0 G AO Z AO RH
sténographier|S T EH0 N AO G RH AE F Y EH0
sténohaline|S T EH0 N AO AE L IY N
stéphane|S T EH0 F AE N
stéphanie|S T EH0 F AE N IY
stéradian|S T EH0 RH AE D Y AA
stérer|S T EH0 RH EH0
stérilet|S T EH0 RH IY L EH
stérilisation|S T EH0 RH IY L IY Z AE S Y AO
stérique|S T EH0 RH IY K
stéréotomie|S T EH0 RH EH0 OW0 T AO M IY
stéréotype|S T EH0 RH EH0 AO T IY P
stéréotypiquement|S T EH0 RH EH0 AO T IY P IY K M AA
stésichore|S T EH0 Z IY K AO RH
stéthoscope|S T EH0 T AO S K AO P
stœchiologie|S T EH0 K Y AO L AO ZH IY
stœchiométrie|S T EH0 K Y OW0 M EH0 T RH IY
stœchiométrique|S T EH0 K Y OW0 M EH0 T RH IY K
su|S Y UW1
su'a|S W AE
sua|S AE
suai|S EH0
suaire|S EH RH
suais|S EH
suas|S AE
suasse|S AE S
suave|S AE V
suavement|S AE V M AA
suavité|S AE V IY T EH0
subaigu|S Y UW1 B EH G Y UW1
subaiguë|S Y UW1 B EH G Y UW1
subaigüe|S Y UW1 B EH G Y UW1
subalternes|S Y UW1 B AE L T EH RH N
subcellulaire|S Y UW1 P S EH L Y UW1 L EH RH
subconsciemment|S Y UW1 P K AO S Y AE M AA
subconscience|S Y UW1 P K AO S Y AA S
subconscient|S Y UW1 P K AO S Y AA
subdiviser|S Y UW1 B D IY V IY Z EH0
subdéléguer|S Y UW1 B D EH0 L EH0 G EH0
subglauque|S Y UW1 B G L OW0 K
subir|S Y UW1 B IY RH
subit|S Y UW1 B IY
subite|S Y UW1 B IY T
subitement|S Y UW1 B IY T M AA
subjectif|S Y UW1 B ZH EH K T IY F
subjectifs|S Y UW1 B ZH EH K T IY F
subjective|S Y UW1 B ZH EH K T IY V
subjectivement|S Y UW1 B ZH EH K T IY V M AA
subjectives|S Y UW1 B ZH EH K T IY V
subjectiviser|S Y UW1 B ZH EH K T IY V IY Z EH0
subjonctif|S Y UW1 B ZH AO K T IY F
subjuguer|S Y UW1 B ZH Y UW1 G EH0
sublatif|S Y UW1 B L AE T IY F
subler|S Y UW1 B L EH0
sublima|S Y UW1 B L IY M AE
sublimai|S Y UW1 B L IY M EH0
sublimais|S Y UW1 B L IY M EH
sublimas|S Y UW1 B L IY M AA
sublimasse|S Y UW1 B L IY M AE S
sublimasses|S Y UW1 B L IY M AE S
sublime|S Y UW1 B L IY M
sublimer|S Y UW1 B L IY M EH0
sublimes|S Y UW1 B L IY M
sublimez|S Y UW1 B L IY M EH0
subliminal|S Y UW1 B L IY M IY N AE L
subliminalement|S Y UW1 B L IY M IY N AE L M AA
submerge|S Y UW1 B M EH RH ZH
submergea|S Y UW1 B M EH RH ZH AE
submergeai|S Y UW1 B M EH RH ZH EH0
submergeaient|S Y UW1 B M EH RH ZH EH
submergeais|S Y UW1 B M EH RH ZH EH
submergeait|S Y UW1 B M EH RH ZH EH
submergeant|S Y UW1 B M EH RH ZH AA
submergeas|S Y UW1 B M EH RH ZH AA
submergeasse|S Y UW1 B M EH RH ZH AE S
submergeassent|S Y UW1 B M EH RH ZH AE S
submergeasses|S Y UW1 B M EH RH ZH AE S
submergeassiez|S Y UW1 B M EH RH ZH AE S Y EH0
submergeassions|S Y UW1 B M EH RH ZH AE S Y AO
submergent|S Y UW1 B M EH RH ZH
submergeons|S Y UW1 B M EH RH ZH AO
submerger|S Y UW1 B M EH RH ZH EH0
submergera|S Y UW1 B M EH RH ZH AH0 RH AE
submergerai|S Y UW1 B M EH RH ZH AH0 RH EH0
submergeraient|S Y UW1 B M EH RH ZH AH0 RH EH
submergerais|S Y UW1 B M EH RH ZH AH0 RH EH
submergerait|S Y UW1 B M EH RH ZH AH0 RH EH
submergeras|S Y UW1 B M EH RH ZH AH0 RH AA
submergerez|S Y UW1 B M EH RH ZH AH0 RH EH0
submergeriez|S Y UW1 B M EH RH ZH AH0 RH Y EH0
submergerions|S Y UW1 B M EH RH ZH AH0 RH Y AO
submergerons|S Y UW1 B M EH RH ZH AH0 RH AO
submergeront|S Y UW1 B M EH RH ZH AH0 RH AO
submerges|S Y UW1 B M EH RH ZH
submergez|S Y UW1 B M EH RH ZH EH0
submergeâmes|S Y UW1 B M EH RH ZH AA M
submergeât|S Y UW1 B M EH RH ZH AA
submergeâtes|S Y UW1 B M EH RH ZH AA T
submergiez|S Y UW1 B M EH RH ZH Y EH0
submergions|S Y UW1 B M EH RH ZH Y AO
submergèrent|S Y UW1 B M EH RH ZH EH RH
submergé|S Y UW1 B M EH RH ZH EH0
submersible|S Y UW1 B M EH RH S IY B L
submétacentrique|S Y UW1 B M EH0 T AE S AA T RH IY K
subodorer|S Y UW1 B AO D AO RH EH0
suboptimale|S Y UW1 B AO P T IY M AE L
subordination|S Y UW1 B AO RH D IY N AE S Y AO
subordinations|S Y UW1 B AO RH D IY N AE S Y AO
subordonné|S Y UW1 B AO RH D AO N EH0
subordonnée|S Y UW1 B AO RH D AO N EH0
subpalpébrale|S Y UW1 B P AE L P EH0 B RH AE L
subpoena|S Y UW1 B P EH0 N AE
subpœna|S Y UW1 B P EH0 N AE
subreptice|S Y UW1 B RH EH P T IY S
subrepticement|S Y UW1 B RH EH P T IY S M AA
subreptices|S Y UW1 B RH EH P T IY S
subsannation|S Y UW1 P S AE N AE S Y AO
subside|S Y UW1 P S IY D
subsidiaire|S Y UW1 P S IY D Y EH RH
subsidiairement|S Y UW1 P S IY D Y EH RH M AA
subsidiarité|S Y UW1 P S IY D Y AE RH IY T EH0
subsistance|S Y UW1 B Z IY S T AA S
subsistante|S Y UW1 B Z IY S T AA T
subsiste|S Y UW1 B Z IY S T
subsister|S Y UW1 B Z IY S T EH0
subsomption|S Y UW1 P S AO P S Y AO
subsonique|S Y UW1 P S AO N IY K
substance|S Y UW1 P S T AA S
substantiel|S Y UW1 P S T AA S Y EH L
substantiellement|S Y UW1 P S T AA S Y EH L M AA
substantif|S Y UW1 P S T AA T IY F
substantiva|S Y UW1 P S T AA T IY V AE
substantivai|S Y UW1 P S T AA T IY V EH0
substantivas|S Y UW1 P S T AA T IY V AE
substantivasse|S Y UW1 P S T AA T IY V AE S
substantivasses|S Y UW1 P S T AA T IY V AE S
substantive|S Y UW1 P S T AA T IY V
substantivent|S Y UW1 P S T AA T IY V
substantives|S Y UW1 P S T AA T IY V
substituer|S Y UW1 P S T IY T EH0
substitut|S Y UW1 P S T IY T Y UW1
substitution|S Y UW1 P S T IY T Y UW1 S Y AO
substituts|S Y UW1 P S T IY T Y UW1
substrat|S Y UW1 P S T RH AE
substrats|S Y UW1 P S T RH AE
substructure|S Y UW1 P S T RH Y UW1 K T Y UW1 RH
subsumer|S Y UW1 P S Y UW1 M EH0
subséquemment|S Y UW1 P S EH0 K AE M AA
subtendre|S Y UW1 P T AA D RH
subterfuge|S Y UW1 P T EH RH F Y UW1 ZH
subtil|S Y UW1 P T IY L
subtile|S Y UW1 P T IY L
subtiliser|S Y UW1 P T IY L IY Z EH0
subtilité|S Y UW1 P T IY L IY T EH0
subvenir|S Y UW1 B V AH0 N IY RH
subvention|S Y UW1 B V AA S Y AO
subvertir|S Y UW1 B V EH RH T IY RH
suc|S Y UW1 K
successeur|S Y UW1 K S EH S ER RH
successeuse|S Y UW1 K S EH S OE Z
succession|S Y UW1 K S EH S Y AO
successivement|S Y UW1 K S EH S IY V M AA
successorale|S Y UW1 K S EH S AO RH AE L
successrice|S Y UW1 K S EH S RH IY S
succinct|S Y UW1 K S EH
succincte|S Y UW1 K S EH T
succion|S Y UW1 K S Y AO
succomber|S Y UW1 K AO B EH0
succube|S Y UW1 K Y UW1 B
succulemment|S Y UW1 K Y UW1 L AE M AA
succulent|S Y UW1 K Y UW1 L AA
succulente|S Y UW1 K Y UW1 L AA T
succulentes|S Y UW1 K Y UW1 L AA T
succulents|S Y UW1 K Y UW1 L AA
succursale|S Y UW1 K Y UW1 RH S AE L
succès|S Y UW1 K S EH
succéder|S Y UW1 K S EH0 D EH0
sucer|S Y UW1 S EH0
sucette|S Y UW1 S EH T
suceur|S Y UW1 S ER RH
suceuse|S Y UW1 S OE Z
sucre|S Y UW1 K RH
sucrer|S Y UW1 K RH EH0
sucrerie|S Y UW1 K RH AH0 RH IY
sucrier|S Y UW1 K RH IY Y EH0
sucré|S Y UW1 K RH EH0
sud|S Y UW1 D
sudation|S Y UW1 D AE S Y AO
sudoku|S UW D AO K UW
sudorale|S Y UW1 D AO RH AE L
sue|S Y UW1
suent|S Y UW1
suer|S EH0
sues|S Y UW1
suette|S EH T
sueur|S ER RH
suffire|S Y UW1 F IY RH
suffisamment|S Y UW1 F IY Z AE M AA
suffisance|S Y UW1 F IY Z AA S
suffisant|S Y UW1 F IY Z AA
suffixe|S Y UW1 F IY K S
suffixer|S Y UW1 F IY K S EH0
suffocante|S Y UW1 F AO K AA T
suffocation|S Y UW1 F AO K AE S Y AO
suffoquer|S Y UW1 F AO K EH0
suffrage|S Y UW1 F RH AE ZH
suggestible|S Y UW1 G ZH EH S T IY B L
suggestif|S Y UW1 G ZH EH S T IY F
suggestifs|S Y UW1 G ZH EH S T IY F
suggestion|S Y UW1 G ZH EH S T Y AO
suggestions|S Y UW1 G ZH EH S T Y AO
suggestive|S Y UW1 G ZH EH S T IY V
suggestives|S Y UW1 G ZH EH S T IY V
suggérer|S Y UW1 G ZH EH0 RH EH0
suicidabilité|S IY S IY D AE B IY L IY T EH0
suicidairement|S IY S IY D EH RH M AA
suicide|S IY S IY D
suicider|S IY S IY D EH0
suicides|S IY S IY D
suicidée|S IY S IY D EH0
suie|S IY
suif|S IY F
suifer|S IY F EH0
suiffer|S IY F EH0
suint|S EH
suintement|S EH T M AA
suinter|S EH T EH0
suis|S IY Z
suisse|S IY S
suissesse|S IY S EH S
suissesses|S IY S EH S
suit|S IY
suite|S IY T
suites|S IY T
suivant|S IY V AA
suiveur|S IY V ER RH
suiveuse|S IY V OE Z
suivi|S IY V IY
suivre|S IY V RH
sujet|S Y UW1 ZH EH
sujétion|S Y UW1 ZH EH0 S Y AO
sulfater|S Y UW1 L F AE T EH0
sulfureux|S Y UW1 L F Y UW1 RH OE
sulpicienne|S Y UW1 L P IY S Y EH N
sultan|S Y UW1 L T AA
sultanat|S Y UW1 L T AE N AE
sultanats|S Y UW1 L T AE N AE
sumatra|S Y UW1 M AE T RH AE
sumatrien|S Y UW1 M AE T RH IY Y EH
sumiko|S UW M IY K OW0
summum|S AO M AO M
sumo|S Y UW1 M OW0
sumoyler|S Y UW1 M AO IY L EH0
sunnisme|S Y UW1 N N IY S M
super|S Y UW1 P EH RH
superacide|S Y UW1 P RH AE S IY D
superamas|S Y UW1 P EH RH AE M AA
superbe|S Y UW1 P EH RH B
supercherie|S Y UW1 P EH RH SH AH0 RH IY
supercontinent|S Y UW1 P EH RH K AO T IY N AA
supercoupe|S Y UW1 P EH RH K UW P
supercritique|S Y UW1 P EH RH K RH IY T IY K
superessif|S Y UW1 P EH RH EH S IY F
superficie|S Y UW1 P EH RH F IY S IY
superficiel|S Y UW1 P EH RH F IY S Y EH L
superfin|S Y UW1 P EH RH F EH
superfine|S Y UW1 P EH RH F IY N
superfines|S Y UW1 P EH RH F IY N
superfinition|S Y UW1 P EH RH F IY N IY S Y AO
superfinitions|S Y UW1 P EH RH F IY N IY S Y AO
superfins|S Y UW1 P EH RH F EH
superflu|S Y UW1 P EH RH F L Y UW1
superfécondation|S Y UW1 P EH RH F EH0 K AO D AE S Y AO
superfétatoire|S Y UW1 P EH RH F EH0 T AE T W AE RH
superlatif|S Y UW1 P EH RH L AE T IY F
superlourd|S Y UW1 P EH RH L UW RH
superléger|S Y UW1 P EH RH L EH0 ZH EH0
superman|S Y UW1 P EH RH M AE N
supermarché|S Y UW1 P EH RH M AE RH SH EH0
supernova|S Y UW1 P EH RH N AO V AE
supernœud|S Y UW1 P EH RH N OE
