ᆜ|Y UW0
피라미|P IY R AE M IY
피라미드|P IY R AE M IY D UW0
피라졸|P IY R AE D OW0 L
피라진|P IY R AE D IY N
피란|P IY R AE N
피로|P IY R OW0
피롤|P IY R OW0 L
피뢰침|P IY R W EH0 T IY M
피리|P IY R IY
피리다진|P IY R IY D AE D IY N
피리딘|P IY R IY D IY N
피리미딘|P IY R IY M IY D IY N
피말강이|P IY M AE L G AE NG IY
피망|P IY M AE NG
피부|P IY B UW
피부과|P IY B UW K W AE
피센|P IY S EH0 N
피스타치오|P IY S UW0 T AE T IY OW0
피스톨|P IY S UW0 T OW0 L
피시|P IY SH IY
피시방|P IY SH IY B AE NG
피씨방|P IY SH IY B AE NG
피아노|P IY AE N OW0
피아니스트|P IY AE N IY S UW0 T UW0
피안|P IY AE N
피알|P IY AE L
피어오르다|P IY AH OW0 R UW0 D AE
피에로|P IY EH0 R OW0
피오르|P IY OW0 R UW0
피오르드|P IY OW0 R UW0 D UW0
피우다|P IY UW D AE
피워|P IY W AH
피읖|P IY UW0 P
피임|P IY IY M
피임약|P IY IY M Y AE K
피임하다|P IY IY M AE D AE
피자|P IY D AE
피장파장|P IY D AE NG P AE D AE NG
피지|P IY D IY
피차|P IY T AE
피처폰|P IY T AH P OW0 N
피카츄|P IY K AE T UW
피크닉|P IY K HH UW0 N IY K
피통|P IY T OW0 NG
피트|P IY T UW0
피페라진|P IY P EH0 R AE D IY N
피페리딘|P IY P EH0 R IY D IY N
피폐|P IY P Y EH0
피폭|P IY P OW0 K
피폭자|P IY P OW0 K T AE
피하|P IY AE
피하다|P IY AE D AE
피하조직|P IY AE D OW0 D IY K
피혁|P IY IY AH K
픽|P IY K
픽업|P IY G AH P
핀란드|P IY L L AE N D UW0
핀란드어|P IY L L AE N D UW0 AH
핀셋|P IY N S EH0 T
핀지|P IY N IY0 D IY
핀치|P IY N IY0 T IY
필|P IY L
필경|P IY L G Y AH NG
필담|P IY L D AE M
필드|P IY L D UW0
필름|P IY L L UW0 M
필리핀|P IY L IY L IY IY P IY N
필리핀독수리|P IY L IY L IY IY P IY N D OW0 K S UW R IY
필림|P IY L IY L IY IY M
필립|P IY L IY L IY IY P
필명|P IY L M Y AH NG
필사적|P IY L S AE D AH K
필살기|P IY L S AE L G IY
필수|P IY L S UW
필수적|P IY L S UW D AH K
필수품|P IY L S UW P UW M
필순|P IY L S UW N
필승|P IY L S UW0 NG
필업|P IY R AH P
필요|P IY R Y OW0
필요성|P IY R Y OW0 S AH NG
필요악|P IY R Y OW0 AE K
필요하다|P IY R Y OW0 AE D AE
필자|P IY L IY T AE
필적|P IY L IY D AH K
필적학|P IY L IY D AH K AE K
필터|P IY L T AH
필통|P IY L T OW0 NG
필획|P IY R V W EH0 K
핍|P IY P
핍박|P IY P P AE K
핏가루|P IY T K AE R UW
핑|P IY NG
핑계|P IY NG G Y EH0
핑크|P IY NG K HH UW0
핑퐁|P IY NG P OW0 NG
핑핑|P IY NG P IY NG
하|HH AE
하강|HH AE G AE NG
하게체|HH AE G EH0 T EH0
하고|HH AE G OW0
하굣길|HH AE G Y OW0 T K IY L
하구|HH AE G UW
하극상|HH AE G UW0 K S AE NG
하급|HH AE G UW0 P
하긴|HH AE G IY N
하나|HH AE N AE
하나님|HH AE N AE N IY M
하나회|HH AE N AE V W EH0
하난|HH AE N AE N
하날|HH AE N AE L
하남|HH AE N AE M
하녀|HH AE N IY0 AH
하노이|HH AE N OW0 IY
하느님|HH AE N UW0 N IY M
하느작|HH AE N UW0 D AE K
하늘|HH AE N UW0 L
하늘길|HH AE N UW0 L K IY L
하늘나라|HH AE N UW0 L L AE R AE
하늘다람쥐|HH AE N UW0 L D AE R AE M D IY
하늬|HH AE N IY
하다|HH AE D AE
하데스|HH AE D EH0 S UW0
하도|HH AE D OW0
하동지동|HH AE D OW0 NG D IY D OW0 NG
하드|HH AE D UW0
하드웨어|HH AE D UW0 W EH0 AH
하라레|HH AE R AE R EH0
하락시|HH AE R AE K SH IY
하락하다|HH AE R AE K AE D AE
하루|HH AE R UW
하루빨리|HH AE R UW P AE L IY L IY IY
하루살이|HH AE R UW S AE R IY
하루아침|HH AE R UW AE T IY M
하룻밤|HH AE R UW T P AE M
하르툼|HH AE R UW0 T UW M
하릅|HH AE R UW0 P
하마|HH AE M AE
하면|HH AE M Y AH N
하물|HH AE M UW L
하반신|HH AE B AE N SH IY N
하버드|HH AE B AH D UW0
하부|HH AE B UW
하북|HH AE B UW K
하수구|HH AE S UW G UW
하수도|HH AE S UW D OW0
하숙|HH AE S UW K
하숙옥|HH AE S UW G OW0 K
하숙집|HH AE S UW K T IY P
하슘|HH AE SH UW M
하시다|HH AE SH IY D AE
하십시오체|HH AE SH IY P SH IY OW0 T EH0
하야|HH AE Y AE
하양|HH AE Y AE NG
하얗다|HH AE Y AE T AE
하얼빈|HH AE AH L B IY N
하여간|HH AE Y AH G AE N
하여튼|HH AE Y AH T UW0 N
하오체|HH AE OW0 T EH0
하와|HH AE W AE
하와이|HH AE W AE IY
하원|HH AE W AH N
하위|HH AE IY
하이난|HH AE IY N AE N
하이드라존|HH AE IY D UW0 R AE D OW0 N
하이드라진|HH AE IY D UW0 R AE D IY N
하이드록실아민|HH AE IY D UW0 R OW0 K SH IY R AE M IY N
하이에나|HH AE IY EH0 N AE
하이퍼|HH AE IY P AH
하이퍼링크|HH AE IY P AH R IY NG K HH UW0
하이픈|HH AE IY P UW0 N
하이힐|HH AE IY IY IY L
하인|HH AE IY N
하임움직씨|HH AE IY M UW M D IY K SH IY
하자|HH AE D AE
하즈|HH AE D UW0
하지|HH AE D IY
하지만|HH AE D IY M AE N
하직하다|HH AE D IY K AE D AE
하천|HH AE T AH N
하청|HH AE T AH NG
하체|HH AE T EH0
하퇴삼두근|HH AE T W EH0 S AE M D UW G UW0 N
하트|HH AE T UW0
하품|HH AE P UW M
하품하다|HH AE P UW M AE D AE
하프|HH AE P UW0
하프늄|HH AE P UW0 N IY0 UW M
하플로그룹|HH AE P UW0 L L OW0 G UW0 R UW P
하필|HH AE P IY L
하하|HH AE AE
학|HH AE K
학공치|HH AE K K OW0 NG T IY
학과|HH AE K K W AE
학괴|HH AE K K W EH0
학교|HH AE K K Y OW0
학구|HH AE K K UW
학구적|HH AE K K UW D AH K
학급|HH AE K K UW0 P
학기|HH AE K K IY
학년|HH AE NG N IY0 AH N
학력|HH AE NG N IY0 AH K
학명|HH AE NG M Y AH NG
학문|HH AE NG M UW N
학번|HH AE K P AH N
학벌|HH AE K P AH L
학부|HH AE K P UW
학부모|HH AE K P UW M OW0
학사|HH AE K S AE
학살|HH AE K S AE L
학설|HH AE K S AH L
학술|HH AE K S UW L
학습|HH AE K S UW0 P
학습하다|HH AE K S UW0 P AE D AE
학식|HH AE K SH IY K
학용품|HH AE G Y OW0 NG P UW M
학원|HH AE G W AH N
학위|HH AE G IY
학자|HH AE K T AE
학회|HH AE K W EH0
한|HH AE N
한가|HH AE N G AE
한가운데|HH AE N G AE UW N D EH0
한가위|HH AE N G AE IY
한가하다|HH AE N G AE AE D AE
한갓지다|HH AE N G AE T T IY D AE
한강|HH AE N G AE NG
한겨레|HH AE N G Y AH R EH0
한계|HH AE N G Y EH0
한국|HH AE N G UW K
한국까치|HH AE N G UW K K AE T IY
한국말|HH AE N G UW NG M AE L
한국어|HH AE N G UW G AH
한국인|HH AE N G UW G IY N
한국학|HH AE N G UW K AE K
한글|HH AE N G UW0 L
한글날|HH AE N G UW0 L L AE L
한글화|HH AE N G UW0 R V W AE
한꺼번에|HH AE N K AH B AH N EH0
한나라|HH AE N N AE R AE
한남|HH AE N N AE M
한다|HH AE N D AE
한담|HH AE N D AE M
한담하다|HH AE N D AE M AE D AE
한데|HH AE N D EH0
한도|HH AE N D OW0
한동안|HH AE N D OW0 NG AE N
한두|HH AE N D UW
한둘|HH AE N D UW L
한라산|HH AE L L AE S AE N
한류|HH AE L IY L IY UW
한림원|HH AE L IY L IY IY M W AH N
한마디|HH AE N M AE D IY
한문|HH AE N M UW N
한물|HH AE N M UW L
한민족|HH AE N M IY N IY0 D OW0 K
한반도|HH AE N B AE N D OW0
한밤중|HH AE N B AE M T UW NG
한번|HH AE N B AH N
한복|HH AE N B OW0 K
한본어|HH AE N B OW0 N AH
한사군|HH AE N S AE G UW N
한성|HH AE N S AH NG
한숨|HH AE N S UW M
한숨짓다|HH AE N S UW M D IY T T AE
한시름|HH AE N SH IY R UW0 M
한식|HH AE N SH IY K
한식집|HH AE N SH IY K T IY P
한심|HH AE N SH IY M
한쌍|HH AE N S AE NG
한아바이|HH AE N AE B AE IY
한약|HH AE N IY0 AE K
한양|HH AE N IY0 AE NG
한어|HH AE N AH
한여름|HH AE N N IY0 AH R UW0 M
한열|HH AE N IY0 AH L
한영|HH AE N IY0 AH NG
한월어|HH AE N W AH R AH
한인|HH AE N IY N
한인회|HH AE N IY N V W EH0
한자|HH AE N IY0 T AE
한자어|HH AE N IY0 T AE AH
한잔|HH AE N IY0 D AE N
한정되다|HH AE N IY0 D AH NG D W EH0 D AE
한정사|HH AE N IY0 D AH NG S AE
한족|HH AE N IY0 D OW0 K
한족법|HH AE N IY0 D OW0 K P AH P
한중|HH AE N IY0 D UW NG
한쪽|HH AE N IY0 T OW0 K
한참|HH AE N IY0 T AE M
한탄하다|HH AE N T AE N AE D AE
한파|HH AE N P AE
한편|HH AE N P Y AH N
한하다|HH AE N AE D AE
한학|HH AE N AE K
할|HH AE L
할라카|HH AE L L AE K AE
할라페뇨|HH AE L L AE P EH0 N IY0 OW0
할렐루야|HH AE L L EH0 L L UW Y AE
할례쁘|HH AE L IY L IY EH0 P UW0
할로윈|HH AE L L OW0 IY N
할리우드|HH AE L IY L IY IY UW D UW0
할많하않|HH AE L M AE N AE AE N
할머니|HH AE L M AH N IY
할머님|HH AE L M AH N IY M
할멈|HH AE L M AH M
할미꽃|HH AE L M IY K OW0 T
할부|HH AE L B UW
할아버님|HH AE R AE B AH N IY M
할아버지|HH AE R AE B AH D IY
할인|HH AE R IY N
할인가|HH AE R IY N K AE
할퀴다|HH AE L K IY D AE
핥다|HH AE L T AE
함|HH AE M
함경|HH AE M G Y AH NG
함경남도|HH AE M G Y AH NG N AE M D OW0
함경도|HH AE M G Y AH NG D OW0
함경북도|HH AE M G Y AH NG B UW K T OW0
함구증|HH AE M G UW T UW0 NG
함께|HH AE M K EH0
함께하다|HH AE M K EH0 AE D AE
함락|HH AE M N AE K
함량|HH AE M N IY0 AE NG
함묵증|HH AE M M UW K T UW0 NG
함박웃음|HH AE M B AE G UW S UW0 M
함부로|HH AE M B UW R OW0
함부르크|HH AE M B UW R UW0 K HH UW0
함성|HH AE M S AH NG
함수|HH AE M S UW
함정|HH AE M D AH NG
함흥|HH AE M HH UW0 NG
함흥차사|HH AE M HH UW0 NG T AE S AE
합|HH AE P
합격|HH AE P K Y AH K
합격하다|HH AE P K Y AH K AE D AE
합계|HH AE P K Y EH0
합금|HH AE P K UW0 M
합기도|HH AE P K IY D OW0
합당하다|HH AE P T AE NG AE D AE
합리적|HH AE M N IY D AH K
합리주의|HH AE M N IY D UW IY
합법|HH AE P P AH P
합법화|HH AE P P AH P W AE
합법화되다|HH AE P P AH P W AE D W EH0 D AE
합병|HH AE P P Y AH NG
합서|HH AE P S AH
합선|HH AE P S AH N
합성|HH AE P S AH NG
합성록음|HH AE P S AH NG N OW0 G UW0 M
합성록음하다|HH AE P S AH NG N OW0 G UW0 M AE D AE
합성어|HH AE P S AH NG AH
합쇼체|HH AE P SH OW0 T EH0
합스부르크|HH AE P S UW0 B UW R UW0 K HH UW0
합의|HH AE B IY
합자|HH AE P T AE
합작|HH AE P T AE K
합중국|HH AE P T UW NG G UW K
합창|HH AE P T AE NG
합창단|HH AE P T AE NG D AE N
합체|HH AE P T EH0
합치다|HH AE P T IY D AE
핫도그|HH AE T T OW0 G UW0
핫라인|HH AE N N AE IY N
핫아비|HH AE S AE B IY
핫어미|HH AE S AH M IY
항|HH AE NG
항고|HH AE NG G OW0
항공|HH AE NG G OW0 NG
항공기|HH AE NG G OW0 NG G IY
항공모함|HH AE NG G OW0 NG M OW0 AE M
항공사|HH AE NG G OW0 NG S AE
항공역|HH AE NG G OW0 NG Y AH K
항공우주|HH AE NG G OW0 NG UW D UW
항구|HH AE NG G UW
항독소|HH AE NG D OW0 K S OW0
항라머리검독수리|HH AE NG N AE M AH R IY G AH M D OW0 K S UW R IY
항렬|HH AE NG N IY0 AH L
항로|HH AE NG N OW0
항만|HH AE NG M AE N
항목|HH AE NG M OW0 K
항문|HH AE NG M UW N
항복|HH AE NG B OW0 K
항상|HH AE NG S AE NG
항성|HH AE NG S AH NG
항소|HH AE NG S OW0
항아리|HH AE NG AE R IY
항암|HH AE NG AE M
항암제|HH AE NG AE M D EH0
항역|HH AE NG Y AH K
항원|HH AE NG W AH N
항의|HH AE NG IY
항의하다|HH AE NG IY AE D AE
항일|HH AE NG IY L
항체|HH AE NG T EH0
해|HH EH
해결|HH EH G Y AH L
해결되다|HH EH G Y AH L D W EH0 D AE
해결하다|HH EH G Y AH R AE D AE
해고|HH EH G OW0
해고하다|HH EH G OW0 AE D AE
해군|HH EH G UW N
해금|HH EH G UW0 M
해남|HH EH N AE M
해녀|HH EH N IY0 AH
해달|HH EH D AE L
해답|HH EH D AE P
해도|HH EH D OW0
해동|HH EH D OW0 NG
해동하다|HH EH D OW0 NG AE D AE
해라체|HH EH R AE T EH0
해롭다|HH EH R OW0 P T AE
해리|HH EH R IY
해마|HH EH M AE
해면|HH EH M Y AH N
해물|HH EH M UW L
해발|HH EH B AE L
해방|HH EH B AE NG
해방하다|HH EH B AE NG AE D AE
해변|HH EH B Y AH N
해병|HH EH B Y AH NG
해부|HH EH B UW
해부학|HH EH B UW AE K
해산물|HH EH S AE N M UW L
해삼|HH EH S AE M
해상도|HH EH S AE NG D OW0
해석|HH EH S AH K
해석자|HH EH S AH K T AE
해석하다|HH EH S AH K AE D AE
해석학|HH EH S AH K AE K
해설|HH EH S AH L
해설하다|HH EH S AH R AE D AE
해성|HH EH S AH NG
해소|HH EH S OW0
해수욕|HH EH S UW Y OW0 K
해수욕장|HH EH S UW Y OW0 K T AE NG
해안|HH EH AE N
해양|HH EH Y AE NG
해양학|HH EH Y AE NG AE K
해열|HH EH Y AH L
해왕성|HH EH W AE NG S AH NG
해외|HH EH W EH0
해요체|HH EH Y OW0 T EH0
해월|HH EH W AH L
해일|HH EH IY L
해장|HH EH D AE NG
해장국|HH EH D AE NG G UW K
해저|HH EH D AH
해적|HH EH D AH K
해전|HH EH D AH N
해제|HH EH D EH0
해주|HH EH D UW
해중|HH EH D UW NG
해지|HH EH D IY
해지다|HH EH D IY D AE
해체|HH EH T EH0
해초|HH EH T OW0
해치다|HH EH T IY D AE
해코지|HH EH K OW0 D IY
해파리|HH EH P AE R IY
해항|HH EH AE NG
해협|HH EH IY AH P
행복|HH EH NG B OW0 K
행복감|HH EH NG B OW0 K K AE M
행복하다|HH EH NG B OW0 K AE D AE
행여|HH EH NG Y AH
행운|HH EH NG UW N
행운아|HH EH NG UW N AE
행인|HH EH NG IY N
허|HH AH
허가|HH AH G AE
허구|HH AH G UW
허난|HH AH N AE N
허둥지둥|HH AH D UW NG D IY D UW NG
허락|HH AH R AE K
허락하다|HH AH R AE K AE D AE
허리|HH AH R IY
허리띠|HH AH R IY T IY
허리케인|HH AH R IY K EH0 IY N
허무주의|HH AH M UW D UW IY
허물다|HH AH M UW L D AE
허버허버|HH AH B AH AH B AH
허벅지|HH AH B AH K T IY
허베이|HH AH B EH0 IY
허브티|HH AH B UW0 T IY
허세|HH AH S EH0
허수|HH AH S UW
허술하다|HH AH S UW R AE D AE
허영심|HH AH Y AH NG SH IY M
허용|HH AH Y OW0 NG
허용하다|HH AH Y OW0 NG AE D AE
허위|HH AH IY
허접스럽다|HH AH D AH P S UW0 R AH P T AE
허파|HH AH P AE
허하다|HH AH AE D AE
허허|HH AH AH
허혼|HH AH V OW0 N
헌|HH AH N
헌장|HH AH N IY0 D AE NG
헌팅|HH AH N T IY NG
헐|HH AH L
헐가|HH AH L K AE
헐렁하다|HH AH L L AH NG AE D AE
험|HH AH M
헛간|HH AH T K AE N
헛걸음|HH AH T K AH R UW0 M
헛기다리다|HH AH T K IY D AE R IY D AE
헛되다|HH AH T T W EH0 D AE
헛방귀|HH AH T P AE NG G IY
헛코골다|HH AH T K OW0 G OW0 L D AE
헝가리|HH AH NG G AE R IY
헝가리어|HH AH NG G AE R IY AH
헤기|HH EH0 G IY
헤드폰|HH EH0 D UW0 P OW0 N
헤라|HH EH0 R AE
헤로인|HH EH0 R OW0 IY N
헤르메스|HH EH0 R UW0 M EH0 S UW0
헤르츠|HH EH0 R UW0 T UW0
헤모글로빈|HH EH0 M OW0 G UW0 L L OW0 B IY N
헤스티아|HH EH0 S UW0 T IY AE
헤아리다|HH EH0 AE R IY D AE
헤어드라이어|HH EH0 AH D UW0 R AE IY AH
헤어지다|HH EH0 AH D IY D AE
헤엄치다|HH EH0 AH M T IY D AE
헤이그|HH EH0 IY G UW0
헤이룽장|HH EH0 IY R UW NG D AE NG
헤집다|HH EH0 D IY P T AE
헤파이스토스|HH EH0 P AE IY S UW0 T OW0 S UW0
헤프다|HH EH0 P UW0 D AE
헥세인|HH EH0 K S EH0 IY N
헥토르|HH EH0 K T OW0 R UW0
헬|HH EH0 L
헬기|HH EH0 L G IY
헬레나|HH EH0 L L EH0 N AE
헬륨|HH EH0 L IY L IY UW M
헬리콥터|HH EH0 L IY L IY IY K OW0 P T AH
헬린이|HH EH0 L IY L IY IY N IY
헬멧|HH EH0 L M EH0 T
헬스|HH EH0 L S UW0
헬스클럽|HH EH0 L S UW0 K HH UW0 L L AH P
헬조선|HH EH0 L IY D OW0 S AH N
헬창|HH EH0 L IY T AE NG
헵테인|HH EH0 P T EH0 IY N
헷갈리다|HH EH0 T K AE L IY L IY IY D AE
헷말|HH EH0 N M AE L
헹구다|HH EH0 NG G UW D AE
호|OW0
호각|OW0 G AE K
호격|OW0 K Y AH K
호구|OW0 G UW
호금|OW0 G UW0 M
호기심|OW0 G IY SH IY M
호남|OW0 N AE M
호놀룰루|OW0 N OW0 L L UW L L UW
호두|OW0 D UW
호떡|OW0 T AH K
호랑|OW0 R AE NG
호랑나비|OW0 R AE NG N AE B IY
호랑버들|OW0 R AE NG B AH D UW0 L
호랑이|OW0 R AE NG IY
호러|OW0 R AH
호루라기|OW0 R UW R AE G IY
호르몬|OW0 R UW0 M OW0 N
호리|OW0 R IY
호리다|OW0 R IY D AE
호모포비아|OW0 M OW0 P OW0 B IY AE
호밀|OW0 M IY L
호박|OW0 B AE K
호박산|OW0 B AE K S AE N
호반|OW0 B AE N
호버크라프트|OW0 B AH K HH UW0 R AE P UW0 T UW0
호북|OW0 B UW K
호분자|OW0 B UW N IY0 D AE
호불호|OW0 B UW R V OW0
호빵|OW0 P AE NG
호사|OW0 S AE
호사비오리|OW0 S AE B IY OW0 R IY
호선|OW0 S AH N
호소|OW0 S OW0
호수|OW0 S UW
호숫가|OW0 S UW T K AE
호스|OW0 S UW0
호실|OW0 SH IY L
호의|OW0 IY
호전|OW0 D AH N
호전되다|OW0 D AH N D W EH0 D AE
호전하다|OW0 D AH N AE D AE
호정|OW0 D AH NG
호주|OW0 D UW
호주머니|OW0 D UW M AH N IY
호주인|OW0 D UW IY N
호지명|OW0 D IY M Y AH NG
호출기|OW0 T UW L G IY
호치민|OW0 T IY M IY N
호텔|OW0 T EH0 L
호평|OW0 P Y AH NG
호프|OW0 P UW0
호피|OW0 P IY
호환성|OW0 V W AE N S AH NG
호흡|OW0 HH UW0 P
호흡계통|OW0 HH UW0 P K Y EH0 T OW0 NG
호흡하다|OW0 HH UW0 P AE D AE
혹가이도|OW0 K K AE IY D OW0
혹고니|OW0 K K OW0 N IY
혹부리오리|OW0 K P UW R IY OW0 R IY
혹성|OW0 K S AH NG
혹시|OW0 K SH IY
혹시나|OW0 K SH IY N AE
혹여|OW0 G Y AH
혹여나|OW0 G Y AH N AE
혹은|OW0 G UW0 N
혹자|OW0 K T AE
혼|OW0 N
혼나다|OW0 N N AE D AE
혼돈|OW0 N D OW0 N
혼돈하다|OW0 N D OW0 N AE D AE
혼란|OW0 L L AE N
혼란스럽다|OW0 L L AE N S UW0 R AH P T AE
혼령|OW0 L IY L IY AH NG
혼례|OW0 L IY L IY EH0
혼례식|OW0 L IY L IY EH0 SH IY K
혼미|OW0 N M IY
혼밥|OW0 N B AE P
혼사|OW0 N S AE
혼수|OW0 N S UW
혼술|OW0 N S UW L
혼약|OW0 N IY0 AE K
혼인|OW0 N IY N
혼자|OW0 N IY0 D AE
혼잡하다|OW0 N IY0 D AE P AE D AE
혼합|OW0 N AE P
혼혈|OW0 N IY AH L
홀|OW0 L
홀로|OW0 L L OW0
홀리다|OW0 L IY L IY IY D AE
홀뮴|OW0 L M Y UW M
홀소리|OW0 L S OW0 R IY
홀소리어울림|OW0 L S OW0 R IY AH UW L IY L IY IY M
홀스터|OW0 L S UW0 T AH
홀씨|OW0 L SH IY
홀아비|OW0 R AE B IY
홀어미|OW0 R AH M IY
홈|OW0 M
홈런|OW0 M N AH N
홈페이지|OW0 M P EH0 IY D IY
홈페지|OW0 M P EH0 D IY
홋카이도|OW0 T K AE IY D OW0
홍|OW0 NG
홍게|OW0 NG G EH0
홍길동|OW0 NG G IY L D OW0 NG
홍당무|OW0 NG D AE NG M UW
홍머리오리|OW0 NG M AH R IY OW0 R IY
홍발정|OW0 NG B AE L IY T AH NG
홍보|OW0 NG B OW0
홍살문|OW0 NG S AE L M UW N
홍송어|OW0 NG S OW0 NG AH
홍수|OW0 NG S UW
홍시|OW0 NG SH IY
홍어|OW0 NG AH
홍어회|OW0 NG AH V W EH0
홍역|OW0 NG Y AH K
홍위병|OW0 NG IY B Y AH NG
홍진|OW0 NG D IY N
홍차|OW0 NG T AE
홍콩|OW0 NG K OW0 NG
홍학|OW0 NG AE K
홍합|OW0 NG AE P
홑|OW0 T
홑이불|OW0 N N IY B UW L
화|W AE
화가|W AE G AE
화강암|W AE G AE NG AE M
화기|W AE G IY
화나다|W AE N AE D AE
화냥년|W AE N IY0 AE NG N IY0 AH N
화단|W AE D AE N
화두|W AE D UW
화려|W AE R Y AH
화려하다|W AE R Y AH AE D AE
화룡점정|W AE R Y OW0 NG D AH M D AH NG
화면|W AE M Y AH N
화물|W AE M UW L
화법|W AE P AH P
화병|W AE P Y AH NG
화보|W AE B OW0
화분|W AE B UW N
화사|W AE S AE
화사하다|W AE S AE AE D AE
화산|W AE S AE N
화산학|W AE S AE N AE K
화살|W AE S AE L
화살나무|W AE S AE L L AE M UW
화살표|W AE S AE L P Y OW0
화석|W AE S AH K
화성|W AE S AH NG
화성돈|W AE S AH NG D OW0 N
화식|W AE SH IY K
화신|W AE SH IY N
화약|W AE Y AE K
화염|W AE Y AH M
화염병|W AE Y AH M P Y AH NG
화요일|W AE Y OW0 IY L
화음|W AE UW0 M
화이자|W AE IY D AE
화이트|W AE IY T UW0
화이트보드|W AE IY T UW0 B OW0 D UW0
화이트호스|W AE IY T UW0 V OW0 S UW0
화이팅|W AE IY T IY NG
화자|W AE D AE
화장|W AE D AE NG
화장실|W AE D AE NG SH IY L
화장장|W AE D AE NG D AE NG
화장지|W AE D AE NG D IY
화장품|W AE D AE NG P UW M
화제|W AE D EH0
화제한어|W AE D EH0 AE N AH
화지|W AE D IY
화질|W AE D IY L
화차|W AE T AE
화창하다|W AE T AE NG AE D AE
화타|W AE T AE
화평|W AE P Y AH NG
화폐|W AE P Y EH0
화폐학|W AE P Y EH0 AE K
화학|W AE AE K
화학자|W AE AE K T AE
화학전달물질|W AE AE K T AH N D AE L M UW L IY T IY L
화합물|W AE AE M M UW L
확|W AE K
확고하다|W AE K K OW0 AE D AE
확률|W AE NG N IY0 UW L
확립|W AE NG N IY P
확보|W AE K P OW0
확산|W AE K S AE N
확성기|W AE K S AH NG G IY
확신|W AE K SH IY N
확신하다|W AE K SH IY N AE D AE
확실하다|W AE K SH IY R AE D AE
확실히|W AE K SH IY R IY IY
확약|W AE G Y AE K
확인|W AE G IY N
확인되다|W AE G IY N D W EH0 D AE
확인하다|W AE G IY N AE D AE
확장|W AE K T AE NG
확정하다|W AE K T AH NG AE D AE
확증편향|W AE K T UW0 NG P Y AH N IY AE NG
확진자|W AE K T IY N IY0 D AE
환경|W AE N G Y AH NG
환경오염|W AE N G Y AH NG OW0 Y AH M
환관|W AE N G W AE N
환도|W AE N D OW0
환도상어|W AE N D OW0 S AE NG AH
환락|W AE L L AE K
환멸|W AE N M Y AH L
환불|W AE N B UW L
환불금|W AE N B UW L G UW0 M
환불하다|W AE N B UW R AE D AE
환상|W AE N S AE NG
환상곡|W AE N S AE NG G OW0 K
환상적|W AE N S AE NG D AH K
환송하다|W AE N S OW0 NG AE D AE
환승|W AE N S UW0 NG
환승하다|W AE N S UW0 NG AE D AE
환약|W AE N IY0 AE K
환영|W AE N IY0 AH NG
환영하다|W AE N IY0 AH NG AE D AE
환율|W AE N IY0 UW L
환자|W AE N IY0 D AE
환전|W AE N IY0 D AH N
환절기|W AE N IY0 D AH L G IY
환하다|W AE N AE D AE
활|W AE L
활기|W AE L G IY
활동|W AE L T OW0 NG
활동가|W AE L T OW0 NG G AE
활동사진|W AE L T OW0 NG S AE D IY N
활동적|W AE L T OW0 NG D AH K
활동하다|W AE L T OW0 NG AE D AE
활력|W AE L IY L IY AH K
활발|W AE L B AE L
활발하다|W AE L B AE R AE D AE
활석|W AE L S AH K
활성|W AE L S AH NG
활성탄|W AE L S AH NG T AE N
활시위|W AE L SH IY IY
활엽수|W AE R Y AH P S UW
활용|W AE R Y OW0 NG
활용하다|W AE R Y OW0 NG AE D AE
활자|W AE L IY T AE
활활|W AE R V W AE L
황|W AE NG
황금|W AE NG G UW0 M
황당|W AE NG D AE NG
황당무계|W AE NG D AE NG M UW G Y EH0
황당무계하다|W AE NG D AE NG M UW G Y EH0 AE D AE
황당하다|W AE NG D AE NG AE D AE
황도|W AE NG D OW0
황동|W AE NG D OW0 NG
황량|W AE NG N IY0 AE NG
황량하다|W AE NG N IY0 AE NG AE D AE
황련|W AE NG N IY0 AH N
황로|W AE NG N OW0
황마|W AE NG M AE
황복|W AE NG B OW0 K
황소|W AE NG S OW0
황어|W AE NG AH
황오리|W AE NG OW0 R IY
황옥|W AE NG OW0 K
황자|W AE NG D AE
황제|W AE NG D EH0
황조롱이|W AE NG D OW0 R OW0 NG IY
황족|W AE NG D OW0 K
황줄망둑|W AE NG D UW L M AE NG D UW K
황천|W AE NG T AH N
황하|W AE NG AE
황학루|W AE NG AE NG N UW
황혼|W AE NG V OW0 N
황후|W AE NG V UW
회|W EH0
회견|W EH0 G Y AH N
회계|W EH0 G Y EH0
회계사|W EH0 G Y EH0 S AE
회계원|W EH0 G Y EH0 W AH N
회계학|W EH0 G Y EH0 AE K
회관|W EH0 G W AE N
회교|W EH0 G Y OW0
회교도|W EH0 G Y OW0 D OW0
회귀|W EH0 G IY
회기|W EH0 G IY
회나무|W EH0 N AE M UW
회남자|W EH0 N AE M D AE
회담|W EH0 D AE M
회답|W EH0 D AE P
회랑|W EH0 R AE NG
회령|W EH0 R Y AH NG
회뢰|W EH0 R W EH0
회복|W EH0 B OW0 K
회복하다|W EH0 B OW0 K AE D AE
회비|W EH0 B IY
회사|W EH0 S AE
회사원|W EH0 S AE W AH N
회상|W EH0 S AE NG
회원|W EH0 W AH N
회음|W EH0 UW0 M
회음부|W EH0 UW0 M B UW
회의|W EH0 IY
회의록|W EH0 IY R OW0 K
회의하다|W EH0 IY AE D AE
회자|W EH0 D AE
회장|W EH0 D AE NG
